id,text,anger,disgust,fear,joy,sadness,surprise
swa_train_track_a_00001,Hii game ni goals zimetukataa tu kumamaye 😭💔,1,0,0,0,0,0
swa_train_track_a_00002,@<username> WANGU NI #NIKKY_NICOLE MCHEZEE 123 YA TARRUS UYO NDO NMETAMBUA ZAIDI YA SANAH @<username> @<username>,0,0,0,0,0,0
swa_train_track_a_00003,sometimes i wonder kama kuna dame husema mimi ni crush wake,0,0,0,0,0,0
swa_train_track_a_00004,Haiyaaaae kumbe ni mimi naambiwa lol,0,0,0,0,0,1
swa_train_track_a_00005,SOTE PAMOJA.  Ruto my president #RutosBlindAmbition,0,0,0,0,0,0
swa_train_track_a_00006,Na kuna mtu tu mahali analala leo usiku vizuri halafu by end of tomorrow's demos inampata pabaya?,0,0,0,0,1,0
swa_train_track_a_00007,"Kuna siku nilikuwa na mbogi yangu, nikaenda kando kunyamba morio ananifuata😂😂💔💔",0,1,0,0,0,0
swa_train_track_a_00008,"Awa mafresher was this year nika walijoin wakiwa mature already😃unajifanya OG unadate kamoja, na kanakucheza hadi unakosa kuamini😭😭",0,0,0,0,1,1
swa_train_track_a_00009,Kuna watu wataanza kuitisha hizo masks za corona na retweets!,0,0,0,0,0,0
swa_train_track_a_00010,This is why i hate Nairobi. Kama ni ocha ningekimbia tu hapo Mathioya nichote maji.,1,0,0,0,0,0
swa_train_track_a_00011,Walitudharau sana,0,0,0,0,1,0
swa_train_track_a_00012,Jana nilikula kuku lunch nikaharibu supper nikakula omena leo sifanyi same mistake,1,0,0,0,0,0
swa_train_track_a_00013,Izo inapigwa kila game why,0,0,0,0,0,0
swa_train_track_a_00014,sasa ni mimi ndio nalipa hizi bills ju tumechapwa fuck this team,0,0,0,0,0,0
swa_train_track_a_00015,Aki kplc saa hii ni saa ngapi mnazima stima?,1,0,0,0,0,0
swa_train_track_a_00016,Juu nilienda bed sitalala acha tu niendelee na kazi mpaka usingizi iniue hapa,1,0,0,0,0,0
swa_train_track_a_00017,Kuna mguys beshte yangu alistake akasahau kufinya place bet. 3k imeenda fuaaaa 🤣🤣,0,0,0,1,0,0
swa_train_track_a_00018,KARIBU #POPEINKENYA and #UNON. #leadership drives progress. Inspire and encourage to achieve the #SDGs,0,0,0,0,0,0
swa_train_track_a_00019,@<username> Yeah hapo ndio nimecheka yangu yote. But hio harassment ni noma. Four women hata hawezi hepa woi,0,0,0,0,0,0
swa_train_track_a_00020,"I wanna ask, sheria za Kenya hazimchokeshi tayari ndio mwende mtafute zingine za clique?",0,0,0,0,0,0
swa_train_track_a_00021,"Hawa washichana nao wamezidi, mtu anaficha miaka, bodycount sponsor sasa pia wanaficha sufuria??",0,0,0,0,0,0
swa_train_track_a_00022,Wacha nicheki hizi last episode za Blackish alafu nilale. Kumbe siku zicheki smh,0,0,0,0,0,0
swa_train_track_a_00023,Mnaongelea kaswende na ni end month haha ...bado those subaru and salaried niggas watareremsha hizo bendera,0,0,0,0,0,0
swa_train_track_a_00024,"Akaniuliza kama najua stella,nikamshow namjua,stella ni dem we met a couple of weeks and we are just smashing,no emotions attached.Manze kusema namjua mbogi yote ikanikaribia,mmoja akanishika mkono na na mwingine shingo...",0,0,1,0,0,0
swa_train_track_a_00025,"It's only in Kenya unaulizwa na msee ni saa ngapi unamjibu ""ni saa nane"" then anakuuliza tena ""saa nane ilifika saa ngapi"" 😁😁",0,0,0,1,0,0
swa_train_track_a_00026,Lakini hii kenya ni nini hatujaona😐😐brain surgery on a wrong patient,0,0,0,0,1,0
swa_train_track_a_00027,@<username> Niliona kwa ndoto bro,0,0,0,0,0,0
swa_train_track_a_00028,@<username> Niweke kwa maombi,0,0,0,0,0,0
swa_train_track_a_00029,LEO SILIPI TAXI KWENDA HOME! I BETTER WALK!!!!,1,0,0,0,0,0
swa_train_track_a_00030,@<username> @<username> Nini,0,0,0,0,0,0
swa_train_track_a_00031,Who is Ruto yeye ndio awe anatengeneza serikali baada ya serikali.?,0,0,0,0,0,1
swa_train_track_a_00032,"Today, Goal Rush should collaborate with La  Liga",0,0,0,0,0,0
swa_train_track_a_00033,@<username> peleka hisia hiyo bungeni tafadhali mheshimiwa ila barabara zetu zirekebishwe ni mbaya haswaa,0,0,0,0,0,0
swa_train_track_a_00034,Haya mnapigania nini leo wakubwa na wajuaji?,0,0,0,0,0,0
swa_train_track_a_00035,"@<username> Uko na mdudu kwa akili,",1,1,0,0,0,0
swa_train_track_a_00036,Ukiona maisha inakulemea songa kando tujaribu na sisi tuone ni kipi kilichokushinda..,0,0,0,0,0,0
swa_train_track_a_00037,@<username> Asante kwa maoni yako ^Jamo,0,0,0,1,0,0
swa_train_track_a_00038,Watu watano ndio walivote laikipia yaani.,0,0,0,0,0,1
swa_train_track_a_00039,Wtf do you mean nisipake blueband sides zote mbili za slice??,0,0,0,0,0,0
swa_train_track_a_00040,@<username> Chama cha Utapeli,0,0,0,0,0,0
swa_train_track_a_00041,@<username> wewe pia mimi nawapigia niwapee mashida zangu i also have a merry go round lovin ua show lakini,0,0,0,0,0,0
swa_train_track_a_00042,"Bae wangu akikutext mpige block bana,ni huyo tu sina mwingine 😂😂😂💔",0,0,1,1,0,0
swa_train_track_a_00043,My G's wako offline wote my guess ni wame peleka madem wao diani alafu weno wa anze kusema nipike ugali wana kuja na mboga mwingine ana kuja na nyanya,0,0,0,0,1,0
swa_train_track_a_00044,mtu kama mnadharauliana ni poa kwenda hapo na mmalizane   tene ni tene,0,0,0,0,0,0
swa_train_track_a_00045,Huyu naye nilimwonyesha pedi akaacha kuniita form. People are so ungrateful,0,0,0,0,0,0
swa_train_track_a_00046,Si mdinyane tu si kuleta sexual frustration hapa,1,0,0,0,0,0
swa_train_track_a_00047,@<username> hahhahaa why???by holding so tight ama??ama ni zire ziko na shuma hapo chini,0,0,0,0,0,1
swa_train_track_a_00048,URUGUAY IMEONDOLEWA KWENYE KOMBE LA DUNIA KATIKA DAKIKA ZA MWISHO 😱 ##URL##,0,0,0,0,1,0
swa_train_track_a_00049,hahaha huyo jamaa ni mjanja @<username> anakula vitu huku aki prolong contract to 72  times #ishiamtaa but mwenye amepeana contract ni Fala,1,0,0,0,0,0
swa_train_track_a_00050,"@<username> Na vile some babe akiandika thread huku ,but nilijua Tu ni wewe unasemwa 🤣🤣🤣🤣",0,0,0,0,0,0
swa_train_track_a_00051,@<username> Mimi hata nilikua in and out of hospital mtu angeniletea kelele za mawimbo ningemuua mimi😂😂😂,0,0,0,1,0,0
swa_train_track_a_00052,Hawa Villarreal ni ovyo sana bana,1,0,0,0,0,0
swa_train_track_a_00053,Mwenyezi Mungu tulinde na shida na mizozo ya hapa na pale.,0,0,0,0,0,0
swa_train_track_a_00054,Masa nayeye anajua hua siendi Church lakini hua ana piga simu Sundays ku uliza kama nli enda,0,0,0,0,0,1
swa_train_track_a_00055,Tweeting at 10.6K dream ni 11K l.   Nani sijafollow?,0,0,0,0,0,0
swa_train_track_a_00056,Hawa watu wakuchungulia  what you typing on your phone,0,1,0,0,0,0
swa_train_track_a_00057,I get fliers of Internet providers dropped at my get every day. Kwani siku hizi ni wengi aje,0,0,0,0,0,0
swa_train_track_a_00058,Pole sana @<username>  @<username>,0,0,0,0,1,0
swa_train_track_a_00059,jana nilianguka tena pale basketball court bana niko injury ya haga hizo mashimo zitakuja ku malisa mtu,0,0,0,0,1,0
swa_train_track_a_00060,@<username> @<username> Hata chebukati anangoja results itangazwe vile tulimngoja yeye atangaze  Si mungu ni mwema,0,0,0,0,0,0
swa_train_track_a_00061,@<username> pamoja sana guku Gituamba Gatundu North,0,0,0,0,0,0
swa_train_track_a_00062,Hio bedsitter ya 3500 iko wapi?,0,0,0,0,0,0
swa_train_track_a_00063,mnadai eti ni menopause imemrudisha io base hahaha,0,0,0,0,0,1
swa_train_track_a_00064,@<username> Hapo wacha ni cheze mbali since sijui anything,0,0,0,0,0,0
swa_train_track_a_00065,@<username> @<username> @<username> Wacha wajenge kwanza alafu ndo ibomolewe juu hawaskiangi hawa watu,1,0,0,0,0,0
swa_train_track_a_00066,Wangapi walikuwa nazo saa hizi wanashangaa hivyo sivyo,0,0,0,0,0,1
swa_train_track_a_00067,Alcohol from Radico industries ata ukiongeza chase ni hasara tu !,0,0,0,0,0,0
swa_train_track_a_00068,Depay anajifanya frustrated na ni yeye anabore,0,1,0,0,1,0
swa_train_track_a_00069,@<username> Amen Aki nafaa kuona mkono wa Mungu like right now,0,0,0,1,0,0
swa_train_track_a_00070,Karibu @<username> @<username> @<username>,0,0,0,0,0,0
swa_train_track_a_00071,"If someone buys you a gift alafu iishe but you can’t afford it atm, are you allowed to ask them to get you another one? 😂😭 Ama hiyo ni tabia mbaya?",0,0,0,1,0,0
swa_train_track_a_00072,Sasa unapiga mwamaume naabda ata hajui hapo ni Kwako lmao catch me dead before i fight another mans because of my cheating wife ##URL##,0,0,0,0,1,0
swa_train_track_a_00073,All blacks ni kudandia tu mapena,1,0,0,0,0,0
swa_train_track_a_00074,Kama ulikuwa hunitaki ungeniambia tuu sasa mpaka uniombe pesa?,0,0,0,0,1,0
swa_train_track_a_00075,@<username> Huyo ni wanaume wenye huwa wamekudinya huwa wanapiga kelele🤣🤣wengine huwa tumenyamaza😎,0,1,0,1,0,0
swa_train_track_a_00076,Wafunya ni kama leo haoni Arsenal wamechapwa na Manchester ya blue?,0,0,0,0,0,1
swa_train_track_a_00077,😂😂 Kuna mzae amesema umtiti ni mkisii pale local,0,0,0,1,0,0
swa_train_track_a_00078,Huyu kijana anafanya vipusa watauni wavue mashati mapanty ni kama hawaoni,0,0,0,0,0,0
swa_train_track_a_00079,"@<username> @<username> @<username> kelele hizo. mwajifanya yaani sasa hilo jimwizi leo hii yeye ndo ywapendwa sana maanake ni ""mcha mungu"" katumwa atukomboe! 😂😂",0,1,0,0,0,0
swa_train_track_a_00080,"if u want to fly,do not walk with the chickens.hii ni kenya my friends lazima ukuwe mjanja",0,0,0,0,0,0
swa_train_track_a_00081,Tangu story ya safety belt ikue serious watu wengine wamechukua hiyo kama advantage.. Mse anajifanya anatafuta safety belt kumbe ameingia kwa mfuko yako ya trouser,1,0,0,0,0,0
swa_train_track_a_00082,Mnapenda Gilbeys ama ni peer pressure tu??,0,0,0,0,0,1
swa_train_track_a_00083,"Secretly madem wanawish leo ingekua friday ndio msishinda mkiblow their phones with messages pale green app, ndio the next day waamke wakiwaambia walilala mapema juu whatsapp ilikua down",0,0,0,0,0,0
swa_train_track_a_00084,"@<username> @<username> hehe smh, for real! Hardware or software issue? Software.. usiulize nini haswa juu sijui pale nitaanzia aki",0,0,0,0,0,0
swa_train_track_a_00085,Wamalize huyo wamabati  ama ni aluminicha.She thinks she's who? ##URL##,1,0,0,0,0,0
swa_train_track_a_00086,😭😭😭 jua tu iyo chai ni refu you can see the bottom of the okombe but pia iko na cream floating hapo juu.,0,0,0,0,1,0
swa_train_track_a_00087,Kuna dem ya wenyewe alinilamba sikio walai to date sijai feel ivo waah,0,0,0,1,0,0
swa_train_track_a_00088,Hio ndo kushikwa makende na mimi nilisema siwezi. ##URL##,0,1,0,0,0,0
