id,text,anger,disgust,fear,joy,sadness
afr_train_track_a_00001,"Die grondeienaars het die departement genader om hulp, waarna die tegniese aspekte van die die voorgestelde projek ondersoek en ontleed was.",0,0,0,0,0
afr_train_track_a_00002,Dit is verder 'n erkende feit dat daar meningsverskil betstaan rondom die vertolking van onderwysregte in Suid-Afrika.,0,0,0,0,0
afr_train_track_a_00003,Baie families in die Wes-Kaap is in rou gedompel en heelwat families het meer as een familielid aan die dood afgestaan.,0,0,0,0,1
afr_train_track_a_00004,Ons wil u deelmaak van die werk wat ons doen.,0,0,0,1,0
afr_train_track_a_00005,En dit onderstreep waarom NALN en NELM gesamentlik en afsonderlik 'n onverhandelbare nasionale kul-turele bate vorm.,0,0,0,1,0
afr_train_track_a_00006,Ons het ook R15 miljard begroot vir die uitgebreide openbare werke program met die doel om meer werks- en opleidingsgeleenthede te skep.,0,0,0,1,0
afr_train_track_a_00007,Om toe te sien dat maatreëls ter verlaging van die koste van medisyne onmiddellik in werking gestel word.,0,0,0,1,0
afr_train_track_a_00008,Dit gee hulle die kans om te vergoed vir dat wat hulle verkeerd gedoen het.,0,0,0,1,0
afr_train_track_a_00009,Ons vier hierdie dag saam met voormalige politieke gevangenes wat ons spesiaal uitgenooi het om hier by ons aan te sluit.,0,0,0,1,0
afr_train_track_a_00010,Ons implementeer planne om die aantal polisiemanne en -vroue oor die volgende 10 jaar met 10% te vermeerder.,0,0,0,0,0
afr_train_track_a_00011,Daar word ook baie oor Afrikaans gepraat.,0,0,0,0,0
afr_train_track_a_00012,"Oor agt dae, op 16 Februarie, sal sy 92 jaar oud wees.",0,0,0,0,0
afr_train_track_a_00013,Sterkte en alles van die beste vir u en vir ons land.,0,0,0,1,0
afr_train_track_a_00014,Dit sluit nie net onderwys en kultuur-organisasies in nie.,0,0,0,0,0
afr_train_track_a_00015,Elf jaar later is Bloemfontein se isolasie van die res van die land luisterryk beëindig met die koms van die stoomtrein.,0,0,0,1,0
afr_train_track_a_00016,Hierdie afname is grootliks te danke aan ’n dramatiese uitbreiding van besteding op maatskaplike toelae sedert 2002.,0,0,0,1,0
afr_train_track_a_00017,Elkeen van ons kan tot 'n beter lewe bydra.,0,0,0,1,0
afr_train_track_a_00018,Ons is bevoorreg om hierdie jaar die einde van die eerste dekade van ons diplomatiese verhouding met China te vier.,0,0,0,1,0
afr_train_track_a_00019,Dit het die ouderlinge van die kerk 12 jaar gevat om hom dit te leer.,0,0,0,0,0
afr_train_track_a_00020,"En omdat ons nie genoeg gespaar het nie, moes ons op korttermyn-kapitaalvloei staatmaak om die tekort sowel as ons beleggingsprogramme te finansier.",0,0,1,0,1
afr_train_track_a_00021,Dit is die Boland wat ons van helde in ons gemeenskappe voorsien.,0,0,0,1,0
afr_train_track_a_00022,Dié Saamdinkberaad NALN 2000 was daarop gemik om 'n beginfase van konsultasie met 'n breë en inklusiewe gebruikerspubliek te wees.,0,0,0,1,0
afr_train_track_a_00023,Die regering van die Wes-Kaap wil saam met u en die produsente en ander welmenende organisasies werk om u lewensomstandighede te verbeter.,0,0,0,1,0
afr_train_track_a_00024,Ek wil ook alle landsburgers bedank vir hul deursettingsvermoë en geduld in die lig van die huidige moeilikhede.,0,0,0,1,0
afr_train_track_a_00025,Hierdie is almal plekke wat in die genoemde tekste ter sprake kom.,0,0,0,0,0
afr_train_track_a_00026,In haar era was sy 'n lewende legende; vandag weet bitter min egter van haar.,0,0,0,0,1
afr_train_track_a_00027,Maar niemand behalwe onsself kan sorg dat hierdie droom verwesenlik word nie.,0,0,0,1,0
afr_train_track_a_00028,In hierdie verband wil ons ons reëlingskomitee (OC) en ander vennote gelukwens met die uitmuntende werk wat hulle verrig.,0,0,0,1,0
afr_train_track_a_00029,In Januarie 1981 beleef die Nuyvallei die Laingsburg-vloed wat 'n spoor van verwoesting nalaat.,0,0,0,0,1
afr_train_track_a_00030,Die vryheidsmanifes vorm ook die basis van die Grondwet.,0,0,0,1,0
afr_train_track_a_00031,Die nommer bevat hoofartikels en berigte uit Ons land van 3 Desember 1904 pres.,0,0,0,0,0
afr_train_track_a_00032,Die RGN sou graag behulpsaam wees met die uitbou van die museum.,0,0,0,0,0
afr_train_track_a_00033,"Toe die verslaggewer egter later daar opdaag, wou sy nie hê dat dit gepubliseer word nie.",0,0,0,0,1
afr_train_track_a_00034,Jaarliks word daar ongeveer R47 miljoen aan hierdie diens bestee.,0,0,0,1,0
afr_train_track_a_00035,Ons het nog ’n ver pad om te gaan.,0,0,1,0,0
afr_train_track_a_00036,Daar is feitlik elke dag insidente van verdrinkings of amperse verdrinkings.,0,0,0,0,1
afr_train_track_a_00037,"Schoeman aan hom gegee het, vir NALN saamgebring.",0,0,0,0,0
afr_train_track_a_00038,Ek wil ook graag met ESKOM kan skou.,0,0,0,1,0
afr_train_track_a_00039,Daar is egter 'n ernstige behoefte aan 'n groter orgaan skenkersbewustheid.,0,0,0,0,1
afr_train_track_a_00040,Die beginsel van veeltaligheid is belangrik wanneer regte en dienslewering in ag geneem word.,0,0,0,1,0
afr_train_track_a_00041,Baie families in die Wes-Kaap sonder broodwinners moet nou aangaan met hul lewens en moet probeer om vrede en berusting te vind.,0,0,0,0,1
afr_train_track_a_00042,Ons departement het die Nasionale Taalbeleidraamwerk ingestel.,0,0,0,1,0
afr_train_track_a_00043,"Voorsitter, daar is heel waarskynlik nog 'n hele aantal ander sake wat u wil opper.",0,0,1,0,0
afr_train_track_a_00044,"Die posmeester, die dorpsdokter en die skoolmeester is gewoonlik die mense wat die meeste van die dorp af weet.",0,0,0,0,0
