id,text,Joy,Fear,Anger,Sadness,Disgust,Neutral,Surprise
hin_sample_track1_00001,समझदारी संबंधों को बनाए रखने में मदद करती है।,0,0,0,0,0,1,0
hin_sample_track1_00002,"इस खुशी के मोमेंट में सबसे अच्छा लगता है, परिवार के साथ होना।",1,0,0,0,0,0,0
hin_sample_track1_00003,तेज हवाओं के साथ आने वाली आंधी से डर लगता है।,0,1,0,0,0,0,0
hin_sample_track1_00004,इस देश में लोग इतने अनुशासित कैसे हो सकते हैं?,0,0,0,0,0,0,1
hin_sample_track1_00005,"गिटार बजाना मेरी रुचि है, पर भीड़ के सामने प्रदर्शन से डरता हूँ।",0,1,0,0,0,0,0
hin_sample_track1_00006,मौसम आज इतना खुशनुमा है कि बाहर जाकर नाचने का मन करता है।,1,0,0,0,0,0,0
hin_sample_track1_00007,छुट्टियों में भी ऑफिस का काम करना पड़ रहा है!!,0,0,0,1,0,0,0
hin_sample_track1_00008,"""क्या आपको लगता है एलियंस हमें धरती पर देख रहे हैं?""",0,0,0,0,0,1,0
hin_sample_track1_00009,पार्टी में बिजली चली गई।,0,0,0,1,0,1,0
hin_sample_track1_00010,मनपसंद ड्रेस का साइज नहीं मिला।,0,0,0,1,0,0,0
hin_sample_track1_00011,"आलू के परांठे और मक्खन, वाह!",1,0,0,0,0,0,0
hin_sample_track1_00012,"सुबह ,दोपहर में धूप खिली थी और रात में अचानक से ओले गिरने लगे,किसी को उम्मीद नहीं थी ।",0,0,0,0,0,0,1
hin_sample_track1_00013,क्या यह सफ़र सुरक्षित होगा? मुझे डर लग रहा है।,0,1,0,0,0,0,0
hin_sample_track1_00014,"फोटोग्राफी पसंद है ,  लेकिन  आर्थिक स्थिति के कारण  अच्छा कैमरा न होने से नहीं कर पाता।",0,0,0,1,0,0,0
hin_sample_track1_00015,"मैंने स्पष्ट कहा था, मसाले कम ही डालना! ये क्या बना दिया?",0,0,1,0,0,0,0
hin_sample_track1_00016,राजनीतिक दलों की यह गंदगी कब तक सहेंगे हम?,0,0,1,0,1,0,0
hin_sample_track1_00017,रेडियो सुनना मेरी रोज़मर्रा की आदत है।,0,0,0,0,0,1,0
hin_sample_track1_00018,"दीदी, तुम्हारे हाथ की बनी खीर सबसे बेस्ट है!!",1,0,0,0,0,0,0
hin_sample_track1_00019,"सर्दियों में तापमान इतना गिर गया कि नदी जम गई, यह देखकर आश्चर्य का ठिकाना नहीं रहा।",0,0,0,0,0,0,1
hin_sample_track1_00020,उस भूतिया मकान में  लौटने के बाद से मेरे हाथ पैर कांप रहे हैं।,0,1,0,0,0,0,0
hin_sample_track1_00021,"याद है, जब हमने अपना पहला घर खरीदा था...वह दिन मेरे लिए जिंदगी का सबसे ख़ुशी का दिन था",1,0,0,0,0,0,0
hin_sample_track1_00022,ये समुद्र की लहरें देखकर मन बहुत खुश हो रहा है।,1,0,0,0,0,0,0
hin_sample_track1_00023, खराब फील्डिंग के कारण 4 कैच छूटे और इसीलिए आज हम मैच हार गए।,0,0,1,1,0,1,0
hin_sample_track1_00024,एक दिन के लिए अदृश्य होने की कल्पना करना ।,0,0,0,0,0,1,0
hin_sample_track1_00025,"तुम्हारे प्लान छोड़ो, मुझे हैरानी तो इस बात की है कि अचानक इतनी छुट्टी कैसे मिल गई?",0,0,0,0,0,0,1
hin_sample_track1_00026,"""तुम्हारे इस व्यवहार से मुझे बहुत नफरत हो रही है।""",0,0,1,0,1,0,0
hin_sample_track1_00027,"""ये झील की सफाई न करने से मछलियाँ मर गईं, बहुत दुख हुआ.""",0,0,0,1,0,0,0
hin_sample_track1_00028,"""ये किताबें इतनी पुरानी और गंदी क्यों हैं? उन्हें फेंक दो न.""",0,0,0,0,1,0,0
hin_sample_track1_00029,ये जूते मेरे साइज़ से छोटे लग रहे हैं,0,0,0,0,0,1,0
hin_sample_track1_00030,इस तलाब में गंदगी तो देखो.. और ये बदबू .. उफ्फ!!,0,0,0,0,1,0,0
hin_sample_track1_00031,मंत्री ने पत्रकारों से बात की।,0,0,0,0,0,1,0
hin_sample_track1_00032,आज का दिन बहुत ही अच्छा गुजरा!,1,0,0,0,0,0,0
hin_sample_track1_00033,"परिवारवाद, जातिवाद और वंशवाद ये सब राजनीति में हमेशा से हावी रहे हैं।",0,0,1,0,0,0,0
hin_sample_track1_00034,ये बस कब आएगी? बहुत देर हो रही है!,0,0,1,0,0,0,0
hin_sample_track1_00035,"नृत्य करना चाहता हूँ, पर स्वास्थ्य समस्याओं के कारण नहीं कर पाता।",0,0,0,1,0,0,0
hin_sample_track1_00036,गाना गाना मेरा शौक है।,0,0,0,0,0,1,0
hin_sample_track1_00037,"इतना काम और उसपे इतना तनाव, कोई कितना सह सकता है आखिर!",0,0,1,1,0,0,0
hin_sample_track1_00038,क्या माँ-बाबा को मेरे बारे में पता चल गया है?,0,1,0,0,0,0,1
hin_sample_track1_00039,इस शहर की सुंदरता पहाड़ी से ही है।,1,0,0,0,0,1,0
hin_sample_track1_00040,ओह! पर मेरी पसंदीदा दुकान बंद है ।,0,0,0,1,0,0,0
hin_sample_track1_00041,"""तुमने विश्वासघात किया है, अब मुझे तुम पर भरोसा नहीं है।""",0,0,1,0,0,0,0
hin_sample_track1_00042,"ये गहरा राज क्या है, इसे सुलझाने में हमें कुछ समय लगेगा।",0,0,0,0,0,1,0
hin_sample_track1_00043,"बारिश की वजह से सभी रास्ते बंद हो गए हैं, कितनी गंदगी हो गयी है!",0,0,0,0,1,0,0
hin_sample_track1_00044,"ये गेंदबाज़ कितनी तेज़ गेंदें डाल रहा है, इतनी स्पीड, वाह!",1,0,0,0,0,0,1
