id,text,anger,disgust,fear,joy,sadness,surprise
pcm_train_track_a_00001,everyone please can we use you as our client osita i don comot my hands for anything wey concern client,0,0,1,0,0,0
pcm_train_track_a_00002,didnt i say itmo ti unfollow e na man wey wan sell fine gate,0,1,0,0,0,0
pcm_train_track_a_00003,e be thingshe sharply improvised actually,0,0,0,0,0,1
pcm_train_track_a_00004,lmaowhy re u like this na u wey don chop life finish for ur area,0,1,0,0,0,1
pcm_train_track_a_00005,nigerian universities thank you ooo na so i for dey use dictionary dey read your tweet ma,0,0,0,1,0,0
pcm_train_track_a_00006,this nomination don talk am say i am happy for you na dem b dat oooo,0,0,0,0,0,1
pcm_train_track_a_00007,e no dey go wellbut i need it to calm my nervesi dey boil this chelsea team no strong like that oooo,1,0,1,0,1,0
pcm_train_track_a_00008,see wetin jack don cause,0,0,0,0,0,0
pcm_train_track_a_00009,i just asked a friend this question now shey you sabi say world cup dey this year he went ohhhhhh so world cup dey na true o the last one na message this russia world cup is the least publicised marketing dept for the wc is poor good morning,0,1,0,0,0,1
pcm_train_track_a_00010,bros the tin no dey sweet me again oo money no dey economy na mess,0,0,0,0,1,0
pcm_train_track_a_00011,you carry olosho dem say you no get game you took care of yourself by yourself dem say na lack of confidence please wetin go for next boss,0,1,0,0,1,0
pcm_train_track_a_00012,where them take see all these boys wey call their sef unothing dem sabiori eku bai won mongba ‍️,0,1,0,0,0,1
pcm_train_track_a_00013,i never take anything serious sha someone told me you dey burst my brain nonstop and the first thing that came to my mind was gbedu wey dey burst brain and i just had to say it,0,0,0,0,0,0
pcm_train_track_a_00014,if dey see all the appreciation tweet wey dem tag am dey repost them naim be say he dey my own sef but as na money i dey beg im dey ignore me chai don baba j,0,0,0,0,1,0
pcm_train_track_a_00015,to level up dem dey happy the club dey vex me tomorrow is another day,1,1,0,0,0,0
pcm_train_track_a_00016,you sef see am funny enough as them dey going out and coming in my werey friend still tell me say na my work e dey do whenever i complaint he go dey threatening me that he will stop the whole thing my mumu go dey beg again,0,1,0,0,0,0
pcm_train_track_a_00017,nowadays relationships na women dey break men heart wahala don too much,0,1,0,0,1,1
pcm_train_track_a_00018,why dem dey mess una up like this na,0,1,0,0,0,0
pcm_train_track_a_00019,i have never love anyone d way i love wizkid and davido wen i talk abt dem u gat to think if dey are related to me weird ryt anyways i still love dem like bad hazel lil gal️,0,0,0,1,0,0
pcm_train_track_a_00020,walahi this our cake work is so stressful abeg sighss i stood from am till pm my leg and back hurts alot at a point i come dey vex for myself i was like who even send me message sef,1,0,0,0,1,0
pcm_train_track_a_00021,wahala psg wey dey win don dey draw now left win from one ticket to boom to tickets,0,0,1,0,1,0
pcm_train_track_a_00022,why havent i been lucky enough to get credited as regards this e dey pain me gaan we wey need the money gangan,0,0,0,0,1,0
pcm_train_track_a_00023,person dey untop your case already and you don dey give am attention warming up to him already but you still dey entertain other niggas,0,1,0,0,0,0
pcm_train_track_a_00024,na to dey make noise nai them sabi,0,1,0,0,0,0
pcm_train_track_a_00025,on that one lets revert to steve oronsayes report rubbish duplicitous agencies collapse it to a desk officer in moi ministry of information and orientation jor even those ones sef wetin dem dey do,0,1,0,0,0,0
pcm_train_track_a_00026,nls chronicles im in ethics class thinking of what to eat and how to pay for the food boom i remember say person fit chop on credit thank god for crown kitchen hustle oo no go dey chop on credit like me here,0,0,0,1,0,0
pcm_train_track_a_00027,wetin i wan do bayi light no dey gen sef don pack up and i get whipped cream cake to decorate and i dey go work too wetin una dey do no good ooooo,0,1,0,0,1,0
pcm_train_track_a_00028,we no dey even vote for anybody again abeg we don try,1,1,0,0,1,0
pcm_train_track_a_00029,he de fast de answer,0,0,0,0,0,1
pcm_train_track_a_00030,ahh ig vendor don use me catch cruise but i paid for a green dress na vendor sorry ma no vex this one is fine too e get high slit for front like the green e go fit that your small waist i want to fighttttt,1,0,0,0,0,1
pcm_train_track_a_00031,its only when im talking to someone i like ill now be slow hell now think im a mumu,0,1,0,0,1,0
pcm_train_track_a_00032,una no even allow the guy wear better cloth e no good oooooo please release him nothing come out abeg just show say you big pass,0,0,0,0,1,0
pcm_train_track_a_00033,when my pple decided to create with this shot i was forming abeg wetin una wan do they did it anyways and i love it how do you like your we got you covered service,0,0,0,1,0,1
pcm_train_track_a_00034,just for the fun of it na me sef dey go buy cake for supermarket too,0,0,0,1,0,0
pcm_train_track_a_00035,me wen don gin up,0,0,0,0,0,1
pcm_train_track_a_00036,e con be like say we no serious everybody dey ask me for pictures i no see anything drop,0,0,0,0,1,0
pcm_train_track_a_00037,afmag fine babe dey steal shey i fit find wife like this see my crush at first sight dey steal,0,1,1,0,0,0
pcm_train_track_a_00038,die it which one be werey werey dey disguise access bank and diamond bank no be same thing we no want to dey see your men dem for road dey search and stop person stupidly,0,1,0,0,0,0
pcm_train_track_a_00039,look up the word clown why are you making it look like he said something abominable if a white man calls you a clown im sure you will smile and tease him back but because na your naija brother you want to start reading deep meanings into it na wa for this country o,0,1,0,0,0,0
pcm_train_track_a_00040,pillow under the head wee never allow hair to be smooth laidat na u had to comb or brush it fest but that smile eh lai lo make up‍️‍️‍️ melanin poppin just no wound me abeg na my lane i dey waka so,0,0,0,1,0,0
pcm_train_track_a_00041,vex na understatement person wey carry am under him wings and this the thanks he gets,0,1,0,0,0,0
pcm_train_track_a_00042,you people wey go dey hungry then come enter kitchen begin cook dey mad fr ‍️ ion get that kind patience,0,1,0,0,0,1
pcm_train_track_a_00043,oga wetin be tyou think say everything na mathematics ehh ode,0,1,0,0,0,0
pcm_train_track_a_00044,okayno worry jor shey dem sef no go like dey alright this night ni,0,1,0,0,0,0
pcm_train_track_a_00045,baba you dey vex oo but truly wetin she bi want make we help her do beat the boyfriend,0,1,0,0,0,1
pcm_train_track_a_00046,person no dey play with you again den say i go wake person wey don dey sleep since april up in june ‍️‍️ sorry sis aisha yesufu,0,1,0,0,0,0
pcm_train_track_a_00047,gen don spoil mosquitoes wey dey room don dey happy say tonight na for feast,0,0,1,0,1,0
pcm_train_track_a_00048,pending the time im away from my tv enjoying chief kim a korean dramai cant help laughing abeg i dey come oo,0,0,0,1,0,0
