id,text,anger,disgust,fear,joy,sadness,surprise
amh_train_track_a_00001,እናንተ መቸም አትማሩም ምድረ አውሬ ሁላ።,1,1,0,0,0,0
amh_train_track_a_00002,ምነው የዶክተር እስራኤል ጥላሁን ሞት በዝምታ አለፋችሁት ባለስልጣን ስለሆነ ነው ዝምታው ፍርሀቱ እስከመቼ ነው ንፁሀንን እያየን ዥምታ ብልፅግና ገዳይ አስገዳይ የአውሬ ስርአት አራማጅ ነው አዲስ አበቤ አሁኑኑ ካልተነሳህ ዘንዶው በየቤትህ በር ላይ ቆሟል ካልተነሳህ ኦርቶዶክስን እና እውነተኛ ሙስሊምን አጥፍቶ ሉሲፈርን ለማስመለክ ግብረሰዶምን ትውልዱን ለማስበላት ለማርከስ ለጨለማው ስርአት ለመዘረጋት ኦሮሙማ በሚል ሽፋን እየተሰራ ነው እንንቃ,1,1,0,0,0,0
amh_train_track_a_00003,እንዲሁም ይህ እጅግ እርሶን የሚወዶት እና እጅግም የሚሳሳልዎን የአዲስአበባ ህዝብ ስራ እንዳይፈታ ብለው በቀን አንዴ ብቻ እንዲመገብ ስላደረጉ,0,0,0,0,0,0
amh_train_track_a_00004,"Etv ዘረኛ ናቹሁ አሽቃባጭ ስንት አባቶቻችን መስዋት የሆኑበትን ባዲራ እያቃጠላቹሁ አሁን በዚህ አዲስ ባዲራ አገሯን ታባላላላቹሁ ለጊዜው ፈጩ ችግር የለም ግን ,?",1,1,0,0,0,0
amh_train_track_a_00005,የዛሬው የጦጣ ንክሻ ይለያል ክክ አይ ፊሊፖስ አንተ ጅማታም እንድህ ቅጥል ስትል ደስ ይለኛል,0,1,0,1,0,0
amh_train_track_a_00006,ኢሄ ፕራንክ ሚባል ነገር ቅጥ አጣ አሁንስ,1,1,0,0,0,0
amh_train_track_a_00007,Nebiyu Mussse መቸም በዱሩን እንዳይመቱሽ ፈረተሽ ነው,0,1,0,0,0,0
amh_train_track_a_00008,አንችን ብሎ ጥቃት ተከላካይ አብረሽ እንዳትጠፉ ምክንያቱም ግጭቱ ከሀማስ ጋ ቢቻ መስሎሽ !!!,1,1,0,0,0,0
amh_train_track_a_00009,በጣም ከምንም በላይ ያማል ይሠቀጥጣል,0,0,0,0,1,0
amh_train_track_a_00010,ሰላም ይሻለናል ይቅርብን ባህር በሩ በዚህ ደግሞ ነካክተህ ከኤርትራ ጋር ወደ ጦርነት ልትጋፍጠን።,0,1,1,0,0,0
amh_train_track_a_00011,ድንቄም ፌደራሊዝም ከነ ስሙ ብልፅግና ገዢው ፖርቱ ነው እኮ የሚባለው ጠቅላዩ በየክልሉ ብልፅግና ካልሆነ ኣይመቸኝም እያሉ ኣደለም እንዴ ያሉት የቱጋ ነው የሀይል ክፍፍል ያለው ህገ መንግስቱ ይሻሻል ሲባሉ በፓርላሜንት ለናንተ ሲባል ኣይሻሻልም ነው ያሉት ይህ ማለት ለኔ ተስማምቶኛል ተውኝ ነው ለዚህ ነው ለየኣንዳንዱ ፓርላማ ኣባል እያንዳድሽ ብትመረመሪ ጉድ ስላለባችሁ እምለውን ብቻ ስሙ ባይ ናቸው እንግዲህ እንደዚህ ኣይነት የፓርላማ ኣባል ወ,1,1,0,0,0,0
amh_train_track_a_00012,እንደ ህብረት ደስ የሚል ነገር የለም ?,0,0,0,1,0,0
amh_train_track_a_00013,Ethiopia በህዝብ ተጠልተን ልንወድቅ ነው የጠቅላዩ ያልተጠበቀ ንግግርና ማስጠንቀቂያ! via,0,0,0,0,0,0
amh_train_track_a_00014,ለትግራይ የሚቀርበው እርዳታ መቋረጡን ተከትሎ 1 ሺህ 400 ሰዎች በረሃብ መሞታቸው ተነገረ,0,0,0,0,1,0
amh_train_track_a_00015,ስሙ ብቻ ሳይሆን መዝፈን ቢተው ጥሩ ነው,0,0,0,0,0,0
amh_train_track_a_00016,ወይኔ ምን ኣይነት ጭካኔ ነው እንደዚ ኣይነት ኣሳዛኝ ታሪክ ህይወት ሰምቼ ኣላቅም እህቴ እግዚአብሔር እድሜና ጤና ይስጥህ ያለፈ ኩፉ ሂወትሽ በደስታ ይቀየር .ኣይዞህ .ያን ጨካን ደግሞ በግዛቢሄር ፍርዱን ያገኛል,0,0,0,0,1,0
