id,text,Joy,Fear,Anger,Sadness,Disgust,Neutral,Surprise
ger_sample_track1_00001,"Liebe Weltreporter, vielleicht zeigen sie einmal auf, wieviel Gewinn E.ON in den letzten Jahren eingefahren haben und wieviel Dividende an die Aktionäre ausbezahlt wurden. Aber immer schön, nur einseitig berichten. 👏👏",0,0,1,0,0,0,0
ger_sample_track1_00002,Ist ja auch richtig so! Müssen für ihr Land stehen,1,0,0,0,0,0,0
ger_sample_track1_00003,Hä ? Wieso sind denn nicht in ihrer Heimat und verteidigen ihr Land 😂😂,0,0,1,0,0,0,0
ger_sample_track1_00004,Und wie soll das finanziert werden ausser mit noch mehr Schulden? Kann Deutschland das Klima im Alleingang retten?? Ist das Hochfahren der Kohlekraftwerke durch die Grünen ein guter Beitrag zum Klimaschutz?,0,0,1,0,0,0,0
ger_sample_track1_00005,Ohne Israel hätten wir viel mehr Frieden im nahen osten,0,0,1,0,0,0,0
ger_sample_track1_00006,"Was?? Die USA ist Profiteur an Kriegen auf der ganzen Welt? Bin schockiert, hör ich zum ersten Mal.",0,0,1,0,0,0,0
ger_sample_track1_00007,"Leider nur viel Gerede und kaum ernstgemeinte Anstrengungen. Besonders im Bereich Naturschutz bräuchte es viel klarere Maßnahmen und endlich eine konsequente Umsetzung der Renaturierungsziele, denn die Natur ist am Ende das was uns schützt und hilft, besser mit dem Klimawandel zurechtzukommen.",0,0,1,1,0,0,0
ger_sample_track1_00008,"Ich schäme mich, dass durch deutsche Munition unschuldige Menschen sterben.",0,0,0,1,0,0,0
ger_sample_track1_00009,"Wer Israels unmenschlichen Krieg kritisiert, ist kein Antisemit, sondern ein Menschenfreund.",0,0,1,0,0,0,0
ger_sample_track1_00010,Traurig das man immer mit den Finger auf Russland zeigt nur damit die Leute glauben das diese Regierung hier doch nicht so schlimm ist...,0,0,1,1,0,0,0
ger_sample_track1_00011,"Ach Mensch wie gnädig, Mehl Lieferungen zu gestatten. Soll man sich dafür bedanken?",0,0,1,0,0,0,0
ger_sample_track1_00012,Sie hungern :(,0,0,0,1,0,0,0
ger_sample_track1_00013,"Wenn ich die Bilder aus dem Gazastreifen sehe, wie Menschen jubeln, weil wir 24 Soldaten an einem Tag verloren haben, dann bin ich froh, in einem Land zu leben, in dem der Tod der Feinde, gegen die wir kämpfen müssen, nicht bejubelt wird. Krieg ist grausam, Frieden wäre besser.",0,0,0,1,0,0,0
ger_sample_track1_00014,Mir ist es egal ob es Ukrainer Russen deutsche oder Palästinenser sind . Kein Mensch soll leiden und erst Recht keine Kinder,0,0,0,1,0,0,0
ger_sample_track1_00015,"Ich wünsche mir gleiche Chancen für alle Kinder, die noch Bedarf an Deutschunterricht haben.",0,0,0,0,0,1,0
ger_sample_track1_00016,Super! Solche Projekte und Initiativen braucht es! 👍💛,1,0,0,0,0,0,0
ger_sample_track1_00017,Ja vor 30 Jahren war es in Afrika schön kühl… 🤡,0,0,1,0,0,0,0
