id,text,anger,disgust,fear,joy,sadness,surprise
swe_train_track_a_00001,"Riktigt usel service - fick serverat en hamburgare som var helt rå i mitten, men istället för att erbjuda kompensation käftar servitrisen emot och säger att det är så ""medium"" serveras och att vi varken kunde få en ny burgare eller pengarna tillbaks för att vi hade ätit på burgaren innan vi upptäckte hur underkokt den var (den var ju inte rå i kanterna). Det enda dom kunde tänka sig att göra var att värma upp den råa burgaren som redan kallnat - matförgiftning waiting to happen! Skärpning The Red Lion sämre attityd mot kunder har jag faktiskt aldrig varit med om! Önskar jag hade tagit en bild på burgaren så ni kunde se hur blodig den var, men den gömde dom snabbt så inga andra kunder skulle se....",0,1,0,0,0,0
swe_train_track_a_00002,"Vi fyttade från ett hus till mina föräldrars hus så vi anlitade dem till vårt hus å mina föräldrar anlitade dem till att flyttstäda deras hus innan vi flyttade in. På 150 kvadrat städade 1 kille och jag vet inte vad han städade. Det kändes inte att ng hade städat alls. Kylskåpet var inte städat, plåtarna var inte rörda. Avloppen var inte städade. Jag fick flyttstäda själv. Då ringde jag till dem  och sa att de skulle städa vårt hus ordentligt vilket de då gjorde. Jag kommer aldrig mer anlita dem. Mvh Malin Sagerstrand",1,1,0,0,0,0
swe_train_track_a_00003,"Till slut vände hon sig mot fönstret omkring tio minuter över tolv, när hon såg ut, såg hon mordet genom fönstret på ett högbanetåg som gick förbi.",0,0,0,0,0,0
swe_train_track_a_00004,Mycket pålitlig person. Ger trygghet. Förbered inför mötet. Driftig. Jag skulle välja Maria om jag skulle sälja mitt hus i framtiden,0,0,0,1,0,0
swe_train_track_a_00005,Funderar du på att hjälpa till?,0,0,0,0,0,0
swe_train_track_a_00006,Mycket rent och snyggt till bra pris,0,0,0,1,0,0
swe_train_track_a_00007,Vi var mycket nöjda med vår mäklare Alex Baz från Fastghetsbyrån då vi sålde vårt radhus. Trevligt och professionellt genomfört uppdrag. Torbjörn F,0,0,0,1,0,0
swe_train_track_a_00008,"Köpte en Android box av dyrare model. Kollade noga på nätet vad jag skulle ha. Jag blev bra bemött av företaget men totalt lurad av supporten då jag ej lyckades få det så som jag trodde det skulle vara. Jag la väldigt mycket extra tid tack vare supportens felaktiga svar.Jag förväntade mig att få en box som klarade de jag trodde den skulle klara och om supporten direkt när jag frågade sagt att det inte fanns så skulle jag ej behövt lägga så mycket tid på den. Finns mycket i denna butiken,beställa välja frakt samt betalmetod var helt bra men det som drar ner betyget är att man inte vet vad man säljer.Därav kommer jag ej att handla härifrån mera.",1,1,0,0,0,0
swe_train_track_a_00009,Jättebra service och engagemang. Robban på Grindsgatan får ett plus i kanten.,0,0,0,1,0,0
swe_train_track_a_00010,"Vi var 14st och hade bokat 17.00 och framåt! Vi var där 17.00 och fick in käket 18.00 inga större problem iofs, men med tanke på att dom hade lovat 2st andra sittplats kl 19.00 så vart det ju väldigt stressigt och vi hade ju även planer på att avsluta med kaffe,avec och lite efterrätter men éfter som dom två stod och trampa utanför dörren så kände vi att vi fick runda av och ta notan!",1,1,0,0,1,1
swe_train_track_a_00011,Gå inte hit vad ni än gör. Riktigt dåligt bemötande och bryr sig inte om sina kunder.,1,1,0,0,0,0
swe_train_track_a_00012,"Miljön och inredningen var trevligt samt bemötandet från personalens sida. MEN: maten var en riktig besvikelse. Kycklingkebabsalladen var så flottig att man inte kunde tala om en sallad, dränkt i unken dressing och extremt feta friterade(?) aubergineskivor. Köttbullarna var väldigt torra och kompakta, hasselbackspotatisens konsistens gjorde inte portionen direkt bättre.  Entrecoten var seg, torr och smaklös, väldigt sparsamt med såsen och  pom fritten kalla och extremt torra. Förstår inte riktigt hur restaurangen har kommit med på Eat Sweden boken. Efter gårdagens besvikelse kommer tyvärr inte besöka stället igen :-(",0,1,0,1,1,1
swe_train_track_a_00013,Service 6 år. Berättade tydligt att luftfilter inte skulle bytas då det inte är standard. Verkstaden hade ändå skruvat isär och satt ihop luftfilretr felaktigt så bilen var knappt körbar efteråt. Då jag klagade ville de ha betalt för felsökning och hävdade att de inte gjort något fel. Jag blev tvungen att själv rätta till luftfiltret men bilen har nu problem med ojämn tomgång pga det felaktigt ihopsatta luftfiltret som lurade ECU att programmera om inställningarna. Aldrig mer service där. Otrevligt bemötande vid reklamation. Inkompetent personal.,1,1,0,0,0,0
swe_train_track_a_00014,"SÅ oerhört goa lärare! Jordnära, varma, duktiga och roliga att köra med. Jag körde dock med lite för många olika lärare då det var svårt att boka lektioner med en och samma. Kunde vart bra med lite mer kontinuitet och personlig vägledning från start. Till exempel tid att sitta ner med en huvudansvarig lärare och göra ett upplägg på utbildningen och få lite mer info kring hur man bl.a.  använder hemsidan/appen för studera teori.",0,0,0,1,0,0
swe_train_track_a_00015,ALLINC är ett oseriest företag som har en oschysst säljmetod och medvetet ger felaktig eller vilseledande information vid säljtillfället.,1,1,0,0,0,0
swe_train_track_a_00016,"Varning! De lurade idag på oss sex år gamla Nokian vinterdäck till nypris. De påstod att det var rabatt för åldern, men att den ""inte stod på kvittot"". Sedan upptäckter vi på nätet att det var normalpris (vilket förklarar att ""rabatten"" inte stod på kvittot). Mannen ljög oss helt enkelt blå.",1,1,0,0,0,1
swe_train_track_a_00017,"Miljön är trivsam, den levande musiken var fantastisk i lördags, men maten blev en stor besvikelse. Inget var varmt, kycklingvingarna torra, pannkakorna likaså, några kalla korvbitar med potatis låg och såg ödsliga ut. Kokt ägg på stenhårt bröd. Kalla kikärtor och en grönsallad gjorde ingen glad. Vi hittade ingenting som vi kunde äta.",0,1,0,1,1,0
swe_train_track_a_00018,"Här på Garden City Hotel, mindre än 1,6 km från Roosevelt Field...",0,0,0,0,0,0
swe_train_track_a_00019,Blir alltid bemött på bästa sätt och löser problem galant.,0,0,0,1,0,0
swe_train_track_a_00020,"Sålt på förhandsvisning, en mycket smidig och snabb affär. Sara är driven, personlig och professionell. Mycket nöjd!",0,0,0,1,0,0
swe_train_track_a_00021,"Jag är noga med att läsa recensioner innan jag besöker en ny salong, jag är även noga med att skriva en recension efter ett besök. Detta för att vi dels har en yttrandefrihet, och sedan för att jag vill att mina medmänniskor så som jag, även ska få läsa recensioner innan man bestämmer sig för att besöka  en ny salong. Så därför måste jag börja min recension med att ge er salong hård kritik för ert bemötande från era recensioner. Ni skriver många gånger att kunder vill ha saker gratis & negligerar vad kunder skriver. Detta är så otroligt oprofessionellt och allt ifrån okej.. Sedan ska jag säga att jag efter ett besök hos er absolut aldrig mer kommer tillbaka. Jag tycker personligen att den frisör som både slingade & klippte mitt hår var dålig. Mitt hår var i en fint slingad färg och jag bad om en lite mer fräsch & ljus nyans, men gick därifrån med ett helblonderat hår som nu en vecka senare ser oerhört slitet ut. Dessutom tog behandlingen 4timmar och färgen var efter dusch ORANGE så jag var tvungen att köpa till en nyansering (400kr), vilket frisören hävda var korrekt och något alla som slingar måste. Varje gång jag sa emot och berättade att jag exempelvis aldrig behövt nyansering så sa frisören emot!!! Hon ifrågasatte vem jag varit hos tidigare, klagade och sa att den frisör jag använt förut gjort fel, sen sa hon att jag även hade nyansering i vilket hon kunde se. Och så vidare. -  Jag tappade mitt förtroende till er  helt då jag läste era svar här på andra kunders receinsioner, så även på recensioner på Google. Så jag kommer inte heller be er att åtgärda problemet. Utan kommer i stället att betala en professionell frisör att åtgärda det.  Så här handlar det INTE om pengar ELLER att få något GRATIS så som ni svarar andra när de lämnat en recension med kritik. - Jag betalar hellre en gång till, men för ett besök hos en professionell frisör som får fixa mitt ”svinto slitna” hår efter er behandling. /Malin",1,0,0,0,0,0
swe_train_track_a_00022,Topp Hjälpsamma Ansvarstagande Bra service,0,0,0,1,0,0
swe_train_track_a_00023,hans bror?,0,0,0,0,0,1
swe_train_track_a_00024,"Shelly, kom igen!",0,0,0,0,0,0
swe_train_track_a_00025,"Jag lämnade in husbilen för att byta kamrem. Jag blev väl bemött. Det blev dyrare än jag trott, för de behövde fixa mer saker, men så är det när bilen är gammal. Jag kan inget om bilar, men tror att allt blev gjort på bästa sätt.",0,0,0,1,0,0
swe_train_track_a_00026,"Trevligt bemötande i fin miljö, god mat och fräsch salladsbuffé",0,0,0,1,0,0
swe_train_track_a_00027,"Hela processen gick väldigt snabbt och smidigt från hembesök, offert till utförande. Vi är jättenöjda med bemötandet och arbetet.",0,0,0,1,0,0
swe_train_track_a_00028,"Kylvattnet läckte ut och motorn blev mycket varm. Felet berodde på att impellern nött hål på pumphuset. Hade varit bra om man kollat om topplockspackningen klarat sig innan reparation, så hade jag sluppit betala 5 422 kronor i onödan. Innan jag efter reparationen skulle få hämta bilen nämnde jag för Mekonomen, Hasslarp om vad bilen råkat ut för och de sade omedelbart att topplockspackningen säkert gått sönder och att reparationen skulle bli så dyr att det vore bättre att skrota bilen, vilket senare visade sig vara helt korrekt. Mekonomen, Ängelholm var vänliga och trevliga men jag är besviken på den bristande insikten hos dem, som borde varnat mig ang tipplockspackningen. Vänligen, Peder Friis",0,0,0,0,0,0
swe_train_track_a_00029,Jättebra! Trevligt bemötande och tjejerna verkade kunniga.,0,0,0,1,0,0
swe_train_track_a_00030,"Skitaffär där inget bytes eller garanti gäller utan kvitto oavsett hur bra eller känd kund du än är. Affärsinnehavarens påklistrade leenden och artighetsfraser är bara hyckleri enligt min mening.  Jag har handlat för ca:10 000,- i affären, och har inte mötts av någon hjälpsamhet över huvud taget när saker krånglat.  Jag rekommenderar sb marin stenungsund och RodinsMarin i Uddevalla där servicegraden är skyhög när saker krånglar.  mvh/Peter Szamer  Hej, Så har det hänt igen, man knallar in i affären för att byta en länspump som jag tyvärr köpt hos RN Marin, pumpen är mindre än 2 säsonger och har börjat krångla (sitter i en träbåt), Affärsinnehavaren vet att han sålt pumpen till mig men vägrar byta den om jag inte visar kvitto för han är rädd att i sin tur inte få ersättning, pumpen kostar 300,-.  Dessutom begär han att jag skall montera ur pumpen och lämna båten i sticket...  Man blir så jävla förbannad.  När jag berättat dessa ""historier"" för andra båtägare får man höra att det är fler som råkat ut för dålig service och brutna löften.  Vanligtvis åker jag alltid till SB i Stenungsund eller Viking i Frölunda. Rekommenderas!  När det gäller pumpen så åkte jag hem för att kontakta importören av pumpen, när jag berättar om RN Marins (Robert) så tycker dom att det är bedrövligt att man skall behöva visa kvitto för att få en trasig säkerhetsdetalj utbytt.",1,0,0,0,0,0
swe_train_track_a_00031,"Besviken på brunch! Fina lokaler men maten var oinspirerad och ofräsch. Först vänta ute i kylan trots att vi kom i tid och hade reservation. Sedan ingen som tog beställningar på dryck under hela sittningen. Till och med svårt hitta någon att betala till när det var slut. Menyn stämde inte överens med vad som de facto erbjöds, på många olika punkter. Kraftig användning av halvfabrikat.",1,1,0,0,0,0
swe_train_track_a_00032,Bröts ådran eller stötte de på dålig kvalité?,0,0,0,0,0,1
swe_train_track_a_00033,Det blev fel och nu kan jag tydligen inte ta bort omdömet.,0,0,0,0,0,0
swe_train_track_a_00034,Varning för Mekonomen i Mölnvik. Lämnade in bilen för service. Dåligt utfört arbete med en dyr prislapp. Fick jobba själv en del hemma i garaget för att få alla luckor och dörrar att fungera igen. Jag kommer inte att anlita dem mer.,1,1,0,0,0,0
swe_train_track_a_00035,"Du är lustig, du.",0,0,0,1,0,0
swe_train_track_a_00036,Hej! Mycket nöjd med servicen av all personal.,0,0,0,1,0,0
swe_train_track_a_00037,"Jag menar, om det var mitt liv som stod på spel, då skulle jag vilja att advokaten slet åklagarvittnena i småbitar, eller åtminstone försökte.",0,1,0,0,0,0
swe_train_track_a_00038,Tack Almasi bygg för ett professionellt genomfört arbete och för goda råd och trevligt bemötande. Den stenlagda gången gav entrén ett lyft - vi är jättenöjda! /Lisbeth,0,0,0,1,0,0
swe_train_track_a_00039,"Ann-Marie Englund från Fastighetsbyrån Falun var mycket bra, noggrann och hjälpsam. Får bästa betyg av mig. Kan varmt rekommendera henne. Mvh Viktor och Maggan",0,0,0,1,0,0
swe_train_track_a_00040,Vem ska då bygga bron?,0,0,0,0,0,0
swe_train_track_a_00041,Han till och med torkade av fingeravtrycken på kniven.,0,0,1,0,0,1
swe_train_track_a_00042,Jag har gjort en tidsstudie av hela projektet.,0,0,0,0,0,0
swe_train_track_a_00043,"Ja, men ni kan hjälpa oss på ett speciellt sätt.",0,0,0,0,0,0
swe_train_track_a_00044,Byggde altan och staket vi är jätte nöjda med hans jobb rekommenderar Allservice,0,0,0,1,0,0
swe_train_track_a_00045,Bra och snabb service Fin och mysig miljö,0,0,0,1,0,0
swe_train_track_a_00046,Mycket bra service. Hon är trevlig och kunnig person,0,0,0,1,0,0
swe_train_track_a_00047,"VARNING  ! Oseriöst  bilfirma!!! Har köpt  Passat  VW 2012 Precis  nästa  dag  upptäckte  massa  små fel på bilen: Baksätet  fungerar  inte,  stenskott  på fram rutan  och massa  rost  på  bilen  . Efter  2 veckor  har bilen  började  krångla  på  riktigt  ! Partikelfilter/Regenerering. Oljud  i Framvagn Båda  bakre  länkarmbussingar fram  glappt  H+V Svänghjul och  koppling  är helt  trasig  som kostar  upp till  15000 sek. Har ringt  bilfirma  och påpekade  fel  flera  gånger  men dom svarar  inte  ,deras  svar  är mycket  jobb  🙄😅 Till  slut  jag vill  lämna  bilen  tillbaka  efter  jag har tappat  förtroendet  på bilen, litar inte på  bilen  alls  . Min önskan  var att köpa  en  fungerande  bil  och  inte  en skrutt bil  som kräver  repetition  minst 20000 sek till  . Har haft  kontakt  med  dom både  Peter  och David  och vill  kom  överens  att  jag  kan  byta  bilen  mot  en annan  bil  samma  värde  bara  att  jag hittar  någon  bil  som  jag tycker  om. Efter  fyra  månader  vänte tid  har sett  en bil  som  jag  var  intresserad! Ringer  på söndag  och  pratar  med  David  att jag kommer  imorgon  (måndag) vill  byta  bilen. Fick  svar  ingen  problem  kom  förbi  vi ska  hjälpa  dig! Åker  5 timmar  till  Stockholm  för  att  byta  bilen  och tog  ledigt  från  jobbet! När  jag kommer  framme  då är det  helt  annan  otrevlig bemötande  och dom vill  sänka  priset  20000 sek på deras  Passat  som jag har köpt  av dom ,helt  plötsligt  bilen  har tappat  värdet men när  dom ska  sälja  bilen  då är det  ingen  fel  på bilen  . Åkte  tillbaka  onödigt  med 5 timmar  körning + bränsle  kostnader  ,en förlorad  arbetsdag   och fruktansvärt  besviken  och arg  på dom! Dom har  sjunkit  så  lågt  i mina  ögonen  ! Så behandlar  man inte  sina  kunder! Ni behöver  verkligen  att byta  jobb  . Massa  skumma  personer  som  jobbar  inte  en dugg  pålitliga  och sätter  inte  fokus på kunderna  är viktigare  och trevligt  bemötande  . Oprofessionellt  jobb! För eran  kännedom! Tullingebil  är anmäld  till  ! ARN VARNING!",1,0,0,0,1,0
swe_train_track_a_00048,Fullständigt galen.,0,0,0,0,0,0
swe_train_track_a_00049,Arbetsstyrkan har disponerats dåligt.,0,0,0,0,1,0
swe_train_track_a_00050,Tycker behandlingen hos access rehab var under all kritik och det är seriöst bara pinsamt att få ett sånt utlåtande - även om jag fattar att det är utlöst av stress så kan sånt inte bli bättre av att man försöker sluta stressa.,1,1,0,0,0,0
swe_train_track_a_00051,Varför kommer ni inte och utför jobbet som ni offererat? Jobbet offererades med fastpris för 1 år sedan och arbetet är beställt. Ni har förhalat jobbet åtskilliga gånger med dåliga ursäkter. Vad är problemet?,1,0,0,0,0,1
swe_train_track_a_00052,Lämnade bilen för plåt och lackskador. Trevligt och professionellt mottagande. Reparationen var mycket väl utförd där bla den nya framskärmen följer karosslinjen perfekt. Ett givet val av verkstad om olyckan är framme igen.,0,0,0,1,0,0
swe_train_track_a_00053,"Mina officerare leder arbetet, era officerare ska arbeta!",1,0,0,0,0,0
swe_train_track_a_00054,"Trevlig personal, bra lokaler. Hårfärgen passade inte så bra på mig, tyvärr. Rekommendationen att välja den färgen var tyvärr fel. Ledsen över det. Klippningen tog Max 10min.",0,0,0,1,1,0
swe_train_track_a_00055,"Sen leverans, fattades grejor när de väl kom fram, underentreprenören som skulle montera tog 4 veckor på sig att ringa upp och boka en tid, när dom väl kom på plats så gick monteringen av pumpen fort, men dom hade inte behörighet att koppla el så jag fick vänta ytterligare på en elektriker, jag har lagt sammanlagt 4 arbetsdagar på att vara hemma och vänta på antingen grejorna, att montörer ska komma och sitta och ringa runt och jaga folk. Alla parter skyller ifrån sig på dom andra, och ingen tar ansvar. Jag är i det stora hela mycket besviken.",1,1,0,0,1,0
swe_train_track_a_00056,Servitrisen var inte trevlig. Det finns gäster som är laktosintoleranta och att inte kunna skrapa ihop en omelett som från original är bara gjord på ägg är oroväckande. Istället för att aggets som er servitris gjorde med att direkt nämna vad som inte går att göras - se vad som istället kan göras för att åtgärda problemen.,1,0,0,0,0,0
swe_train_track_a_00057,Kalsongerna passade inte köppte xxL men dom vaå som L,0,0,0,0,1,1
swe_train_track_a_00058,"Dåligt bemötande, otrevligt. Lite information. Tydligt att han själv ville lägga ner minimalt med tid. Icke-flexibel.",1,0,0,0,0,0
swe_train_track_a_00059,"En underbar människa som har mycket mjuka värden och ser möjligheter, tack för din förståelse i vår affär och tack ännu en gång, tack Carolina.",0,0,0,1,0,0
swe_train_track_a_00060,Idrottsmassage som var oerhört bra. Verkligen tuff men behandlande som var mitt önskemål. Har redan bokat återbesök.,0,0,0,1,0,0
swe_train_track_a_00061,Ok men inte mer. Brännhål i mattan från cigarett Såg inte förrän kommit hem. Ditec Malmö har tappat i kvalitet. Inte som när jag börja 1991,0,0,0,0,1,0
swe_train_track_a_00062,Hörapparatsbatteri. Allt bra har fungerat till vår belåtenhet alltså utmärkt.,0,0,0,1,0,0
swe_train_track_a_00063,"Lee, jag ber dig igen.",0,0,0,0,0,0
swe_train_track_a_00064,Givetvis får Serbien gå med i NATO.,0,0,0,0,0,0
swe_train_track_a_00065,Jag uppmanar er att omorganisera arbetsstyrkan.,0,0,0,0,0,0
swe_train_track_a_00066,"Otrevlig och hotfull projektledare, oseriös hantering, håller ej muntliga avtal, (kräv allting skriftligt på DETALJNIVÅ om ni vill bli blåsta), höll ej tider, informerade dåligt etc, kan ej rekommendera",1,1,1,0,0,0
swe_train_track_a_00067,Trevligt bemötande och snabb service. Är nöjd med utförandet. Kommer att rekommendera vidare.,0,0,0,1,0,0
swe_train_track_a_00068,"Mysig kvarterskrog med fin stämning och vänlig personal. Vårat besök blev dock inte riktigt någon fullträff då vi beställt Mårten Gås Middag och inte riktigt känner att vi fick valuta för pengarna. Störst miss var att gåsen var skuren på fel ledd. dvs längs muskelfibrerna, vilket gjorde att köttet var väldigt segt. Jag försökte påtaladet i början av måltiden och visade  vänligt för personalen men fick ingen respons på det annat än att hon inte visste hur köttet skulle vara skuret. Ville inte gå vidare med det då det hade förstört stämningen för oss som ville ha en mysig fredagkväll. Kaffet, decaf, vi beställde efter maten hade ingen smak men då fick vi in extra pulver som ordnade saken. Om vi hade tagit någon av de andra rätterna på menyn är jag säker på att mitt omdöme varit mer positivt.",0,0,0,1,1,0
swe_train_track_a_00069,Jag förstår inte...,0,0,0,0,0,0
swe_train_track_a_00070,Jag vet inget om det.,0,0,0,0,0,0
swe_train_track_a_00071,Jätteduktiga! Mycket bra service. Kundens önskan/åsikt hörsammas verkligen. Jag brukar inte inte gå till frisören men när jag väl gör det så är de definitivt dit jag går.,0,0,0,1,0,0
swe_train_track_a_00072,Det trotsar allt förstånd.,0,1,0,0,0,1
swe_train_track_a_00073,"Varning! Detta är inte en seriös bilhandlare. Köpte en bil i somras. De ""glömde"" göra ägarbytet vilket innebar att jag körde runt med en bil jag inte ägde utan som fortfarande tillhörde den förra ägaren. Bilen var dessutom var avställd. De hade aldrig tagit över ägandet själva och sålde i princip en bil de inte ägde. När jag väl upptäckte detta lovade de att betala påställningsavgift vilket senare visade sig att de inte hade gjort. Jag fick en påminnelse med straffavgift från Transportstyrelsen. Hade alltså kört ytterligare några veckor olovligt. Jag kan absolut inte rekommendera denna firma.",1,0,0,0,0,1
swe_train_track_a_00074,Nu väntar vi på våra allierade styrkor i Moskva!,0,0,0,0,0,0
swe_train_track_a_00075,Mycket bra service och man kan lita på att Speedy i Högdalen alltid gör ett bra jobb.,0,0,0,1,0,0
swe_train_track_a_00076,Reparatör?,0,0,0,0,0,0
swe_train_track_a_00077,Sålde min lgh i Abrahamsberg och upplevde ett bra bemötande med mäklaren under de initiala samtalen. Efter att jag bestämt mig kändes det som att intresset inte var lika stort. Efter visningen fick jag gå runt och samla ihop mäklarens material och köra till återvinningen.,1,0,0,1,1,0
swe_train_track_a_00078,Flyttjänst hus/lägenhet. Bra bemött av alla Alla levde upp till mina förväntningar Mycket bra och trevlig personal.,0,0,0,1,0,0
swe_train_track_a_00079,"Är hittills mycket nöjd, får alltid snabba mailsvar. Flytten gick mycket bra, trevliga killar och duktiga. Har ännu inte fått städning, blir den 14 febr, hoppas den blir lika bra!",0,0,0,1,0,0
