id,text,anger,disgust,fear,joy,sadness,surprise
sun_train_track_a_00001,Kumaha mang fiksi engke ka sabilulungan mang salam bandung soreang,0,0,0,1,0,1
sun_train_track_a_00002,tapi domba anakan namah lain ku kuring mreun. 😂 ku domba dai nyh,0,0,0,1,0,1
sun_train_track_a_00003,Aduh mang naha bet kudu penting di upload ma😂😂,0,0,0,1,0,0
sun_train_track_a_00004,"pokonamah nuhun sabandungeun , kita terus tingkatkeun skill babarengan mang :) KAPAN NIKAH ? :(",0,0,0,1,1,0
sun_train_track_a_00005,Kang eta teu isin?? Apa emng tukang ngisinkeun wkwk😅,0,0,0,1,0,1
sun_train_track_a_00006,Artis artis saha anu sok ditungguan setiap bulan puasa??? Afan magrib,0,0,0,1,0,0
sun_train_track_a_00007,Hanjakal teu apal. Mun apal mah di otw keun,0,0,0,0,1,0
sun_train_track_a_00008,Enakeun nih lagu buat pas hajatan hhe,0,0,0,1,0,0
sun_train_track_a_00009,"Req lagu Cinta urang dua an .ti alm kang darso , pasti enakeun ku kkng 3 pamuda berbahaya mh , hehehe Di antoss ti ayena , hehe",0,0,0,1,0,0
sun_train_track_a_00010,urang mah lain so cool tapi sieun ajig,1,0,1,0,0,1
sun_train_track_a_00011,"Asa nalangsa Ieu abdi , sedih ih",0,0,1,0,1,0
sun_train_track_a_00012,Paling bahaya mun ges ngacover lagu sundaan mah 🕺💃🤸 . Lanjutkeun mangg,0,0,0,1,0,0
sun_train_track_a_00013,"MAJALENGKA HADIRR, , aya urang majalengka teu?",0,0,0,1,0,0
sun_train_track_a_00014,"Masya allah tos geulis teh seueur katiasa, sok neng lajengkeun disupport teras,",0,0,0,1,0,0
sun_train_track_a_00015,"Hahaaa heeuh da teu ngarti naon,tp da ngeunah didanguna diulang2 we hayo nepika apal 🤣🤣",0,0,0,1,0,1
sun_train_track_a_00016,"Hmmm teu tiasa berkata² deui , sedih pmi di dangukeun lirikna , Komo bari ningal klip na duh deg pisan kana hate na teh",0,0,1,0,1,0
sun_train_track_a_00017,"Mang,Kumaha cara na nya aktifkeun magic translate?",0,0,0,0,0,0
sun_train_track_a_00018,Ai si emang aslina urang mana urang bandung tah urang majalengka?,0,0,0,1,0,0
sun_train_track_a_00019,"Sok uyup geura A, tinyuh jng kopi sugan :""( si juned bere kasablangka oge, meh kelekna teu bau karbit :(",0,0,0,0,1,0
sun_train_track_a_00020,"Duuh, raoseun soantenna , geulis , paket komplit pissan 😍",0,0,0,1,0,0
sun_train_track_a_00021,"salah, gajah pesek/demek anu tulalena pondok, 😂😂",0,0,0,1,0,0
sun_train_track_a_00022,"Keren wae emang pas kikieuan na mah . Salut 👍👏. Beda mun ker uji nyali, lumpat pangheulana .",0,0,0,1,0,1
sun_train_track_a_00023,"sarua ajig teu ngarti tapi sediih, sedih ku teu ngarti ajiig,",1,0,0,0,1,0
sun_train_track_a_00024,Lmn Aya NU teu ngelike mending ulah lalajo😄,0,0,0,1,0,0
sun_train_track_a_00025,Lebaran Taun ayeuna bisa karumpul jeung klwrga moal nya mang. ? Aya korona ayna mah euy jdi sedih 😭😭😭😭,0,0,0,0,1,0
sun_train_track_a_00026,"Jawa X Sunda , alus euy bay , lanjutkeun 😁",0,0,0,1,0,0
sun_train_track_a_00027,Mana urang nya ? Geuning teu ka senter 😅😅,0,0,0,1,0,0
sun_train_track_a_00028,"Punten mang dana, acarana ti tgl sabaraha nepi ka tgl sabaraha? 🙏🏻",0,0,0,1,0,0
sun_train_track_a_00029,si.tingali di canel bojo tv sedih pisan urang ge nepi ka cerik,0,0,0,0,1,0
