id,text,anger,disgust,fear,joy,sadness,surprise
arq_train_track_b_00001,عيني: عمر! رد بالك، تطلب السماح. ارواح هنا خير لك!,2,0,0,0,0,0
arq_train_track_b_00002,"عيني:""هو درّق وجهه تحت التراب و الهم طاح عليا!""",2,0,0,0,3,0
arq_train_track_b_00003,الراوي: في السحين طلعت الشمس و ريحة القهوة كانت في الهوا. المراة كانت هنا قاعدة ماللور في البيت. هذا منام؟,0,0,0,1,0,2
arq_train_track_b_00004,عيني: أنا يا عجوزة الڨاراڨوز؟ أنا نحسدك؟ أنا!؟,2,1,0,0,0,2
arq_train_track_b_00005,الراوي: كان حاس النجوم يشوفوا فيه و كلّ مرّة نجمة كانت تتحرّك فيه السما كان يحسّ قلبه يخبط. غمّض عينيه باش ما يزيدوش يشوفوه.,0,0,2,0,0,1
arq_train_track_b_00006,الراوي: الڨصايربداو بلعقل وتهولت.,0,0,0,0,0,1
arq_train_track_b_00007,الراوي:  الطراباندو صحّ كان صعيب والنّاس لي تسكن عند الحدود يخاطروا بروحهم بصّح كانوا يرّبحوا منّه وكان محتّم عليهم.,0,0,2,0,1,0
arq_train_track_b_00008,الراوي: بالسبت مع العشيّة، عمر كان يروح معاها عند غونزاليس السپانيولي.,0,0,0,0,0,0
arq_train_track_b_00009,الراوي: كي يصّنتولها أولادها شويّة، تتهنّى وينقص الهمّ عليها.,0,0,0,1,0,0
arq_train_track_b_00010,الراوي: البوليسية ما كانوش قادرين يشوفوا مليح في ذيك الظلمة بصح ثم ثم خربوا و قلبوا كلش.,2,1,0,0,0,0
arq_train_track_b_00011,الراوي: قاعدين يحوّسوا على الخضرة لي يقدروا كاش ما يديروا بيها واذا يصيب منها يطمّهم ويحطهم فالقفة و كان يولّي رافد في قلبه البغض، هاذ اللّمّة كان لازم يديرها كلّ يوم على الحداش كي يخرج من المسيد.,1,2,0,0,2,0
arq_train_track_b_00012,"عمر ما عرفش كيفاش يقدر يعاونها. البوليسية عمرّوا الدار. عمر خمم: ""وقتاش رايحين يروحوا؟""",1,1,0,0,1,0
arq_train_track_b_00013,"واحد الراجل: ""هاذو ما يكونو غير البوليسية. راكي تسمعي الحس لي راهم دايرينه؟ كاين غير هوما لي يديروا هاذ الحس.""",1,1,2,0,0,2
arq_train_track_b_00014,عيني لاولادها كي جدة تقول آه: راكوا تسمعوها؟,2,0,0,0,0,1
arq_train_track_b_00015,الراوي: بصح واش اللي كان يتبدل آو؟ شكون كان قادر يقول؟ عمر كان قادر يدير المستحيل باه يفهم اللي راه صاري.,0,0,0,0,0,2
arq_train_track_b_00016,والكرّايين لخرين كانوا يأكدوا عليها ثانيت كي تقول بلي هوما ڨلالين.,0,0,0,0,2,0
arq_train_track_b_00017,لالة: لي عمرهم ما راحوا للمسيد راهم يموتوا بالشر؟ القراية ماشي ليك يا الدودة.,2,2,0,0,0,0
arq_train_track_b_00018,الراوي: و جات غمة أوت في عوض الربيع... عليها عمر عرف عطلة 3 شهور بلا ما يقرب من المسيد.,0,1,0,0,0,0
arq_train_track_b_00019,عمر خمم:  كاين المرفهين ثانيت. هاذو يقدروا ياكلوا.,0,0,0,0,1,1
arq_train_track_b_00020,لالة: يروح يحوس خدمة! ماشي خير؟,2,1,0,0,0,0
arq_train_track_b_00021,بين زوج بنات: ماشي صحّ انتو كامل؟ مرّة فالجمعة يا سيدي وبالاك البيض. يسواو قلّ من اللّحم. نديرو الببض بالحميصة.,0,0,0,1,1,1
arq_train_track_b_00022,الراوي: يماه ڨع الحسابات كانوا يتلفولها و عمرها ما فهمتهم مليح.,0,0,0,0,1,0
arq_train_track_b_00023,الراوي: ذيك الفرحة لي ادّاي الخبز! عمر كان مزيّره على صدره و كان يسخّنه. مع ريحته اللي تشّهي.,0,0,0,2,0,0
arq_train_track_b_00024,الراوي: عمر خمم بلي يماه ما رايحاش تصيبه و بلي ما كانش خير من هاذ الهدة يديرهالها.,1,1,0,1,1,0
arq_train_track_b_00025,"عليها عيني قالت لمريم: ""عاونيها تخمّل.""",1,0,0,0,0,0
arq_train_track_b_00026,عيني قاعدة تتبّع بنت خالتها بالخزرة حطّت يدّها على الهيدورة تقوشي حبّت تنوض باش تشدّ منصوريّة.الذراري خمّمو: ماشي هي حبّت تشدّها وتقعّدها مع الذراري. بصّح هذا ما كان؟ ماشي كانت تقوللها أقعدي؟,0,0,0,0,1,2
arq_train_track_b_00027,الراوي: كانوا الناس يهدروا بلعقل، خرجوا من بيوتهم صباح بكري مع البرودة تع الصباح وين مازالها الظلمة تروح بلعقل و الضو تع الفجر هاذا وين بدا يبان غير شوية.,0,0,0,0,1,0
arq_train_track_b_00028,الدراهم لّي كانت عيني تربحهم من خدمتها كانوا تمسخيرة، هي صح  حاجة تعيّي.,0,2,0,0,2,0
arq_train_track_b_00029,الراوي: مواليه كيما كامل لي كانوا يتحركوا من جيهته.,0,0,0,0,0,0
arq_train_track_b_00030,الراوي: هاذي الزهور روشت لعمر.,0,0,0,1,0,1
arq_train_track_b_00031,الراوي: مالاّ لالة حبّت تكلّف عيني تحسب اطراف اللحم و تعس الخيامة، المرامط، القدور و الطباسى لي يْوّجْدوا فيهم الماكلة.,0,0,0,0,0,0
arq_train_track_b_00032,بين زوج بنات عاودوا: واش تقولوا فيها نتوما؟,0,0,0,0,0,0
arq_train_track_b_00033,الراوي في كرش عمر الماكلة لّي كلاها تخلطت: الخبزو الخيار قعدوا غير يثقالوا.,0,0,0,0,0,0
arq_train_track_b_00034,الراوي: هاذ اليامات كانت كاينة فوحة قاسحة، لا برودة العشية و لا الريح ما قادرين ينحوها.,0,2,0,0,1,0
arq_train_track_b_00035,"عيني: ""سمحيلي...""",0,0,0,0,2,0
arq_train_track_b_00036,جدة كانت تقول حوايج ما يتفهموش و تزڨي آه من الوجاع.,0,0,0,0,2,0
arq_train_track_b_00037,"الشيخ حسان: "" كي يجوا ناس من برا و يحبوا يحكموا البلاد تولي البلاد في خطر. هاذ البراوية عديان لي لازم ڨع الناس تدافع على البلاد منهم و هكذا تبدا الڨيرا (الحرب).""",2,0,1,0,1,0
arq_train_track_b_00038,الراوي: ما كانتش عندها القوة و ما بقالهاش بزاف باش تموت.,0,0,1,0,3,0
arq_train_track_b_00039,الراوي: كان عمر يحس روحه مبهدل مالا كان يهدر برك و كان داير في باله بلي غير هو لي راهو فاهم واش قال.,0,1,0,0,1,0
arq_train_track_b_00040,عيني: تفوا! يا الجرانة الشرّانية!,3,2,0,0,0,0
arq_train_track_b_00041,عيني كي كانوا يحسبوا: هي هكذا و مارانيش قادرة. إذا نزيدو ننساو خلاص كلّش.والحالة تقعد هكذا بالسوايع.,1,1,0,0,1,0
arq_train_track_b_00042,الراوي: تقوشي عيني خلاص ما كانتش قادرة تشدّ من التّعب.,0,1,0,0,2,1
arq_train_track_b_00043,الراوي: وحدة ساكنة التحت حكمت عيني بجيه على الحس تع ماشينة الخياطة.,1,0,0,0,0,0
arq_train_track_b_00044,الراوي: واحد ما كان يهدر. واحد ما سقساها ولّا طلب منها حتّى حاجة. وهايليك نطقت هاذ الكلام ضرك.,1,0,0,0,0,1
arq_train_track_b_00045,منصوريّة: هذا تخمام ياه! لالا يا ذراري؟ هذي هدرة اللي ما ياكلوش، هكذا يقولوا. بالاك صح؟ هكذا نحس و هكذا لازم يقولوا.,1,0,0,0,1,2
