id,text,anger,disgust,fear,joy,sadness,surprise
hau_train_track_b_00001,"Kotu Ta Yi Hukunci Kan Shari'ar Zaben Dan Majalisar PDP, Ta Yi Hukuncin Bazata",0,0,0,0,0,2
hau_train_track_b_00002,"Toh fah inji 'yan magana suka ce """"""""ana wata ga wata""""""""🤣😂",0,0,0,0,0,2
hau_train_track_b_00003,Bincike ya nuna yan Najeriya sun fi damuwa da rashin tsaro da talauci fiye da korona,0,0,2,0,1,0
hau_train_track_b_00004,Kwamishina Ya Musanta Rahoton Masari Ya Cire Kusan Miliyan N500m Don Tarban Buhari,0,0,0,0,0,0
hau_train_track_b_00005,Innalillahi wa inna ilaihir raji'un: Allah ya yi wa mahaifiyar Halima Atete rasuwa,0,0,0,0,3,0
hau_train_track_b_00006,gsky ne wanan daman temakon allah muke so kuma atiku shine ze zama sila allah yasaka da alheri atiku up up atiku️️,0,0,0,2,0,0
hau_train_track_b_00007,Allah Yasa Yadawo Shekanke in banda tsiya miyake tsinanawa Yan Nigeria🙄🙄🙄,3,0,0,0,0,0
hau_train_track_b_00008,Duk abun da zakuyi wlh duniyar gaba daya sai kunbarta bama mulkin kadai ba marasa kishi kawai komai baku kirkiraras sai idan wani sha'ani na addininku yazo azzaluman ban da akayi edi dai sai munyi muga aban da zai hana mu☹️☹️☹️☹️ boss mustapha kake ko wa😞,3,0,0,0,0,0
hau_train_track_b_00009,abun mamaki bata karewah,0,0,0,0,0,3
hau_train_track_b_00010,Ramadan: Kalli yadda Sarkin Kano yake karatun Al-Qur’ani a Masallacin Annabi (SA.W),0,0,0,0,0,1
hau_train_track_b_00011,allah yajikanshi allah yagafarta mashi allah yasa karshen wahalar kenan dasauran musulmi,0,0,0,0,3,0
hau_train_track_b_00012,"Yaron yayi kashi a pampas din sa, kuma bata dauke ba, yana nan tsakar ɗaki.",0,3,0,0,0,0
hau_train_track_b_00013,"Keƙe da ƙeƙe: Bayan janye takara, Adamu Garba ya fidda sunayen wadanda suka tara masa N83.2m",0,0,0,0,0,1
hau_train_track_b_00014,duk sanda naga irin wannan labari ina murna da kokarin irin wanna mutane sannan ina tausayawa shugabanninmu domin yawancin su basa tsoron haduwa da ubangijinmu allah ya isar mana,1,0,0,2,2,0
hau_train_track_b_00015,shege ka fasadan yarinya munjima muna jinka karka fasa kaji,3,0,0,0,0,0
hau_train_track_b_00016,Zasuci broubansune 😡😢😡😢 jahilai na asara,3,0,0,0,0,0
hau_train_track_b_00017,allah duk wanda yakawoma musulunci wannan allah kayimuna maganin su bakidaya,0,0,2,0,0,0
hau_train_track_b_00018,"TO ALLAH SUBHANAHU WATA'ALA YADUBEMU DA IDON RAHMA YAKAWOMANA KARSHEN WANNAN TA'ADDANCIN, YAHAYYU YA QAYYOOM. 👌👏👏👏",0,0,3,0,2,0
hau_train_track_b_00019,alhamdullilah albarkan dake ciki allah ya hada mu dashi allah yayi mana jagora yayi riko da hannayenmu wajen aikata alheri allah ya karbi ibadunmu ya yafe mana zunubanmu ya bamu hakuri da juriya wajen yin ibada ameen,0,0,0,0,0,0
hau_train_track_b_00020,Hhhhhhh kuna wuta yanzu naija 🇳🇬 🇳🇬,0,0,0,2,0,0
hau_train_track_b_00021,zakaci kutumar ubanka wallahi idan lawakiri ya kama ka,3,1,0,0,0,0
hau_train_track_b_00022,"Tun muna yara muke wasan ango da amarya, sai gashi Allah ya hada aurenmu yanzu - Amarya ta bada tarihin rayuwarsu",0,0,0,2,0,1
hau_train_track_b_00023,Kwarkwata na fadowa daga gashin mahaukachin.,0,3,0,0,0,0
hau_train_track_b_00024,Buhari ya nada Karebo Samson a matsayin mukaddashin kwanturola Janar na hukumar kashe gobara,0,0,0,1,0,0
hau_train_track_b_00025,Haka su Kace kina da girman kae idan kikayi post mutum yayi maki comment bakya reply bara naga da gaske suke Kokuma Karya suke 🤔🤔🤔,0,0,0,0,0,0
hau_train_track_b_00026,Masari ya baiwa masu garkuwa sa’o’i 48 su saki mutanen da suka sace ko su fuskanci fushin sa,2,0,0,0,0,0
hau_train_track_b_00027,"Na matsu sosai, zan biya sadaki kuma zan ɗau nauyin komai, Wata kyakkyawar budurwa na neman mijin Aure",0,0,0,0,1,0
hau_train_track_b_00028,Haba rahama me akayi akayi 550 keda ynx zaki iya mai da ninki ninkin ta ! Wuyar ta ki bada qofane pha wani ya shiga shikenan 😩,0,1,0,0,0,1
hau_train_track_b_00029,Allah kawo mana saukin wannan musiba🙏🏽,0,0,2,0,0,0
hau_train_track_b_00030,kuci Uwar mutumin nan kawai Babaa! Ya matsa maku 😭 ##URL##,3,0,0,0,0,0
hau_train_track_b_00031,alhamdulillah wlh nafi jin kowa dadi because dama sometimes sabo sukeyi,0,0,0,2,0,0
hau_train_track_b_00032,"Kujerun nan duk Gara tabi ta cinye katako, yadikan jiki duk sun fashe, kana zama ƙura zata biyo kayanka",0,2,0,0,0,0
hau_train_track_b_00033,bansan meh yasa baamma duk lokacin da naga hoton mutumin nan seh zuciyata ta tsinke,0,0,0,0,1,0
hau_train_track_b_00034,An sayar mana da 'yancinmu': Wasu sojoji sun yi Allah-wadai da Buratai,2,2,0,0,0,0
hau_train_track_b_00035,Beran da mage ta kashe a daki tsutsa ta baibaye shi tana cin namansa,0,3,0,0,0,0
hau_train_track_b_00036,"Sama da Kashi 75% Na Yan Najeriya Basa Jin Daɗin Gwamnatin Buhari, Sanatan APC",1,0,0,0,1,0
hau_train_track_b_00037,Akwai damuwa fa😰 Allah shi yaye mana waɗan ga lalura,0,0,2,0,2,0
hau_train_track_b_00038,allah ya yaye mn musiba amma f n hango wasu en yara,0,0,2,0,0,0
hau_train_track_b_00039,Sheikh Dahiru Bauchi ya bayyana babban sirrinsa na haddar Al-Qur'ani,0,0,0,1,0,0
hau_train_track_b_00040,Mutane 2 sun sheka barzahu bayan gamuwa da ajalinsu a cikin ruwan Kano,0,0,0,0,3,0
hau_train_track_b_00041,🤔 abin alajabi be karewa a kasata Nigeria,0,0,0,0,0,3
hau_train_track_b_00042,"Ikon Allah 🤔director meh kake nufi,kar dai kace mahmud din take aure dai😲😲",0,0,0,0,0,3
hau_train_track_b_00043,Ku ma baku yadda ba kenan? 😊,0,0,0,0,0,0
hau_train_track_b_00044,Bidiyon Shugaban Kasan South Sudan Yana Fitsari A Wando Ana Tsakiyar Taro,0,2,0,0,0,0
hau_train_track_b_00045,Shekara dubu arba'in har da uku fa kuka ce😲?,0,0,0,0,0,3
hau_train_track_b_00046,Bidiyon matasan da suka shiga hannu yayin da suke kokarin yin asirin kudi da wata budurwa,0,2,0,0,0,0
hau_train_track_b_00047,"Alhamdulillah na samu lafiya, mun kusa hadari cikin hazo - Aisha Buhari ta yi maganarta na farko",0,0,0,3,0,0
hau_train_track_b_00048,Kulu Allah wadai shi kene kawai 🤔,0,0,0,0,1,0
hau_train_track_b_00049,Tashin hankali anyiwa uwar kortoh fyade yace mama rike min wando na yau daga makwafta za'a Fara🤣🤣 #Ranar_hausa,0,0,0,1,0,0
hau_train_track_b_00050,Ashe kinsan waye king 👑,0,0,0,0,0,2
hau_train_track_b_00051,"Idan har wannan labarin haka yake toh zaman Zina zasu, A haifi Yayan zina kuma..Allah kada ka jarrabemu da Wayewa wadda zata fitine mu cikin addininmu🙏Wannan karshen jahilaci da lalacewa Kenan subhanallah.",1,2,0,0,1,0
hau_train_track_b_00052,zancan banxa zancan isakamudai kawai allah ya isa zamuce,3,0,0,0,0,0
hau_train_track_b_00053,inyeee atayamu murna saura kadan kasar mu tazama kmr dubai tunda ga sunan ma kamr na yan biyu,0,0,0,3,0,0
hau_train_track_b_00054,Bidiyon fitaccen Faston Najeriya yana karanta ayoyin Alkur'ani mai girma,0,0,0,0,0,1
hau_train_track_b_00055,Allah mai iko: Yadda mata ta haihu bayan shekaru 10 da daukar ciki,0,0,0,0,0,3
hau_train_track_b_00056,Buhari ya aike wa Sarkin Jordan wasikar son barka,0,0,0,2,0,0
hau_train_track_b_00057,Ya Allah kai mana maganin muta nennan dan Girman ka kafimu sanin ta wacce hanya xaka biyo musu Allah kana gani Allah ka bi mana hiqqin mu Amin 😭😭😭😭😭,0,0,3,0,2,0
hau_train_track_b_00058,"Don jaraba yaro ba ƙashi har a cikin madafi, kana jawo kwabo suna biyo hannunka",0,0,0,0,0,0
hau_train_track_b_00059,BBC me kuma ya faru?? 🙆🙆,0,0,0,0,0,2
hau_train_track_b_00060,ya gama shasshafesu a waje ya game rungumesu sannan zai yi mana wani maganar sunnah munafukin banza munafukin wofi hian,3,0,0,0,1,0
hau_train_track_b_00061,"Malam yasha giyan tsamiya tana nunamai hauka,😂",0,0,0,0,1,0
hau_train_track_b_00062,"Uba Ya Fusata, Ya Garkame Shagon Diyarsa da Ta Ki Tafiya Italiya Yawon Karuwanci",1,2,0,0,0,0
hau_train_track_b_00063,kutttt wai dama bai da aure,0,0,0,0,0,3
hau_train_track_b_00064,Wata sabuwa: Matan Najeriya sun zo na 15 a jerin matan da suka fi iskanci a duniya a kasashen duniya,0,0,0,0,1,0
hau_train_track_b_00065,a ina yaushe su waye su ina aka birnesu zaku maimaita da larabci wlh,1,0,0,0,0,0
hau_train_track_b_00066,shi a abuja akabarshi kenan,0,0,0,0,0,2
hau_train_track_b_00067,Banza irinki wawuya bokon ki na banza ne🙄🙄,3,0,0,0,0,0
hau_train_track_b_00068,😂😂 Har da hararanshi ko? Bari ya cireka wlhi,0,0,0,0,0,0
hau_train_track_b_00069,😭Allah yasa mugama da dunia lfy. Kai kuma Allah kara lfy,0,0,0,0,2,0
hau_train_track_b_00070,Amfani 8 na ruman ga lafiyar ɗan Adam,0,0,0,1,0,0
hau_train_track_b_00071,Tou su wanne suke a qauye basu da account talk less of BVN ya zaayi dasu? 🤔,0,0,0,0,0,2
hau_train_track_b_00072,Allah Ya yi wa dankashi Mai Kukuma rasuwa,0,0,0,0,3,0
