id,text,Anger,Disgust,Fear,Sadness,Joy,Surprise,Neutral
tir_sample_track1_00001,ኣብ ዞባ ደቡብ ብዝተፈጠረ ግጭት ዝተጠርጠሩ ሰባት ኣብ ትሕቲ ቀይዲ ኣትዮም።,0,0,0,0,0,0,1
tir_sample_track1_00002,ቢቄላ ዝብል ስም ከመይ ጌረ ይጽሕፎ?,0,0,0,0,0,0,1
tir_sample_track1_00003,መጀመርያ እግዚኣብሔር ሰማይን ምድርን ፈጠረ። ምድሪ ድማ ቅርጺ ዘይብላን ባዶን እያ ነይራ። ጸልማት ንዅሉ መዓሙቕ ምድሪ ወሓጦ።,0,0,0,0,0,0,1
tir_sample_track1_00004,ሞት ናይዚ ግብረሽበራዊ እቲ ዝዓበየ ዓስቢ እዩ።,0,1,0,0,0,0,0
tir_sample_track1_00005,ስም ፈጣሪ ብውሕሉል ኣገባብ ዝጥቀም ሰብ ከመይ ኢሉ የሕርቐኒ,1,0,0,0,0,0,0
tir_sample_track1_00006,ብዘይ መጠንቀቕታ ዘጋጥም ምዃኑ ዝገደደ እዩ።,0,0,0,0,0,0,1
tir_sample_track1_00007,ዓሌትነትካ ከይጸላእካ ብኢትዮጵያውነትካ ክትሕበን ኣይትኽእልን ኢኻ።,0,1,0,0,0,0,0
tir_sample_track1_00008,ከመይ ኢሉ ከም በዓል ሓዳር ዝጠነስኪ?,0,1,0,0,0,0,0
tir_sample_track1_00009,ክሓስቦ ከለኹ ዕሽነት ኢኻ ትመስለካ ሰብኣይ,0,0,0,0,0,0,1
tir_sample_track1_00010,ሲኦል ይጽበየካ ኣሎ ኪድ ንዓኣ,1,1,0,0,0,0,0
tir_sample_track1_00011,ረሳሓት ሰባት ኢኹም መንግስቲ ሲገል ሞይቱ ድዩ ኣይብልን ዘሎ?,1,1,0,0,0,0,0
tir_sample_track1_00012,ከምዚ ቃና ዝኣመሰለ ፍንፉን ፊልም የለን ናይ ኣቑሑት ጸወታ ሰሪሖም,1,0,0,0,0,0,0
tir_sample_track1_00013,ንእግረ መንገደይ ኣምሓርኛ ንምምሃር ዘሕልፎ ዘለኹ ግዜ ብጣዕሚ ደስ ይብለኒ። ስለምንታይ ኪኖ ቋንቋ፡ ስነ-ልቦና ኢትዮጵያውያን ኣሕዋትን ኣሓትን ክንፈልጥ ሓጊዙና።,0,0,0,0,1,0,0
tir_sample_track1_00014,መቸሽ ሄለን ያምራል ኣብ ውሽጢ ዓመት ኣብ ዘይመልእ ግዜ ክትከታተላ ዝበለጸት ፊልም እያ።,0,0,0,0,0,0,1
tir_sample_track1_00015,እንቋዕ ሓጎሰካ ወዲ ዓደይ,0,0,0,0,1,0,0
tir_sample_track1_00016,ስለቲ ዝሃብኩምና ኣኽብሮት የቐንየልና,0,0,0,0,0,0,1
tir_sample_track1_00017,እዚ ሽልማት እዚ እቲ ዝወሓደ እምበር እቲ ዝበለጸ ሰብ ኣይኮነን።,0,0,0,0,0,0,1
tir_sample_track1_00018,እቲ ሓቂ ግን ኣቀራርባኦም ኣዝዩ ዘፍርሕ እዩ።,0,0,1,0,0,0,0
tir_sample_track1_00019,ኩሉ ኢትዮጵያዊ ዜጋ ኣብ ኩለን ክልላት ኢትዮጵያ ናይ ምጉዓዝን ምስራሕን መሰሉ እንተዘይተረጋጊጹ ነቲ ጸገም ዝገደደ ይገብሮ,0,0,0,0,0,0,1
tir_sample_track1_00020,እቲ ናይ ጸሎት ግዜ ኣዝዩ ዘስካሕክሕ እዩ፡ ምናልባት 3ይ ኲናት ክኸውን ይኽእል እዩ።,0,0,1,0,0,0,0
tir_sample_track1_00021,ኣላህ ሰላም የብጽሓልና ኣብ ሃገርና ብዙሓት ሞት ይርከቡ። ሕጂ ግዜና ዘፍርሕ እዩ፡ ምስ ዱዓ ኣይንረስዕ,0,0,1,1,0,0,0
tir_sample_track1_00022,ኣብ ኢትዮጵያ እንታይ ስቓይ ኣሎኩም?,0,0,0,0,0,0,1
tir_sample_track1_00023,ኣዝዩ ልቢ ዝትንክፍ እዩ። ብኸመይ ክንሕግዘኩም ንኽእል?,0,0,0,1,0,0,0
tir_sample_track1_00024,ብሰንኪ እርጋን ወይ ናይ ጥዕና ጸገም እንተዘይኮይኑ ተረኺቡ ክበኪን ክልምንን ምተገብኦ ምህላዉ ዘሕዝን እዩ። እንታይ እዩ ልብና ዝትንክፍ። ዝኾነ ነገር ዘጋጠመ ኣይንመስልን ኢና።,0,0,0,1,0,0,0
tir_sample_track1_00025,ኣብ ዕዳጋ ሽላ ብዘጋጠመ ሃንደበታዊ ባርዕ ሓዊ እተን ድኳናት ጉድኣት በፂሐን እየን።,0,0,0,0,0,0,1
tir_sample_track1_00026,ሰሚዐያ ዘይፈልጥ ደርፊ! ዘገርም እዩ!,0,0,0,0,0,1,0
tir_sample_track1_00027,እዚ ኹሉ ዓመታት ተመርዕኻ ምጽናሕካ ድዩ ዘገርም?,0,0,0,0,0,1,0
tir_sample_track1_00028,ኣዝዩ ዝገርም ነገር እዩ ዝፍጸም ዘሎ።,0,0,0,0,0,1,0
tir_sample_track1_00029,ምስ ብዓል ሓዳር ጾታዊ ዝምድና ዝነበራ ወይዘሪት ጃፓን ዘውዳ ኣረኪባ,0,0,0,0,0,0,1
tir_sample_track1_00030,ክብረወሰን ንምስባር ን126 ሰዓታት ብዘይ ምቁራጽ ዝደረፈት ጋዜጠኛ,0,0,0,0,0,1,0
tir_sample_track1_00031,ሕማም እዋን ጥንሲ መበገሲኡ እንታይ እዩ? መፍትሒኡ’ኸ?,0,0,0,0,0,0,1
tir_sample_track1_00032,ንብሉጽ ሽልማት ዓባይ ብሪጣንያ ዝተሓርየ ኤርትራዊ ዶክተር ጠዓመ መብራህቱ,0,0,0,0,0,0,1
tir_sample_track1_00033,'ፍልሰት ድኽነት'፡ ዋሕዚ ስደተኛታት ናብ ኣመሪካ,0,0,0,1,0,0,0
tir_sample_track1_00034,ኤርትራውያን ስደተኛታት፡ ኣብ ሞያለ-ኢትዮጵያ ንኣዋርሕ ተኣሲሮም ከምዘለዉ ተፈሊጡ,0,0,0,0,0,0,1
tir_sample_track1_00035,በይዛኹም ሰብ ሞያ እቲ ድምፂ ናቱ እዩ ዝመስል ብዝተኽኣለ መጠን ኣፃርይዎ ደም ኣሕዋትና ብከንቱ ከይተርፍ,0,0,0,1,0,0,0
tir_sample_track1_00036,ኣብ 2024 ንመጀመርታ ግዜ ስደተኛታት ንመትረብ እንግሊዝ ሰጊሮም,0,0,0,0,0,0,1
tir_sample_track1_00037,ኢትዮጵያውያን ስደተኛታት ብልመና ዘጨነቕዋ ከተማ,0,0,0,0,0,1,0
tir_sample_track1_00038,ነዚ ወዲ ካራ ገይርካ እንዳ ሳቀካ ክቅተል አለዎ,0,1,0,0,0,0,0
tir_sample_track1_00039,OMG  ከምዛ ኣቀታትላ እዚኣ ጌሩ  ድቃሰ ዝኸልኣኒ የለን ኣንቱም ተጋሩ ሩወሃት አባ ኹም ብሓቂ  ኣብዛ ጉዳይ ኩሉ ኢድ ኣለዎ  ኣብ ነንሓድሕዶም ካብ  ዉሽጦም  ስረዓት ት ግበሩሎም  ኩሉ ዝገበረ ኣብዛ ዉሽጦም ኣሎ  በጃኹም ምሕደራ ትግራይ ንዝሞተስ ንገደል እዋእ ዋለ እዚ ካሜራ ማን ኔረ ዝብል ዘሎ ድምጹ ኣብ ኩሉ ንሱ ዩ ንሓንቲ ጻዕዳ ሓለቃይ ያ ዘን ድምጺ እስኪ für gleische ይመሳስላ ኢለያስ ገሪሙኒ bschtimt,0,0,0,1,0,0,0
tir_sample_track1_00040,ልዕሊ 60 ስደተኛታት ኣብ ባሕሪ ጥሒሎም ከይዀኑ ተሰጊኡ,0,0,1,0,0,0,0
tir_sample_track1_00041,ኤርትራውያን ዝርከብዎም 320 ስደተኛታት፡ ካብ መተማ ናብ ካናዳ ግዒዞም,0,0,0,0,0,0,1
tir_sample_track1_00042,ኢትዮጵያውያን ስደተኛታት ደቡብ ኣፍሪቃ ስለምንታይ ኣብ እዋን መረጻ ስቓዮም ይውስኽ?,0,0,0,1,0,0,0
tir_sample_track1_00043,ኣብ ቻይና መደቀሲ ክፍሊ ተመሃሮ ብዘጋጠመ ባርዕ 13 ሰባት ሞይቶም,0,0,0,1,0,0,0
tir_sample_track1_00044,ሃገራዊ ኣገልግሎት ኤርትራ፡ ተመሃሮ 11 ክፍሊ ናብ ሳዋ ይኸዱ ኣለዉ,0,0,0,0,0,0,1
tir_sample_track1_00045,ኤርትራ፡ ሃንደበት ዝዓረፈ ኮኾብ ተጻዋታይ ኵዕሶ እግሪ ሱሌማን ማሕሙድ (ስኾይ) መን'ዩ?,0,0,0,1,0,0,0
tir_sample_track1_00046,ሓደ ካብ ቀዳሞት ተጋደልቲ ህዝባዊ ግንባር ኣሕመድ ጣህር ባዱሪ ዓሪፉ,0,0,0,1,0,0,0
tir_sample_track1_00047,ቅልውላው ቀርኒ ኣፍሪቃ፡ ዝምድና ሃገራት እንታይ ይመስል?,0,0,0,0,0,0,1
tir_sample_track1_00048,ዕደና ኤርትራ፡ ኣብ ኣቡርና ዝካየድ ዘሎ ዳህሳስ ጽቡቕ ውጽኢት ከምዝተረኸቦ ተገሊጹ,0,0,0,0,0,0,1
tir_sample_track1_00049,ጳጳስ ፍራንሲስ፡ ንኣተሓሕዛ ስደተኛታት ኣብ ሃገራት ኤውሮጳ ኮኒኖም,0,0,0,0,0,0,1
tir_sample_track1_00050,‘ስደተኛታት ወረርቲ ኣይኰኑን’ - ርእሰ ሊቃነ ጳጳሳት ፍራንሲስ,0,0,0,0,0,0,1
