id,text,Anger,Disgust,Fear,Sadness,Joy,Surprise,Neutral
som_sample_track1_00001,Dad lagu tuhmayo in ay ka danbeeyeen colaada gobolka koonfureed ayaa la soo qabtay.,0,0,0,0,0,0,1
som_sample_track1_00002,Jahanabaa ku sugaysee orod ku dhacay. ,1,1,0,0,0,0,0
som_sample_track1_00003,Wlllo ilaaahay dartiii subscribe III gu saaar mahadsanid igaaadhsi 150 Aamiiin👐👐👐,0,0,0,0,0,0,1
som_sample_track1_00004,Baro quraaanka kariiimka adigo jogooo guriga qaaab online ah igala so xariiir lambarkan whatsapka +254723481658,0,0,0,0,0,0,1
som_sample_track1_00005,Mar haduuu number kaaa sooo wacay waaa la heli karaaa Ethio telecom tag numberkan cida ku qoran ha laguuu baaadho macal dadkiii ay is wici jireeen eee ugu danbeeeyay kuwaaas baaa macal sooo dhawayn kara,0,0,0,0,0,0,1
som_sample_track1_00006,Somali weyn plz subscribe isara mahadsanidin,0,0,0,0,0,0,1
som_sample_track1_00007,Ustaaad macliiimaaad dhacdoooyin iyo muuuqalo cabsi ah nosooo daaa,0,0,0,0,0,0,1
som_sample_track1_00008,Waaa runtaaa xasuuuq naxdin leh ayaaa ka dhaxay dalkan 1975 illlaaa 1979,0,0,0,1,0,0,0
som_sample_track1_00009,mahadsanid walal .a.ilaaa...z,0,0,0,0,0,0,1
som_sample_track1_00010,"Bulshadu way ku tabtay masuuul magacaaaga iyo meeeshaaad jooogto ma aqaaano lakin chanelkan aaad baaan ugu xidhnahay, ku mahadsanid sidaaad nooogu sooo gudbiso cilmigan caaalamiga ah",0,0,0,0,0,0,1
som_sample_track1_00011,Oromadu Ethiopia 🇪🇹 iyadaaa maaamusha ooo xukunkeeeda haysa Masuuuliyiiinta Somalida kililka eee Ethiopia 🇪🇹 kuma dhacaaan islaaanta orormada ah İNAY xooog u adeeegsadaaan ama ilmaha baaadhaaan abey Ahmed ayey la hadlaysa Gumaysi xumaaa Aim From Somalıland 🇭🇺 alxmdlh Haday So,0,1,0,0,0,0,0
som_sample_track1_00012,Masha Alllah waaa hadal qiiima badan walaaalo mahadsanid fikirkaaaga saliiimka ah jazakalllah 😍😍😍,0,0,0,0,1,0,0
som_sample_track1_00013,Wl Waxan Ku waydiiinlaha Magaca Tanaaad Macnihiiisa mahadsanid.,0,0,0,0,0,0,1
som_sample_track1_00014,Kkkk bur gabo ilmo aya dhashay mid wa la wayay miyad la timid tug tug dhalay o qabilku ku wayn yahay ayad tahay,1,1,0,0,0,0,0
som_sample_track1_00015,Sxb barnaaamijyadan wadamada sooo badi   Gaaar ahaaan Qaaaradeeena Africa mahadsanid,0,0,0,0,0,0,1
som_sample_track1_00016,@tanaaad sxp mxaaa kugu dhacay,0,0,0,0,0,0,1
som_sample_track1_00017,Huuuno maxaaa kgu dhacay Video ka Dib waxa Video mad so galin chanalkaga,0,0,0,0,0,1,0
som_sample_track1_00018,Wlh Omar waaan ku aminsanahy lkn aqooon NEH kuma liiihi   Masha Alllah wax Badan ayan ka faiday xitaaa heeer aaan ku dhawaday faceboook iyo instagram iska dhaaafo thanks 😘,0,0,0,0,1,0,0
som_sample_track1_00019,Asc umada somali   ku sooodhawada youtube kayga ooo ka dawan karto cunto Karin xiiise leh   walaaal subscribe Ii dhaha.   htttps:///m.youtube.com/channnel/UCwILSV29OuaXduaFBq_CCCqw,0,0,0,0,0,0,1
som_sample_track1_00020,Ax ilahay hakusodhaweyo.,0,0,0,1,0,0,0
som_sample_track1_00021,Tanaaad sooo dhawooow,0,0,0,0,0,0,1
som_sample_track1_00022,Gus cirooobay laydinla dhac😅😅😅,0,1,0,0,0,0,0
som_sample_track1_00023,Illlahow isodhaweee cuqubadaaa illlahow ugaso reeeb mamadaaa miskiiinta ah ilemaheeeda,0,0,0,1,0,0,0
som_sample_track1_00024,asc   wlll mahadsanid lkn ayamahaaan wad naga so raaagtay,0,0,0,0,0,0,1
som_sample_track1_00025,mahadsanid walalo wax badan baaad nooo faaa'ideyse,0,0,0,0,1,0,0
som_sample_track1_00026,"Meeeshan loooma dalxiiis Tagi karo sbbbtuna waxay tahy in dadkan wali yihiiin aaan ilbax ahayn ooo aaan wali isdhaxgal samaynin waaana Dal ay cunsuriyadu ku badantahy waxana jiro wadamo badan ooo sidan oookale ah like czeck Republik, Slovenia, slovakia iyo kuwakalooo badan ooo ay",0,0,0,0,0,0,1
som_sample_track1_00027,mahadsanid Omar🇸🇴,0,0,0,0,0,0,1
som_sample_track1_00028,Wlll mahadsanid waxaaa kaaa sugayaaa muqaaal ku saaabsan dalka Sweden plz wlll inooo sooo diyaaari mahadsanid waaadna iii bln qaaaday wlll,0,0,0,0,0,0,1
som_sample_track1_00029,Mahadsanid wlllo lkn wlll sida Internet waxloga barto noso gudbi mahadsanid,0,0,0,0,0,0,1
som_sample_track1_00030,Sxb mahadsanid culeeesyo aaan badneyn uuun baaa igu sooo kordhay,0,0,0,1,0,0,0
