id,text,anger,disgust,fear,joy,sadness,surprise
tat_train_track_a_00001,"Томанлы,аяз күге бар.",0,0,0,0,0,0
tat_train_track_a_00002,"Ул бирсэ, барсы да койлэнэ.",0,0,0,0,0,0
tat_train_track_a_00003,Шуңа нәрсәнедер корбан итәргә туры килә.,0,0,0,0,0,0
tat_train_track_a_00004,аның да хәзер башы ул кагылганнан ямьсез пеләш кала.,0,1,0,0,0,0
tat_train_track_a_00005,Казанда Урыс йөреше узды,0,0,0,0,0,0
tat_train_track_a_00006,"юк, ач түгелмен, әмма шундый швед-төрки өстәлендә утырасым килә, рәхәтләнеп чәк-чәк, өчпочмак, бәлеш, пәрәмәч һәм башка тәмле ашамлыклар умырып ашарга, кымыз эчеп, ә юк, чәй эчеп)))",0,0,0,1,0,0
tat_train_track_a_00007,"малай,шатлыгыбыз,яраттык,жылаганда да,узсузле,кулдан,бэлэкэй,кадерле,йори",0,0,0,1,0,0
tat_train_track_a_00008,ошамаса укыйм хэм ошамаганлыгын да эйтэм! анысы минем эш.,1,0,0,0,0,0
tat_train_track_a_00009,"Онытырга кала инде,артыннан чабып йормэ!",1,0,0,0,0,0
tat_train_track_a_00010,апа матурым  эле ярый сез бар безнен !!!хэзер уземдэ актив катнашырмын-вакыт булуга кергэлэп катнашып чыгам узем !!Рэхмэт админнарыбызга!!,0,0,0,1,0,0
tat_train_track_a_00011,"Дөрес, культура ягы түбән инде, киенү-ясануга килгәндә дә вкус юк инде, юк, бер генә сүз белән әйткәндә, ни… гыйбадия!..",1,0,0,0,0,0
tat_train_track_a_00012,"Фануда, җылы сүзләрең өчен рәхмәт!!!!!!!!!!!!!",0,0,0,1,0,0
tat_train_track_a_00013,Бу ахырзаман галәмәтләренә ошаган.Казан хакимиятенә хурлык!,1,0,0,0,0,0
tat_train_track_a_00014,"Авызы бер пешкән мин моңа да илтифатсыз калдым гына түгел, чирканып йөзен чыттым.",0,1,0,0,0,0
tat_train_track_a_00015,"Аллаһка гыйбәдәт кылыр өчен туган без җиргә, яшәвебезнең дә мәгънәсе шул булырга тиеш.",0,0,0,0,0,0
tat_train_track_a_00016,молодец)уңышлар  сиңа=),0,0,0,1,0,0
tat_train_track_a_00017,Хич йокыга китеп булмый!,0,0,0,0,1,0
tat_train_track_a_00018,Әссәламагаләйкем барыгызга да!)),0,0,0,1,0,0
tat_train_track_a_00019,Татар булмаган кеше юктыр монда!?:D,0,0,0,0,0,1
tat_train_track_a_00020,ник киряк мында бу кыз ?!?!,0,0,0,0,0,1
tat_train_track_a_00021,"Уллләәәммм, тагын күпме кеше баскан чиратка, пленкам җитәр микән ???)))))",0,0,0,0,0,1
tat_train_track_a_00022,"Мине бу юлдан күңел тыйгысызлыгы, җан газабы, бертуктаусыз сыкрап-сызлап торган рухы алып бара.",0,0,0,0,1,0
tat_train_track_a_00023,"Тоне буе йокламадым,коттем,барыбер язмады,борчылып беттем,ни булды икэн дип.",0,0,1,0,0,0
tat_train_track_a_00024,кырлайда була буген.,0,0,0,0,0,0
tat_train_track_a_00025,"Уят мине иртэ белэн,курсэт яна кон туганын... Бир мина коч утэргэ буран баскан юлларымны...",0,0,0,0,1,0
tat_train_track_a_00026,Канатлы чагым минем!,0,0,0,1,0,0
tat_train_track_a_00027,Өзелә бит үзәгем.,0,0,0,0,1,0
tat_train_track_a_00028,"сатыла , базарда бер узбэк хатынында",0,0,0,0,0,0
tat_train_track_a_00029,бездән башкамы???? Чакырсалар барыр идееек!!!))))))),0,0,0,0,0,1
tat_train_track_a_00030,дорес тугел...,0,0,0,0,1,0
tat_train_track_a_00031,Без каян белик инде. Врач тугел бит без!!!,1,0,0,0,0,0
tat_train_track_a_00032,Айлар-еллар үтеп китәрләр,0,0,0,0,0,0
tat_train_track_a_00033,син хоккейга йорисен чтоли??,0,0,0,0,0,1
tat_train_track_a_00034,Яратам мин балаларны-Яшь булса аналары😄😃😀))),0,0,0,1,0,0
tat_train_track_a_00035,"мин уз фикеремне генэ яздым, э шул кафе янанда яшэуче халык нишли микэн???? 😱",0,0,1,0,0,0
tat_train_track_a_00036,Рузиля дорес язасын рахмат зур итеп афаринннннннннннннннннн,0,0,0,1,0,0
tat_train_track_a_00037,"Бабушка Бэтмен, сузлэренне чамалап яз эле!!!",1,0,0,0,0,0
tat_train_track_a_00038,Өйдә тып-тын...:(,0,0,0,0,1,0
tat_train_track_a_00039,эллэ нинди сузлэр язмагыз эле!,1,0,0,0,0,0
tat_train_track_a_00040,Без булдык анда бүген,0,0,0,0,0,0
tat_train_track_a_00041,Әдәпле кыз ул - бары тик бер генә  ир-егеткә  әдәпсез була!,0,1,0,0,0,0
tat_train_track_a_00042,Аның бик явыз үги анасы һәм ике бик ямьсез һәм гаять усал ике апасы булган...,0,1,0,0,0,0
tat_train_track_a_00043,"Ник алайса алдап йорден, Ник эйтмэден алдан ук?!",1,0,0,0,0,0
tat_train_track_a_00044,куп белэсен бугай син?!,1,0,0,0,0,0
tat_train_track_a_00045,иртэн торсам да кичкэ генэ уянып бетэм,0,0,0,0,0,0
tat_train_track_a_00046,"иии,  рәхмәт инде,  Миша абый)",0,0,0,1,0,0
tat_train_track_a_00047,шушындый экияти матур кыш конендэ сойгэнем белэн урамда йорисем килэ. Лэкин ул еракта. мин аны шундый сагынам.,0,0,0,0,1,0
tat_train_track_a_00048,Гел бәхетләр һәм шатлыклар,0,0,0,1,0,0
tat_train_track_a_00049,Иң җай урын өйдә - чәй яны .,0,0,0,1,0,0
tat_train_track_a_00050,"Туфрагы жинел, урыны ожмахта булсын😔😔😔",0,0,0,0,1,0
tat_train_track_a_00051,"ул сезнен мини  футбол очен яна группа ачырга кирэк,ялкыта башладыгыз!",0,0,0,1,0,0
tat_train_track_a_00052,Ак чәчәкләр кебек кар ява,0,0,0,0,0,0
tat_train_track_a_00053,шатмын синең өчен=),0,0,0,1,0,0
tat_train_track_a_00054,Тамчы булып тама тамчыга.,0,0,0,0,0,0
tat_train_track_a_00055,Бергэ дус яшик!,0,0,0,1,0,0
tat_train_track_a_00056,рэхмэт 😊 Мин дэ Сезне куруемэ шат💐😃,0,0,0,1,0,0
tat_train_track_a_00057,Югалма.,0,0,0,0,0,0
tat_train_track_a_00058,Үз-үземнән кире китәр идем:(,0,0,0,0,1,0
tat_train_track_a_00059,кемнэр янган анда???,0,0,0,0,0,1
tat_train_track_a_00060,мыегы да чыкмаганмы сон?  😂,0,0,0,0,0,1
tat_train_track_a_00061,"Вот мин анламыйм! Нигэ туалетный бумагаларны разный вкуслар белэн ясыйлар?! Например урамда барасын да и типо: «эй,чувак,понюхай мою задницу,она пахнет клубникой»  У меня все!  (Анон)",0,1,0,0,0,0
tat_train_track_a_00062,кем машина белэн бозга керэ инде..........??????????,0,0,0,0,0,1
tat_train_track_a_00063,"Ә күңелдә,кала, сагыш...",0,0,0,0,1,0
tat_train_track_a_00064,"Этисе купме кешене рэнжеткэн,кеше куз яшьлэре жирдэ ятмый ул !!!!",1,0,0,0,0,0
tat_train_track_a_00065,"Уйлап кара, сары теш, сасы ис, егетлер яратмый андыйларны,хазер егетлер спортивный кызларны ярата, тэмеке турында уйламада, андыйлар не увожаю!!!",0,1,0,0,0,0
tat_train_track_a_00066,"Накия апа, Җылы сүзләрегез өчен зур рәхмәт!",0,0,0,1,0,0
tat_train_track_a_00067,"шалтыратыгыз эле егетлэр,скучно19 22яшлеклэр(",0,0,0,0,1,0
tat_train_track_a_00068,Буламы сон синнэн башка яшэп.,0,0,0,0,1,0
tat_train_track_a_00069,Югыйсә бит белә кешелек .,0,0,0,0,0,0
tat_train_track_a_00070,Яратыгыз сөйгән ярыгызны,0,0,0,1,0,0
tat_train_track_a_00071,"Бер егет бик чибэр булмаган кыз белэн бер булмэдэ биклэнеп калган ди.Теге кыз:  -Эгэр дэ сез мине убэргэ жыенсагыз,мин кычкырам!-ди икэн.  - Мин дэ!-дигэн ди теге егет",0,1,0,0,0,0
tat_train_track_a_00072,Бу миңа сугыш авырлыгын хәтерләтә,0,0,0,0,1,0
tat_train_track_a_00073,фотода прәме чибәр чыккан Динислам)),0,0,0,1,0,0
tat_train_track_a_00074,кошмар!  Узем дачалар кырында торам алар монда коту бн йорилэр куркыныч!!! Хэм мин ничек баланы курыкма алардан дип чыгарып жибэрим??? Алар бит куп!!! Даже олы кешегэ ыргылалар!!!!!,0,0,1,0,0,0
tat_train_track_a_00075,Э кайда сон ул????,0,0,0,0,0,1
tat_train_track_a_00076,Язмышым кара булды,0,0,0,0,1,0
tat_train_track_a_00077,"Куннакка кайтырга гына яхшы монда, хәлемнән килсә качар идем. Туйдым бу авыл кешеләреннән.",0,1,0,0,0,0
tat_train_track_a_00078,Афарин ! Татар исэн !!!,0,0,0,1,0,0
tat_train_track_a_00079,Хэзер тиз генэ кибеткэ барып килэм,0,0,0,0,0,0
tat_train_track_a_00080,"Тәкъдир сызыгыннан читкә китү кыен шул, ай кыен, олан...",0,0,0,0,1,0
tat_train_track_a_00081,Башкалар кебек ак тәнле буласым килә иде..,0,0,0,0,1,0
tat_train_track_a_00082,"Белмәдем, гафу үтенәм.",0,0,0,0,1,0
tat_train_track_a_00083,"чай эчабезме,шушы матур кичларда,хаерле булсын,берга узсын кичларебез!",0,0,0,1,0,0
tat_train_track_a_00084,чынлaпмы?)))),0,0,0,0,0,1
tat_train_track_a_00085,"сагынырмын инде,тон йокыларымны йокламыйча",0,0,0,0,1,0
tat_train_track_a_00086,"Моннан да карарак, ачырак кайгы бармы?",0,0,0,0,1,0
tat_train_track_a_00087,Безнен юллар бергэ урелгэн,0,0,0,0,0,0
tat_train_track_a_00088,э мина бу группада ошый))),0,0,0,1,0,0
tat_train_track_a_00089,"Юк инде,алдакчы тугел аргандыр туалетта утырып кулына телефон тотып йоклап киткэндер",0,0,0,0,0,0
tat_train_track_a_00090,мунчага барасы кила да бит вакыт та юк аулыма кайтыр идем шул дуслар,0,0,0,0,1,0
tat_train_track_a_00091,не груби кызларга,1,0,0,0,0,0
tat_train_track_a_00092,рәхмәт бик зур 😊 🌺,0,0,0,1,0,0
tat_train_track_a_00093,бер нишләмим)син?нигә ярыйсы гына?,0,0,0,0,0,1
tat_train_track_a_00094,Актаныш яшьлэре бикрэк оятсыз......,0,1,0,0,0,0
tat_train_track_a_00095,"Хәерле көн, хөрмәтле Әтиләребез, Әниләребез, Балакайларыбыз!Безнең матур бәйрәмнәребездә татарча сөйләшә торган кайсы геройларны күрергә теләр идегез?:)",0,0,0,1,0,0
tat_train_track_a_00096,"Голназ ин матур исем инде, калганын белмим)",0,0,0,1,0,0
tat_train_track_a_00097,"Akbure Tatar  слыш мамбет ты  скорее всего умственно отсталый, так как ты не понимаешь, чо несешь, как тогда объясниш тобою сказанную фразу  төрки халыкларда шундый мәкалә бар:""""дустың урыс булса, яныңда балтаң булсын"". Мин башта аны татарларда гына дип уйлаган идем, юк икәәәән шул. Кыргызда да, казахта да, узбәк белән төрекмәндә калмаган, аларда да бар, Алрда гына түгел хәтта төркиядә лә нәкъ шул ук мәкаль.  идиот!!!!!!!!!!!!!!!!!!",1,0,0,0,0,0
tat_train_track_a_00098,Парада скучно😔 кем нишли?  Медиклар нишлэргэ белми😔,0,0,0,0,1,0
tat_train_track_a_00099,"Ул жен дип кишер чэйнэп утырма инде, э!",1,0,0,0,0,0
tat_train_track_a_00100,"Бәйрәм белән, иптәшләр! :)",0,0,0,1,0,0
tat_train_track_a_00101,Эмма андый чакларны уздырып жибэрергэ кирэк,0,0,0,0,0,0
tat_train_track_a_00102,"ЯРАТА: ӘТИ-ӘНИСЕН, ГАИЛӘСЕН, РИЗЫКТАН - БӘЛЕШ",0,0,0,1,0,0
tat_train_track_a_00103,"Берничә тапкыр, чишенеп, иренең дәртен кузгатырга да тырышып карады.",0,0,0,0,0,0
tat_train_track_a_00104,Мин бик яратам! Ашарга да... 😊,0,0,0,1,0,0
tat_train_track_a_00105,Бэхетле булыгыз и всё))),0,0,0,1,0,0
tat_train_track_a_00106,минем баштан узды,0,0,0,0,0,0
tat_train_track_a_00107,"Дөньяда бит хыялларсыз,  Омтылышсыз була яшәп. Ләкин алга чаба-чаба Шулардан тәм таба-таба Яшәү кызык, яшәү рәхәт.  Яшәп була макталусыз, Нәрсәгә ул дан һәм шөһрәт? Ләкин берәү, эшең мактап, Чын күңелдән әйтсә рәхмәт -  Җанга йомшак, җанга рәхәт.  Кеше күнә күп нәрсәгә - Ялгызың да була яшәп. Ләкин янда дуслар булса, Алар кайгыртуын тойсаң, Тормыш җиңел, дөнья рәхәт.  Һичкайчан да башын ими, Кеше бит ул көчле гаҗәп. Бу дөньяда өстен булу, Нинди кызык, нинди рәхәт!  (Фәнис Яруллин,1968)",0,0,0,1,0,0
tat_train_track_a_00108,сезгэ берничек тэ ярап булмый инде!!!,1,0,0,0,0,0
tat_train_track_a_00109,син анын турда уйламадын мени?ник язасын алайса туктамаенчы?,0,0,0,0,0,1
tat_train_track_a_00110,"Бик ошады,Лилия алдагы коннэрендэ дэ унышлар телим))))",0,0,0,1,0,0
tat_train_track_a_00111,"Ул 2013 елда да булырга тиеш иде, булмады(",0,0,0,0,1,0
