id,text,anger,disgust,fear,joy,sadness,surprise
hin_train_track_a_00001,वह अपने दोस्तों के साथ मूवी देखने गई थी।,0,0,0,0,0,0
hin_train_track_a_00002,ऑफिस की फाइल्स ठीक से रखी गई हैं।,0,0,0,0,0,0
hin_train_track_a_00003,युद्ध के प्रभाव से सीमावर्ती क्षेत्रों में खाद्य आपूर्ति प्रभावित हो सकती है।,0,0,0,0,0,0
hin_train_track_a_00004,"अरे वाह! आज तो मेरी बेटी ने अपने कमरे की ही नहीं, पूरे घर की सफाई खुद की है !",0,0,0,1,0,1
hin_train_track_a_00005,गवर्नमेंट की नई टैक्स योजना ने तो गरीबों को और गरीब कर दिया है,1,0,0,0,1,0
hin_train_track_a_00006,"पहली बार बच्चे की गन्दी बदबूदार नैपी बदलना सबसे मुश्किल था, मुझे तो उल्टी आने वाली थी।",0,1,0,0,0,0
hin_train_track_a_00007,"परेशान हो गया हूँ मै तो, खड़ी फसल पर फिर से कीड़ों का हमला हो गया, हर साल इसी वजह से कितना नुकसान झेलना पड़ता है।",1,0,0,0,1,0
hin_train_track_a_00008,"इस फैशन वीक में आकर ही बहुत मजा आ रहा था, ऊपर से इस नए ट्रेंड के कपड़े ट्राय करने का मौका मिल गया और मुझे क्या चाहिए !",0,0,0,1,0,0
hin_train_track_a_00009,मुझे यह जानकर बहुत दु:ख हुआ कि पूर्व प्रधानमंत्री देवेगौड़ा के बेटे और पोते ने एक बुज़ुर्ग महिला के साथ दुष्कर्म किया।,0,0,0,0,1,0
hin_train_track_a_00010,"बिजली से चलने वाले सभी उपकरण, जिनके बिना आज जीवन की कल्पना करना भी मुश्किल है, तकनीकी प्रगति का ही परिणाम हैं।",0,0,0,0,0,0
hin_train_track_a_00011,सहकर्मी की आत्महत्या की इस दु:खद घटना से ऑफिस में मैं ही नहीं हर कोई गहरे सदमे में है।,0,0,0,0,1,0
hin_train_track_a_00012,"मेरे बेटे ने नीट का एग्जाम बहुत अच्छे अंकों से क्लीयर कर, जबलपुर मेडिकल में एडमिशन ले लिया है !! हम सभी उसके जीवन की इस नई शुरुआत पर बहुत खुश हैं।",0,0,0,1,0,0
hin_train_track_a_00013,आरटीओ ऑफिस की औपचारिकताएँ बहुत परेशान और हतोत्साहित करने वाली हैं।,0,0,0,0,1,0
hin_train_track_a_00014,आज गमले मे बहुत सारे लाल गुलाब खिले देख मन खुश हो गया।,0,0,0,1,0,0
hin_train_track_a_00015,तसलीमा नसरीन की किताब में महिलाओं की पीड़ा को इतने प्रभावी ढंग से प्रस्तुत किया गया है कि पढ़ते हुए आंसू छलक आए।,0,0,0,0,1,0
hin_train_track_a_00016,बॉस ने आज मेरी क्लास ले ली यार!!,0,0,0,0,1,0
hin_train_track_a_00017,आजकल हर दूसरे दिन नया फ़ोन लॉन्च होता है।,0,0,0,0,0,0
hin_train_track_a_00018,"अरे वाह! इनकी सर्विस वाकई कमाल की है, इतनी जल्दी सारा घर चमका दिया !!",0,0,0,1,0,1
hin_train_track_a_00019,"मैं नृत्य का अभ्यास नहीं कर पाता, नौकरी के कारण समय ही नहीं मिलता !",0,0,0,0,1,0
hin_train_track_a_00020,फिल्म की बेतुकी कहानी और बेकार एक्टिंग ने मुझे चिड़चिड़ा बना दिया।,1,0,0,0,0,0
hin_train_track_a_00021,"नायक की मौत पर पूरे सिनेमा हॉल में सन्नाटा छा गया, मेरी तो आंखें नम हो गयीं थीं।",0,0,0,0,1,0
hin_train_track_a_00022,कई लोगों को अक्सर सपने में अनजाने खंडहर दिख जाते हैं।,0,0,0,0,0,0
hin_train_track_a_00023,"ये लड़का कब सुधरेगा?? जब भी हॉस्टल से घर आता है कपड़े, जूते, बाल सब कुछ गन्दा और बदबूदार होता है।",0,1,0,0,0,0
hin_train_track_a_00024,"बॉस की नज़रें जैसे ही मुझ पर पड़ती हैं, लगता है जैसे मुझसे कुछ गलत हो गया है !",0,0,1,0,0,0
hin_train_track_a_00025,"इस घर में सब कुछ कितना बेरंग और बेजान सा है, यहाँ रहकर तो मैं और भी उदास और निराश हो गयी हूँ।",0,0,0,0,1,0
hin_train_track_a_00026,हर्डल रेस में मुझे डर लगा रहता है कि मै ज़्यादा तेज दौड़ने पर कहीं मै हर्डल से टकरा ना जाऊँ ।,0,0,1,0,0,0
hin_train_track_a_00027,"भारत के हर प्रान्त में ऐतिहासिक महत्व के कई स्थल हैं, यहाँ पर्यटन को बढ़ावा दिया जाना चाहिए।",0,0,0,0,0,0
