id,text,anger,disgust,fear,joy,sadness,surprise
esp_train_track_b_00001,"2018 y lo sigo escuchando Like si tú también , te amo @<username> amor terricola 🖖❤️",0,0,0,3,0,0
esp_train_track_b_00002,No les aguas. Caso a los pen...sativos de los haters o como se escriba,0,2,0,0,0,0
esp_train_track_b_00003,yo ya estoy.cagandome de risa pero jajajaaja esa buenisimo el video,0,0,0,3,0,0
esp_train_track_b_00004,Donde le pongo donde son tontos y asquerosos y aburridos,2,2,0,0,0,0
esp_train_track_b_00005,"El ritmo está bien, la letra es un asco y quién la canta aún más 😝",0,2,0,0,0,0
esp_train_track_b_00006,Hermosa no la paro de escuchar 😍 ya la e escuchado mil veces 😍💖💕,0,0,0,2,0,0
esp_train_track_b_00007,Si es mañana y esto llega a 100.000 Millones vistas me pongo a flipar:VXD,0,0,0,0,0,2
esp_train_track_b_00008,Nunca habia escuchado esto...y ahora me arrepiento,0,2,0,0,2,3
esp_train_track_b_00009,Yo los odio y nodi gan eso,2,0,0,0,0,0
esp_train_track_b_00010,Los dos son asombrosos,0,0,0,1,0,2
esp_train_track_b_00011,Una total falta de respeto cambiar el himno a otro idioma,2,0,0,0,0,0
esp_train_track_b_00012,Ustedes so saben que es humor no?._.,0,2,0,0,0,2
esp_train_track_b_00013,"😂 Pobre amigo, siempre la paga por culpa de su hermano",0,0,0,2,0,0
esp_train_track_b_00014,Pensé sacaría una pistola o algo y lo mataría .-.,0,0,1,0,0,2
esp_train_track_b_00015,El soplido del hombre cuando termina de hablar me da miedo,0,0,2,0,0,0
esp_train_track_b_00016,Mi mama se moriria si viera una titanoboa esque le dan miedo las serpientes,0,0,2,0,0,0
esp_train_track_b_00017,O por Dios 104 millones de vistas,0,0,0,0,0,2
esp_train_track_b_00018,Porque la corte no procedió contra Benedetti. que sabe que le tienen miedo?,1,0,0,0,0,2
esp_train_track_b_00019,estos weyes si que dan asco,0,2,0,0,0,0
esp_train_track_b_00020,@<username> ya estas por los 11 millones omg no lo puedo creer,0,0,0,0,0,2
esp_train_track_b_00021,Gran noticia para la paz de Colombia 🇨🇴 y sus víctimas. ❤,0,0,0,2,0,0
esp_train_track_b_00022,ME ENCANTA VUESTRA VOZ OS AMO saludos plis ❤️💋💋💋💝😘🧡💚💚💙💜❤️💛💛🧡💚💙💜💓💓💓😻🤩😻😻♥️ YOLORIANA ECSISTE BIEN TOMA,0,0,0,2,0,0
esp_train_track_b_00023,Porque se comen a los cuyitos que salvajes,1,1,0,0,1,0
esp_train_track_b_00024,Odio esto q suceda con los pobres perros ellos no tienen la culpa de nada,2,0,0,0,2,0
esp_train_track_b_00025,Me quede impactado,0,0,0,0,0,2
esp_train_track_b_00026,Amoo por un beso es mi cancion favoo,0,0,0,2,0,0
esp_train_track_b_00027,"Asesino de mierda, ahora todos están en el infierno.",3,3,0,0,0,0
esp_train_track_b_00028,No se porque esto me causo pesadillas :v,0,0,2,0,0,0
esp_train_track_b_00029,Que asco de video no se si esto se puede llamar cancion 🤮🤮🤮,0,3,0,0,0,0
esp_train_track_b_00030,Los @<username> no son malos ustedes.son muy idiotas,2,2,0,0,0,0
