text_id,text,emotion,Annotator-1,Annotator-2,Annotator-3,Annotator-4,Annotator-5,Annotator-6,Annotator-7,Annotator-8,Annotator-9,Annotator-10
1,"عمر لرشيد بري: ""أعطيني شوية من واش راك تاكل!""",Joy,0,0,0,0,0,0,0,1,,
1,"عمر لرشيد بري: ""أعطيني شوية من واش راك تاكل!""",Fear,1,0,0,0,0,0,0,0,,
1,"عمر لرشيد بري: ""أعطيني شوية من واش راك تاكل!""",Anger,2,0,0,0,3,0,0,1,,
1,"عمر لرشيد بري: ""أعطيني شوية من واش راك تاكل!""",Sadness,0,0,0,0,2,0,1,0,,
1,"عمر لرشيد بري: ""أعطيني شوية من واش راك تاكل!""",Disgust,0,0,0,0,0,0,0,0,,
1,"عمر لرشيد بري: ""أعطيني شوية من واش راك تاكل!""",Surprise,0,0,0,0,0,0,0,2,,
2,كانوا الدراري دايرين بيه. رشيد قسم شوية خبز و مد لليد اللي قدامه.,Joy,2,0,0,0,1,0,0,0,,
2,كانوا الدراري دايرين بيه. رشيد قسم شوية خبز و مد لليد اللي قدامه.,Fear,1,0,0,3,0,0,0,2,,
2,كانوا الدراري دايرين بيه. رشيد قسم شوية خبز و مد لليد اللي قدامه.,Anger,0,0,0,3,0,0,0,0,,
2,كانوا الدراري دايرين بيه. رشيد قسم شوية خبز و مد لليد اللي قدامه.,Sadness,1,0,0,1,0,0,1,0,,
2,كانوا الدراري دايرين بيه. رشيد قسم شوية خبز و مد لليد اللي قدامه.,Disgust,0,0,0,3,0,0,0,0,,
2,كانوا الدراري دايرين بيه. رشيد قسم شوية خبز و مد لليد اللي قدامه.,Surprise,0,0,0,0,0,0,0,0,,
3,"الدراري لي دايرين بيه يعيطووا و يحللوا: ""وانا وانا!""، ""وانا ما عطيتنيش!""، ""حليم ادّا كلش!""، ""لالا ماشي انا!"".",Joy,3,1,0,0,0,0,0,0,,
3,"الدراري لي دايرين بيه يعيطووا و يحللوا: ""وانا وانا!""، ""وانا ما عطيتنيش!""، ""حليم ادّا كلش!""، ""لالا ماشي انا!"".",Fear,0,1,0,0,0,0,0,0,,
3,"الدراري لي دايرين بيه يعيطووا و يحللوا: ""وانا وانا!""، ""وانا ما عطيتنيش!""، ""حليم ادّا كلش!""، ""لالا ماشي انا!"".",Anger,3,1,0,0,0,0,0,3,,
3,"الدراري لي دايرين بيه يعيطووا و يحللوا: ""وانا وانا!""، ""وانا ما عطيتنيش!""، ""حليم ادّا كلش!""، ""لالا ماشي انا!"".",Sadness,0,2,0,0,2,0,0,1,,
3,"الدراري لي دايرين بيه يعيطووا و يحللوا: ""وانا وانا!""، ""وانا ما عطيتنيش!""، ""حليم ادّا كلش!""، ""لالا ماشي انا!"".",Disgust,0,1,0,0,0,0,1,0,,
3,"الدراري لي دايرين بيه يعيطووا و يحللوا: ""وانا وانا!""، ""وانا ما عطيتنيش!""، ""حليم ادّا كلش!""، ""لالا ماشي انا!"".",Surprise,3,0,0,0,0,0,0,1,,
4,الراوي: رشيد زعف و هرب و عمر حبس ما يطلب. عمر كان يسرق من بزاف الدراري كل يوم، كانوا كاينين لي يتخباو و اللي يهربوا و اللي يبكيو كي يشفوه من البعيد. و كانوا تانيت كاينين القافزين لي ياكلوا خبزهم في الكلاصة (القسم).,Joy,0,0,0,0,0,0,0,0,,
4,الراوي: رشيد زعف و هرب و عمر حبس ما يطلب. عمر كان يسرق من بزاف الدراري كل يوم، كانوا كاينين لي يتخباو و اللي يهربوا و اللي يبكيو كي يشفوه من البعيد. و كانوا تانيت كاينين القافزين لي ياكلوا خبزهم في الكلاصة (القسم).,Fear,3,0,3,0,0,0,0,3,,
4,الراوي: رشيد زعف و هرب و عمر حبس ما يطلب. عمر كان يسرق من بزاف الدراري كل يوم، كانوا كاينين لي يتخباو و اللي يهربوا و اللي يبكيو كي يشفوه من البعيد. و كانوا تانيت كاينين القافزين لي ياكلوا خبزهم في الكلاصة (القسم).,Anger,3,2,3,2,0,0,3,3,,
4,الراوي: رشيد زعف و هرب و عمر حبس ما يطلب. عمر كان يسرق من بزاف الدراري كل يوم، كانوا كاينين لي يتخباو و اللي يهربوا و اللي يبكيو كي يشفوه من البعيد. و كانوا تانيت كاينين القافزين لي ياكلوا خبزهم في الكلاصة (القسم).,Sadness,1,0,0,0,2,3,0,0,,
4,الراوي: رشيد زعف و هرب و عمر حبس ما يطلب. عمر كان يسرق من بزاف الدراري كل يوم، كانوا كاينين لي يتخباو و اللي يهربوا و اللي يبكيو كي يشفوه من البعيد. و كانوا تانيت كاينين القافزين لي ياكلوا خبزهم في الكلاصة (القسم).,Disgust,0,0,2,0,0,0,0,0,,
4,الراوي: رشيد زعف و هرب و عمر حبس ما يطلب. عمر كان يسرق من بزاف الدراري كل يوم، كانوا كاينين لي يتخباو و اللي يهربوا و اللي يبكيو كي يشفوه من البعيد. و كانوا تانيت كاينين القافزين لي ياكلوا خبزهم في الكلاصة (القسم).,Surprise,1,0,0,0,0,0,0,0,,
5,"واحد من الاولاد يوري في جيوبه و يقول لعمر: "" ما جبت والو!""",Joy,0,0,0,0,0,0,0,0,,
5,"واحد من الاولاد يوري في جيوبه و يقول لعمر: "" ما جبت والو!""",Fear,3,2,0,2,0,0,0,3,,
5,"واحد من الاولاد يوري في جيوبه و يقول لعمر: "" ما جبت والو!""",Anger,0,1,0,0,2,0,1,0,,
5,"واحد من الاولاد يوري في جيوبه و يقول لعمر: "" ما جبت والو!""",Sadness,3,1,0,0,0,0,1,2,,
5,"واحد من الاولاد يوري في جيوبه و يقول لعمر: "" ما جبت والو!""",Disgust,0,0,0,0,0,0,0,0,,
5,"واحد من الاولاد يوري في جيوبه و يقول لعمر: "" ما جبت والو!""",Surprise,0,0,0,0,0,1,0,0,,
6,"عمر: ""امالا مديته (الخبز) لواحد آخر باش تخبيه!""",Joy,0,0,0,0,0,0,0,0,,
6,"عمر: ""امالا مديته (الخبز) لواحد آخر باش تخبيه!""",Fear,0,0,0,0,0,0,0,0,,
6,"عمر: ""امالا مديته (الخبز) لواحد آخر باش تخبيه!""",Anger,3,0,0,2,3,0,1,3,,
6,"عمر: ""امالا مديته (الخبز) لواحد آخر باش تخبيه!""",Sadness,3,0,0,0,0,0,0,0,,
6,"عمر: ""امالا مديته (الخبز) لواحد آخر باش تخبيه!""",Disgust,0,0,0,0,0,0,0,1,,
6,"عمر: ""امالا مديته (الخبز) لواحد آخر باش تخبيه!""",Surprise,3,0,0,0,0,0,0,0,,
7,"الولد: ""لالا و الله!""",Joy,0,0,0,0,0,0,0,0,,
7,"الولد: ""لالا و الله!""",Fear,3,3,0,2,2,3,0,3,,
7,"الولد: ""لالا و الله!""",Anger,0,0,0,0,0,3,0,0,,
7,"الولد: ""لالا و الله!""",Sadness,0,1,0,0,0,0,0,3,,
7,"الولد: ""لالا و الله!""",Disgust,0,0,0,0,0,0,0,0,,
7,"الولد: ""لالا و الله!""",Surprise,3,1,0,0,0,0,0,3,,
8,"عمر"" : ""بركا ما تكذب! ما تجييش تحوس ندافع عليك!""",Joy,0,0,0,0,0,0,0,0,0,
8,"عمر"" : ""بركا ما تكذب! ما تجييش تحوس ندافع عليك!""",Fear,0,0,0,0,0,0,0,0,0,
8,"عمر"" : ""بركا ما تكذب! ما تجييش تحوس ندافع عليك!""",Anger,3,3,0,3,3,3,3,2,3,
8,"عمر"" : ""بركا ما تكذب! ما تجييش تحوس ندافع عليك!""",Sadness,0,0,0,0,0,1,0,0,0,
8,"عمر"" : ""بركا ما تكذب! ما تجييش تحوس ندافع عليك!""",Disgust,3,2,0,0,0,1,0,0,2,
8,"عمر"" : ""بركا ما تكذب! ما تجييش تحوس ندافع عليك!""",Surprise,0,0,0,0,0,0,0,0,0,
9,"الولد: ""و الله غير نجيبلك طرف كبير غدوا!""",Joy,0,0,0,0,0,0,0,0,,
9,"الولد: ""و الله غير نجيبلك طرف كبير غدوا!""",Fear,3,3,0,0,2,0,0,3,,
9,"الولد: ""و الله غير نجيبلك طرف كبير غدوا!""",Anger,0,0,0,0,0,0,0,0,,
9,"الولد: ""و الله غير نجيبلك طرف كبير غدوا!""",Sadness,2,0,0,0,0,0,0,0,,
9,"الولد: ""و الله غير نجيبلك طرف كبير غدوا!""",Disgust,3,0,0,0,0,0,0,0,,
9,"الولد: ""و الله غير نجيبلك طرف كبير غدوا!""",Surprise,0,0,0,0,0,0,0,0,,
10,الراوي: عمر رماله كاسكيطته و عفس عليها. كان يدافع على اللي كانوا الاولاد الكبار يخوفوهم.,Joy,0,0,0,0,0,0,0,0,,
10,الراوي: عمر رماله كاسكيطته و عفس عليها. كان يدافع على اللي كانوا الاولاد الكبار يخوفوهم.,Fear,3,0,0,0,0,0,0,0,,
10,الراوي: عمر رماله كاسكيطته و عفس عليها. كان يدافع على اللي كانوا الاولاد الكبار يخوفوهم.,Anger,2,0,3,3,3,2,3,3,,
10,الراوي: عمر رماله كاسكيطته و عفس عليها. كان يدافع على اللي كانوا الاولاد الكبار يخوفوهم.,Sadness,0,0,0,0,0,0,0,2,,
10,الراوي: عمر رماله كاسكيطته و عفس عليها. كان يدافع على اللي كانوا الاولاد الكبار يخوفوهم.,Disgust,1,0,0,3,0,0,0,0,,
10,الراوي: عمر رماله كاسكيطته و عفس عليها. كان يدافع على اللي كانوا الاولاد الكبار يخوفوهم.,Surprise,0,0,0,0,0,0,0,0,,
11,الراوي: في دار سبيطار، كان عمر يجيب الخبز من عند يمينة .كانت تجيب قفة كبيرة من السوق كل صباح و عمر كان يشريلها، يعمرلها الماء من العين، يديلها الخبز للفران، ... و يمينة كانت تعطيه طرف خبز ساعات مع فاكية ولا فلفل مشوي و ساعات مع شوية لحم ولا سردينة مقلية، ... في وقت الماكلة كي كان يجيها عمر كانت تدخله تحطله طبسي ماكلة و الخبز.,Joy,1,0,2,3,2,1,2,3,,
11,الراوي: في دار سبيطار، كان عمر يجيب الخبز من عند يمينة .كانت تجيب قفة كبيرة من السوق كل صباح و عمر كان يشريلها، يعمرلها الماء من العين، يديلها الخبز للفران، ... و يمينة كانت تعطيه طرف خبز ساعات مع فاكية ولا فلفل مشوي و ساعات مع شوية لحم ولا سردينة مقلية، ... في وقت الماكلة كي كان يجيها عمر كانت تدخله تحطله طبسي ماكلة و الخبز.,Fear,0,0,0,0,0,0,0,0,,
11,الراوي: في دار سبيطار، كان عمر يجيب الخبز من عند يمينة .كانت تجيب قفة كبيرة من السوق كل صباح و عمر كان يشريلها، يعمرلها الماء من العين، يديلها الخبز للفران، ... و يمينة كانت تعطيه طرف خبز ساعات مع فاكية ولا فلفل مشوي و ساعات مع شوية لحم ولا سردينة مقلية، ... في وقت الماكلة كي كان يجيها عمر كانت تدخله تحطله طبسي ماكلة و الخبز.,Anger,0,0,0,0,0,0,0,0,,
11,الراوي: في دار سبيطار، كان عمر يجيب الخبز من عند يمينة .كانت تجيب قفة كبيرة من السوق كل صباح و عمر كان يشريلها، يعمرلها الماء من العين، يديلها الخبز للفران، ... و يمينة كانت تعطيه طرف خبز ساعات مع فاكية ولا فلفل مشوي و ساعات مع شوية لحم ولا سردينة مقلية، ... في وقت الماكلة كي كان يجيها عمر كانت تدخله تحطله طبسي ماكلة و الخبز.,Sadness,0,0,0,0,0,0,0,0,,
