id,text,Anger,Fear,Joy,Sadness,Surprise
eng_train_track_a_00001,But not very happy.,0,0,1,1,0
eng_train_track_a_00002,"Well she's not gon na last the whole song like that, so since I'm behind her and the audience can't see below my torso pretty much, I use my hand to push down on the lid and support her weight.",0,0,1,0,0
eng_train_track_a_00003,She sat at her Papa's recliner sofa only to move next to me and start clinging to my arms.,0,0,0,0,0
eng_train_track_a_00004,"Yes, the Oklahoma city bombing.",1,1,0,1,1
eng_train_track_a_00005,They were dancing to Bolero.,0,0,1,0,0
eng_train_track_a_00006,"Still had sex with her, though.",0,0,1,0,0
eng_train_track_a_00007,"But I am exhausted-my eyes feel like they are about to pop out of my head-I need some soothing music and images to help my mediate, even for a few minutes, just take me away $ # 365 yoga Monday's Musical Meditation: 0 minutes ago early night-first day of work after mat.",0,1,0,1,0
eng_train_track_a_00008,We ordered some food at Mcdonalds instead of buying food at the theatre because of the ridiculous prices the theatre has.,1,0,0,0,0
eng_train_track_a_00009,"Now my parents live in the foothills, and the college is in a large valley.",0,0,0,0,0
eng_train_track_a_00010,"We get to the porch and my dog starts *growling*, like a big boy growl, like shits going down growl.",0,1,0,0,1
eng_train_track_a_00011,"I moved my arms, stretching the muscles, watching ribbons of flesh dance around skin and bone.",0,0,1,0,0
eng_train_track_a_00012,"The room was small but brightly lit and I sat on a two-seater couch facing the counselor across the room, as opposed to lounging on my back while staring at the ceiling with the lights dimmed.So what did I learn?",0,0,0,0,0
eng_train_track_a_00013,The top of the mattress comes up a little above my waist!,0,0,1,0,0
eng_train_track_a_00014,I have plenty more.,0,0,1,0,0
eng_train_track_a_00015,it took a little longer for my feet to hurt which was nice.,0,0,1,0,0
eng_train_track_a_00016,About 2 weeks ago I thought I pulled a muscle in my calf.,0,1,0,1,0
eng_train_track_a_00017,I still cannot explain this.,0,1,0,0,1
eng_train_track_a_00018,more funny than creepy being on this side of the story:,0,1,1,0,1
eng_train_track_a_00019,5 year old me was scarred for life.,0,1,0,1,0
eng_train_track_a_00020,The waitress had physical therapy experience and prepared a nice bag of ice for my ankle and the beer was FANTASTIC!,0,0,1,0,0
eng_train_track_a_00021,"Then I decided to try and get up to go to the restroom, but I couldn't move!",0,1,0,0,1
eng_train_track_a_00022,""" The cop tells him to have a nice day and walks away.",1,0,1,0,1
eng_train_track_a_00023,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
eng_train_track_a_00024,"He saw blood and said,  ""Mommy!",0,1,0,1,1
eng_train_track_a_00025,"Not the most unnerving feeling, but the most prominent event in my mind is as follows:",0,1,0,0,1
eng_train_track_a_00026,When the dust settled I looked over at my wife and saw she was alive and I knew I was alive so I immediately had happiness in my heart.,0,0,1,0,0
eng_train_track_a_00027,I love you boy.,0,0,1,0,0
eng_train_track_a_00028,i brush my teeth at least twice a day.,0,0,0,0,0
eng_train_track_a_00029,"Needless to say, I turned her down.",0,0,0,0,0
eng_train_track_a_00030,"I lowered my head so it fell across my face, a good excuse not to look directly at Cody.",0,1,0,0,0
eng_train_track_a_00031,Never saw him again.,0,0,0,1,0
eng_train_track_a_00032,still cant get my head around the fact that this time 2 weeks ill be home.,0,1,0,0,0
eng_train_track_a_00033,"Grandma leaned forward, let out a sigh of relief and died.",0,1,0,1,1
eng_train_track_a_00034,My heart immediately hurt.,0,1,0,1,0
eng_train_track_a_00035,Apparently it wasn't as life threatening as I believed at the time because the doctor didn't want to mar my forehead with stitches so I got butterfly bandages instead.,0,1,0,1,0
eng_train_track_a_00036,"It was a call from the company whose offer i had accepted, saying that on the medical check up ( i signed the contract before i went on med.check ); my lungs doesn't seem well.",0,1,0,1,0
eng_train_track_a_00037,"It's going to suck worse when I'm barefoot in the kitchen in two months and a piece of glass I overlooked is going to unearth itself and stick into the bottom of my foot, like that one time.",0,1,0,0,0
