id,Text,Surprise,Fear,Anger,Disgust,Sadness,Joy,Neutral
es_sample_track1_00000,Muy buena rola 😊❤ éxitos totales mi buen,0,0,0,0,0,1,0
es_sample_track1_00001,Si que me he gozado y deleitado con el temazo 🔥 👌 no he parado de reír,0,0,0,0,0,1,0
es_sample_track1_00002,Q pena Q penisima jajajajaja 😂😂😂 buenísimo ❤❤👌,0,0,0,0,0,1,0
es_sample_track1_00003,"¿Cómo que perdimos? Ganamos la guerra carajo, si perdimos territorio fue por los giles de los políticos.",0,0,1,1,0,0,0
es_sample_track1_00004,Nooo no te vallas te extrañamos,0,0,0,0,1,0,0
es_sample_track1_00005,Me da pena agena esta baina.,0,0,0,1,0,0,0
es_sample_track1_00006,Que buena salchipapa hijueeepuuu. #ElViejo 🤣🤣,1,0,0,0,0,1,0
es_sample_track1_00007,Esta chever esta serie felicidades..,0,0,0,0,0,1,0
es_sample_track1_00008,"Harta demencia es el de guayaquil, no copien ya les pego lo copion de Moran el más copion.",0,0,0,1,0,0,0
es_sample_track1_00009,creen un canal de los morales sus videos son estraordinarios,0,0,0,0,0,1,0
es_sample_track1_00010,es una canción inventada  o se la copiaron a los chilenos?😐,1,0,0,0,0,0,0
es_sample_track1_00011,Yo aqui...viendo comerciales...en youtube...yupi ._.,0,0,0,0,0,0,1
es_sample_track1_00012,dejen de comercializar no sean vendidos de mierda,0,0,1,1,0,0,0
es_sample_track1_00013,Esto si va a ser una película de verdad o va a ser la misma mierda que hizo Wismichu.,0,0,1,1,0,0,0
es_sample_track1_00014,Hasta a mí me dolió la inyección 😭,0,1,0,0,1,0,0
es_sample_track1_00015,Pobre chichico siempre lo golpean😂😂😂,0,0,0,0,0,1,0
es_sample_track1_00016,pobre niño un traumado mas,0,0,0,0,1,0,0
es_sample_track1_00017,recuerdo que mi hermana me escondió mi celular y estuve llorando porque no lo encontraba,0,0,0,0,1,0,0
es_sample_track1_00018,No es Chileno?.,1,0,0,0,0,0,0
es_sample_track1_00019,Traumaron mis pocos recuerdos de la infancia aaa,0,1,0,0,1,0,0
es_sample_track1_00020,Dios!!!  Q brutal xd pero es la repera,1,0,0,0,0,1,0
es_sample_track1_00021,Son lo maximooo chikos..,0,0,0,0,0,1,0
es_sample_track1_00022,Por qué las malas palabras?,1,0,0,1,0,0,0
es_sample_track1_00023,Que mal se ve esa niña diciendo malas palabras,0,0,0,1,0,0,0
es_sample_track1_00024,Los Amo ❤❤,0,0,0,0,0,1,0
es_sample_track1_00025,si asi mismo son las familias de aora ijos de pucta y si no me conocen descubran mi nombre,0,0,1,1,0,0,0
es_sample_track1_00026,Enchufetv : !!!TODOS SUSCRITOS!!!   Yo: ya estoy,1,0,0,0,0,0,0
es_sample_track1_00027,Porque mierda hay comentarios en inglés,0,0,1,1,0,0,0
es_sample_track1_00028,despues de hacer ese video del chavo tienen el descaro de hacer otro video !!!,0,0,0,1,0,0,0
es_sample_track1_00029,la cara de ese wey si q da miedo! ¡Yo ya stoy!  o.O,1,1,0,0,0,0,0
es_sample_track1_00030,Desde cuándo colaboran con gente mierda?,1,0,0,1,0,0,0
es_sample_track1_00031,Porque nooo :c  Cagaron el video con kevlex,0,0,1,0,1,0,0
es_sample_track1_00032,Kevblex nooo me la creo weyyy no puedo creer que kevblex estaba en enchufe TV nooo,1,0,0,0,0,1,0
