id,Text,Emotion,Intensity
es_sample_track2_00000,Muy buena rola 😊❤ éxitos totales mi buen,Joy,3
es_sample_track2_00001,Si que me he gozado y deleitado con el temazo 🔥 👌 no he parado de reír,Joy,2
es_sample_track2_00002,Q pena Q penisima jajajajaja 😂😂😂 buenísimo ❤❤👌,Joy,2
es_sample_track2_00003,"¿Cómo que perdimos? Ganamos la guerra carajo, si perdimos territorio fue por los giles de los políticos.",Anger,3
es_sample_track2_00004,"¿Cómo que perdimos? Ganamos la guerra carajo, si perdimos territorio fue por los giles de los políticos.",Disgust,2
es_sample_track2_00005,Nooo no te vallas te extrañamos,Sadness,2
es_sample_track2_00006,Me da pena agena esta baina.,Disgust,2
es_sample_track2_00007,Que buena salchipapa hijueeepuuu. #ElViejo 🤣🤣,Surprise,2
es_sample_track2_00008,Que buena salchipapa hijueeepuuu. #ElViejo 🤣🤣,Joy,3
es_sample_track2_00009,Esta chever esta serie felicidades..,Joy,3
es_sample_track2_00010,"Harta demencia es el de guayaquil, no copien ya les pego lo copion de Moran el más copion.",Disgust,1
es_sample_track2_00011,creen un canal de los morales sus videos son estraordinarios,Joy,1
es_sample_track2_00012,es una canción inventada  o se la copiaron a los chilenos?😐,Surprise,1
es_sample_track2_00013,dejen de comercializar no sean vendidos de mierda,Anger,1
es_sample_track2_00014,dejen de comercializar no sean vendidos de mierda,Disgust,1
es_sample_track2_00015,Esto si va a ser una película de verdad o va a ser la misma mierda que hizo Wismichu.,Anger,1
es_sample_track2_00016,Esto si va a ser una película de verdad o va a ser la misma mierda que hizo Wismichu.,Disgust,1
es_sample_track2_00017,Hasta a mí me dolió la inyección 😭,Fear,1
es_sample_track2_00018,Hasta a mí me dolió la inyección 😭,Sadness,2
es_sample_track2_00019,Pobre chichico siempre lo golpean😂😂😂,Joy,2
es_sample_track2_00020,pobre niño un traumado mas,Sadness,2
es_sample_track2_00021,recuerdo que mi hermana me escondió mi celular y estuve llorando porque no lo encontraba,Sadness,1
es_sample_track2_00022,No es Chileno?.,Surprise,2
es_sample_track2_00023,Traumaron mis pocos recuerdos de la infancia aaa,Fear,1
es_sample_track2_00024,Traumaron mis pocos recuerdos de la infancia aaa,Sadness,1
es_sample_track2_00025,Dios!!!  Q brutal xd pero es la repera,Surprise,1
es_sample_track2_00026,Dios!!!  Q brutal xd pero es la repera,Joy,1
es_sample_track2_00027,Son lo maximooo chikos..,Joy,2
es_sample_track2_00028,Por qué las malas palabras?,Surprise,1
es_sample_track2_00029,Por qué las malas palabras?,Disgust,2
es_sample_track2_00030,Que mal se ve esa niña diciendo malas palabras,Disgust,1
es_sample_track2_00031,Los Amo ❤❤,Joy,2
es_sample_track2_00032,si asi mismo son las familias de aora ijos de pucta y si no me conocen descubran mi nombre,Anger,2
es_sample_track2_00033,si asi mismo son las familias de aora ijos de pucta y si no me conocen descubran mi nombre,Disgust,1
es_sample_track2_00034,Enchufetv : !!!TODOS SUSCRITOS!!!   Yo: ya estoy,Surprise,1
es_sample_track2_00035,Porque mierda hay comentarios en inglés,Anger,1
es_sample_track2_00036,Porque mierda hay comentarios en inglés,Disgust,1
es_sample_track2_00037,despues de hacer ese video del chavo tienen el descaro de hacer otro video !!!,Disgust,2
es_sample_track2_00038,la cara de ese wey si q da miedo! ¡Yo ya stoy!  o.O,Surprise,1
es_sample_track2_00039,la cara de ese wey si q da miedo! ¡Yo ya stoy!  o.O,Fear,2
es_sample_track2_00040,Desde cuándo colaboran con gente mierda?,Surprise,1
es_sample_track2_00041,Desde cuándo colaboran con gente mierda?,Disgust,2
es_sample_track2_00042,Porque nooo :c  Cagaron el video con kevlex,Anger,1
es_sample_track2_00043,Porque nooo :c  Cagaron el video con kevlex,Sadness,1
es_sample_track2_00044,Kevblex nooo me la creo weyyy no puedo creer que kevblex estaba en enchufe TV nooo,Surprise,2
es_sample_track2_00045,Kevblex nooo me la creo weyyy no puedo creer que kevblex estaba en enchufe TV nooo,Joy,1
es_sample_track2_00046,Kevlexd es un hipócrita PREFIERO MIL VECES AL ROD V:,Disgust,1
es_sample_track2_00047,ya no dan risa ahora dan pena esto dejo de ser gracioso es algo triste,Disgust,1
es_sample_track2_00048,ya no dan risa ahora dan pena esto dejo de ser gracioso es algo triste,Sadness,2
es_sample_track2_00049,son ideas mias o enchufe anda muy progre?,Surprise,1
es_sample_track2_00050,"Que asco Tik Tok, es para básicos!!!",Disgust,3
es_sample_track2_00051,pobre niña XD,Joy,2
es_sample_track2_00052,Da mas miedo la chica de BADABUN... Hoy en el 2019 😰😰😰,Surprise,2
es_sample_track2_00053,Da mas miedo la chica de BADABUN... Hoy en el 2019 😰😰😰,Fear,2
es_sample_track2_00054,DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE...  ENCHUFETV ANTES ERA CHEVEREEE!!! PULPINES Y NASTIFLU SILENCIOOO!!!,Anger,2
es_sample_track2_00055,DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE...  ENCHUFETV ANTES ERA CHEVEREEE!!! PULPINES Y NASTIFLU SILENCIOOO!!!,Disgust,2
es_sample_track2_00056,juajuajuajuajuajua muyy bueno!!!,Joy,2
es_sample_track2_00057,banda me trolearon no lo busquen :triste:,Sadness,1
es_sample_track2_00058,No sé muchachos eso de tomarle fotos a una loli en un baño con lo ofendido q todos son últimamente,Disgust,2
es_sample_track2_00059,ajajajaj que asco!,Disgust,1
es_sample_track2_00060,ajajajaj que asco!,Joy,2
es_sample_track2_00061,Esto es una basura,Disgust,3
es_sample_track2_00062,"Mí mamá la odia y todos mis amigos, dicen que me metí con ella por despecho, y tienen razon. 😂😂😂",Joy,2
es_sample_track2_00063,"No me canso de verlo... amo éste video, mi preferido del canal ❤ amo a Raúl ❤",Joy,3
es_sample_track2_00064,Me encanta Jaja :),Joy,2
es_sample_track2_00065,ma ra vi llo so! :D me gustó mucho jajaja,Surprise,1
es_sample_track2_00066,ma ra vi llo so! :D me gustó mucho jajaja,Joy,2
es_sample_track2_00067,jajaja la man dale tragando    los vergas q no les gusta no vean y punto mmvgs,Anger,1
es_sample_track2_00068,jajaja la man dale tragando    los vergas q no les gusta no vean y punto mmvgs,Joy,1
es_sample_track2_00069,Esta vez no me gusto ;(,Disgust,1
es_sample_track2_00070,Esta vez no me gusto ;(,Sadness,2
es_sample_track2_00071,Son un asco,Disgust,2
es_sample_track2_00072,está de lo mejor este sketch jajjajaja,Joy,3
es_sample_track2_00073,que asco de video,Disgust,2
es_sample_track2_00074,antes me gustaban sus videos peor ultimamente estan muy asquerosos... ._. y ya no dan risa,Disgust,2
es_sample_track2_00075,Que asco este vídeo,Disgust,3
es_sample_track2_00076,Tengo miedo!! >:C Aparte son las  Ya no voy a poder ir al baño sola :'u,Fear,2
es_sample_track2_00077,"Me da miedo que ahorita q le de “me gusta”👍 al vídeo, me contagien 😱😨😷 [•~•]",Fear,2
es_sample_track2_00078,"Me da miedo que ahorita q le de “me gusta”👍 al vídeo, me contagien 😱😨😷 [•~•]",Disgust,1
es_sample_track2_00079,de que mierda se trata este vídeo ridículo???,Surprise,1
es_sample_track2_00080,de que mierda se trata este vídeo ridículo???,Anger,1
es_sample_track2_00081,"Despues del Film ""Un chien Andaluz"" esto es lo mas bizarro que he visto.",Surprise,1
es_sample_track2_00082,"Despues del Film ""Un chien Andaluz"" esto es lo mas bizarro que he visto.",Disgust,2
es_sample_track2_00083,No lo supero .-.,Sadness,1
es_sample_track2_00084,quien mierda es mox?,Surprise,1
es_sample_track2_00085,quien mierda es mox?,Anger,1
es_sample_track2_00086,Que chuchas hicieron!!! pero q veeergaaa!!!,Surprise,1
es_sample_track2_00087,Que chuchas hicieron!!! pero q veeergaaa!!!,Anger,2
es_sample_track2_00088,tengo miedo a darle like al video !!!,Fear,1
es_sample_track2_00089,No mames que acabo de ver,Surprise,1
es_sample_track2_00090,LLEGAMOS A LOS 50 M!!! FELICIDADES GERMANNN,Joy,3
es_sample_track2_00091,Felicidades German. 🎉🎊,Joy,3
es_sample_track2_00092,Que truco tan épico ni el espejo pudo cactar el momento fue tan rápido dios mio,Surprise,3
es_sample_track2_00093,Ami tambien me da mucho miedo las arañas y las cucarachas,Fear,2
es_sample_track2_00094,No me esperaba ese final 😂😂😂,Surprise,2
es_sample_track2_00095,No me esperaba ese final 😂😂😂,Joy,2
es_sample_track2_00096,"Ay, a mi me dan miedo.",Fear,2
es_sample_track2_00097,Me das miedo 😨 quitatelo,Surprise,1
es_sample_track2_00098,Me das miedo 😨 quitatelo,Fear,2
es_sample_track2_00099,Mas miedo me da cuando veo doctop por la noche,Fear,1
es_sample_track2_00100,Mas miedo me da la decadencia 💀,Fear,1
es_sample_track2_00101,Más miedo me dá Kunno,Fear,1
es_sample_track2_00102,Mas miedo me da el SDT 7,Fear,1
es_sample_track2_00103,Más miedo me da que los pokémons existan y que haiga gente que se los coga,Fear,2
es_sample_track2_00104,Más miedo me da que los pokémons existan y que haiga gente que se los coga,Disgust,2
es_sample_track2_00105,no da miedo pero te conviertes en peruano XD,Joy,1
es_sample_track2_00106,Más miedo. Me da cuando viene mi tio,Fear,1
es_sample_track2_00107,"Mas miedo me da que alguien me dija ""tu ya sabes"" y yo nose",Fear,1
es_sample_track2_00108,En ves de miedo da asco 🤮,Disgust,2
es_sample_track2_00109,Me da mas miedo yutube kids,Fear,3
es_sample_track2_00110,Mas miedo me da cuando un bts se me aserca,Fear,1
es_sample_track2_00111,Wao... Me da mas miedo cocomelon xd,Surprise,1
es_sample_track2_00112,Wao... Me da mas miedo cocomelon xd,Joy,1
es_sample_track2_00113,"Me costó darme cuenta de que no me di cuenta de que, me tenía que dar cuenta .. 😂",Surprise,1
es_sample_track2_00114,"Me costó darme cuenta de que no me di cuenta de que, me tenía que dar cuenta .. 😂",Joy,2
es_sample_track2_00115,Pero deja de apuntarme con esa arma,Fear,2
es_sample_track2_00116,Me saco una lagrima haber vuelto escuchar esta cancion 🤧,Surprise,1
es_sample_track2_00117,Me saco una lagrima haber vuelto escuchar esta cancion 🤧,Sadness,2
es_sample_track2_00118,yo era un niño super feliz. Y pasaron 9 años. Y asta que cresi. Mi vida fue un ascooo.,Disgust,2
es_sample_track2_00119,yo era un niño super feliz. Y pasaron 9 años. Y asta que cresi. Mi vida fue un ascooo.,Sadness,2
es_sample_track2_00120,Ufff que canción,Surprise,1
es_sample_track2_00121,en mi opinion con autotune o sin autotune le ganaria a Bad Bunny Xd,Joy,2
es_sample_track2_00122,Juro que llore,Sadness,3
es_sample_track2_00123,Me hiso llorar la canción que se escucha de fondo,Sadness,2
es_sample_track2_00124,jaja me dio risa con el i.c.k.k.c.k,Joy,2
es_sample_track2_00125,Jajajajaja amo esta canción deberías hacer la 2 la 3 y la 1.5k,Surprise,1
es_sample_track2_00126,Jajajajaja amo esta canción deberías hacer la 2 la 3 y la 1.5k,Joy,1
es_sample_track2_00127,Jajajaj 🤣me encantó ❤️,Surprise,1
es_sample_track2_00128,Jajajaj 🤣me encantó ❤️,Joy,2
es_sample_track2_00129,El vídeo mas jodidamente random que he visto en mi corta y jodida vida xd,Joy,2
es_sample_track2_00130,Lo volví a ver después de dos años y casi lloro :'v,Sadness,2
es_sample_track2_00131,Extraño a ese Germán,Sadness,3
es_sample_track2_00132,Lo peor de esta canción es que se termina :'v,Sadness,2
es_sample_track2_00133,Me sorprendi wey rimama mucho omg,Surprise,2
es_sample_track2_00134,Que tontos los que le dieron👎,Anger,1
es_sample_track2_00135,Que tontos los que le dieron👎,Disgust,2
es_sample_track2_00136,Porque hay gente. Tan envidiosas que le paran dando dislikes ? 19K ei diablo,Surprise,2
es_sample_track2_00137,Porque hay gente. Tan envidiosas que le paran dando dislikes ? 19K ei diablo,Disgust,2
es_sample_track2_00138,No puedo con esto 😂😂😂,Joy,2
es_sample_track2_00139,Me parece una falta de respeto que esta obra maestra solo tenga 24M >:v,Surprise,1
es_sample_track2_00140,Like si viniste por el comentario de fernan😊,Joy,2
es_sample_track2_00141,Me encanta xD,Joy,2
es_sample_track2_00142,enserio mi perro a muerto todos estan llorando :(,Sadness,3
es_sample_track2_00143,wtf que acabo de ver,Surprise,2
es_sample_track2_00144,q rayos fue eso,Surprise,2
es_sample_track2_00145,Jajajajaj me encanto!!!,Joy,2
es_sample_track2_00146,q asco el qse come los mocos,Disgust,3
es_sample_track2_00147,Xdxd me muero,Joy,1
