id,text,Joy,Fear,Anger,Sadness,Disgust,Neutral,Surprise
rus_sample_track1_1,Бу! Я сегодня сдаю экзамен по математике!,0,0,1,0,0,0,0
rus_sample_track1_2,этих сволочей надо расстрелять за жестокое обращение с животным!,0,0,1,0,0,0,0
rus_sample_track1_3,"вот из-за таких пидорасок,, простите девочки и,, семьи распадаются",0,0,1,0,0,0,0
rus_sample_track1_4,как же меня все бесят,0,0,1,0,0,0,0
rus_sample_track1_5,ебанутые савсем уже стали сосваим вирусом уже не знают че придумать. пердеть тоже корновирус.,0,0,1,0,0,0,0
rus_sample_track1_6,"все людей наебала ,а потом же , что бы деньги не отдавать , ты начинаешь хуйню писать !!",0,0,1,0,0,0,0
rus_sample_track1_7,правительство дешёвка коньченные 😡 жалко им детей накормить. зато сами жируют твари ебаные.,0,0,1,0,0,0,0
rus_sample_track1_8,"я вижу что ты за его счёт хочешь набрать много лайков и тебе паебать остальное,где вы таке далбаебы находитесь????пиздуй работать!!!!",0,0,1,0,0,0,0
rus_sample_track1_9,"пиздец!!!!! я не винные люди пострадали и многие погибли,а сколько травмированных? точно разъебаи.....",0,0,1,0,0,0,0
rus_sample_track1_10,"пиндосы-пидарасы ау!!! как там в жопе не печёт!!!??? а нука прекратите разгонять мирных протестующих!!!! где сука, толерантность и демократия!!!????",0,0,1,0,0,0,0
rus_sample_track1_11,"урод😡 ,как так можно 🥺",0,0,1,0,0,0,0
rus_sample_track1_12,мразоты их бы скинуть. 😡😡😡😡😡,0,0,1,0,0,0,0
rus_sample_track1_13,"О сколько нам открытий чудных готовит просвещенье дух... Как же меня это злит! И опыт, сын ошибок трудных, и гений, парадоксов друг... Эти слова вызывают во мне такую ярость! Я чувствую, как моя кровь кипит от злости, и я готов кричать от негодования...",0,0,1,0,0,0,0
rus_sample_track1_14,"Черт возьми, я должен есть этот проклятый суп с вермишелью сегодня!",0,0,1,0,0,0,0
