id,text,anger,disgust,fear,joy,sadness,surprise
amh_train_track_b_00001,Sabir Alemayehu ኪጂ ዝቃጭ ባህልና እምነት የተምታታታባችሁ ምኑን ነው የማጠናው ዛፋ አምላኪ።እኔኮ እምነት ነው ወይ ብየ አየኩ አወ አልሺ ደግሞ መልስሺ እምነት ዱዝዝዝ።,0,2,0,0,0,0
amh_train_track_b_00002,አልቅሰሽ ቢወጣልሽ ይሻልሻል እንዲህ ከምትሰቃይ።,0,0,0,0,1,0
amh_train_track_b_00003,ምርጥ ጋዜጠኛና ምርጥ ፖለቲከኛ ሲገናኙ ማለት ይህ ነው የ ደሬ በሳል ጥያቄዎች በውብ አገላለፅና የ ጃዋር እርጋታና ስክነት የተሞላበት መልስ,0,0,0,2,0,0
amh_train_track_b_00004,በእርቅ እንኳንስ ሰው ሰማይ ምድሩ ደስ ይለዋል።ጠሚ ከስህተትህ ተምረህ (ተስፋ አደርጋለሁ) ከእብሪትና ማን አለብኝነት ወጥተህ ነገሮች ከቁጥጥር ሳይወጡ ሰላም,1,0,0,0,0,0
amh_train_track_b_00005,አገባም አላገባም አልጋ ላይ መረሸኑ አይቀርም።,1,0,0,0,0,0
amh_train_track_b_00006,የዚህ ሁሉ ቀውስ ችግራችን የነበረው አባይ ወንዝ የውሀ ሀብታችን ነበር ከእንግዲህ አባይ ራሱን ይሞላል ወደ ባእድ እየፈሰሰ ለዘመናት የሰጡንን ችግር አሁን በተራው ራሱን እየሞላና,0,0,0,1,0,0
amh_train_track_b_00007,አብይ አህመድ የኦሮሞ ጠላት መሆኑን ከአረጋገጠ ብዙ ቆየከዚህ በህዋላ አብይ እየሰራ ያለውን ጭካኔና ግድያ አላውቅም ማለት አይቻልም አብይ ማለት የሰው ልጅ ሁሉ ጠላት በሽተኛና ደም የጠማው ሰይጣን ነው,0,2,0,0,0,0
amh_train_track_b_00008,ምን አይነት ፅናትና ትግስት ነው ያደለሽ እህቴ በስመአብ 😭😭😭 በጣም ያማል እግዚአብሔር አብዝቶ ያጠንክርሽ,0,0,0,0,3,0
amh_train_track_b_00009,ኢኦ አባቶች መካከል ያደረጋችሁት በመነጋገር በመወያየት መስማማት መታረቅ ደስ ይላልየሰማይ ጥበብ ነው ህዝብ ግን ከእንግዲህ ከእናንተመስማትያለበት የክርስቶስን ወንጌልብቻነው በርትታች,0,0,0,2,0,0
amh_train_track_b_00010,ቅዘናም አጋስስ አህያ በመከላከያ ስም አትነግድ ፋኖን ፊት ለፊት መግጠም ሲያቅትህ ህፃናትን አሮጊቶችን በድሮን መግደል ማሽነፍ ነው ትላለህ ለግዜው መበቅ ይቻላል ግን ከስፊውህዝብ ክንድ አታመልጡም,2,2,0,0,0,0
amh_train_track_b_00011,ኢትዮጵያውያን እውነትም ሾርት ሚሞሪ ነን በቃ ለማጨብጨብ ለማሽቃበጥ የተፈጠርን እስኪመስል ድረስ ወው ፐ እንዴት ያለ ምሁር እያላችሁ ምን አስቦ ነው ብለህ ቆም ብለህ ከማሰብ ይልቅ  አሁን ንደዚህ አዋቂ እና ንፁሕ መስሎ ሲያወራ ማድነቅ ያን ሁሉ ደሃ እንዳላስጨረሰ ያሳዝናል ለማንኛውም እብድ ይሻለዋል እንጂ አይድንም ቆም ብሎ ምን አስቦ ነው ይሄሁሉ እርጋታ ብሎ ማሰብ ተገቢ ነው ያለበላዛ ሿሿ ሰራን ዳውን ዳውን እንዳይሆን,2,1,0,0,1,0
