id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
oro_train_track_a_00001,Tolli Nagaan jibbamee Garee tplf n jalqabame Ummata gaaga'ama hamaa keessa galchuu ni mala,0,0,1,0,0,0
oro_train_track_a_00002,Hojiii gaaariii asumaaan garakos kota ijole kenya,0,0,0,1,0,0
oro_train_track_a_00003,Haaayeee nuuufi jirrraaadhaaa,0,0,0,1,0,0
oro_train_track_a_00004,Dhira Mohammmed Deksiso  Baga bate Gazexeeesssa omn birooon utu godhame garu gaaariii ture,0,0,0,1,0,0
oro_train_track_a_00005,Iluu Abbaa Booraa OromiyaaFinca'aa Soor URL,0,0,0,0,0,0
oro_train_track_a_00006,ADAAMAA Onkololeessa 28/2014 (EShC)-Hiriirri mormii garee shororkeessaa TPLF balaaleffatuufi Raayyaa Ittisaa Biyyaa deeggaru Aanaalee fi bulchiinsa Magaalota Godina Shawaa Bahaa Keessatti gaggeeffamee . URL,0,0,0,0,0,0
oro_train_track_a_00007,Hojiii booonsaaa hojjjechaaa jirtu Jabaaadhaaa kabajamooo keeenya,0,0,0,1,0,0
oro_train_track_a_00008,hafuuurrri hamaaan gamtaaa keeesssa jiru bauuu qaba,0,0,0,0,0,0
oro_train_track_a_00009,Bara 2013 Eebbaa Proojektii Godina Gujii waan Eebbisan dhabnaan Diichii lolaa Eebbisan . Gudii gujiin keessaa jiru Ardaan Gujii waan Oromoo dubbachuu dande'u sababille Gahumsa Amantii fi Godina Ulaagaa qoodinsa angoo seenu hi qabu.Ajaa'iba @<username> furmaata kam kennitu?,0,0,0,0,0,1
oro_train_track_a_00010,Oromoon akkuma uummata kamiiyyuu aangomuuf OPDOn kufuu qabdi . Dhaaba waggaa 30f namni gaariin yoo hidhamuu fi ajjeefamu namni gadheen du’aa fi dararaa uummataatiif hin rifanne itti wal guuraa baheedha . Dhaabni akkanaa Oromoof qofa osoo hin taane hawaasa kamiifuu hin malu.,0,1,0,0,0,0
oro_train_track_a_00011,oromiyaa broodkaastingi neetwoork   irreechi araara waaqarraa barbaadamuu galata uumaaf galchan taheef oromoon wal dhabdee wal shakkkii qabu kamuu furachuun irreecha baranaa irratti hirmaachuu qabu abbootiin gadaa abbootiin amantaa jaarsoliin biyyaa dhaaman,0,0,0,0,0,0
oro_train_track_a_00012,Yaaadni ishiii aaartistooota waaan bareeeddduuun hin dhufne akkka waaan bareeedddun dhufaniiif kan qeeequ yooo tahe bareeedadhaaa Garuuu akkkaaataaan ishiiin ittti ibsaaa jirtu sagantaaa kana nama jibbbisiiisa waaan taheeef osooo akkka malaaa nurrraaa goooteee habteee,1,0,0,0,0,0
oro_train_track_a_00013,DIRREE FI FANJII SIYAASAA WAYYAANEE.Dirree Dhawaa tana wanti rakkoo hamtuu fi gaaga'ama hamaa fidaa jiruu fi fuula duraas balaa addaa dhaluuf jiraatu botolikaa sobaa bulchinsa cubbuu kan Wayyaaneen . URL,1,0,0,0,0,0
oro_train_track_a_00014,erga fixee booda akka reeffa hin kaafne dhoorkee hallayyaarran gadi gatuun reeffa bineensa nyaachisaa jira . Aanaa H/Abootee Dagamis rakkuma walfakkaatutu jira . Dargaggoonni asii gaditti argaman hundi jumlaan bakka tokkotti ajjeefamanii jiru . URL,0,0,0,0,1,0
oro_train_track_a_00015,galatooma tourkan jedhuu sun diyaspoora wajjiin gaggeessan qeerroon biyyaaf akkasumaas yeroo kammiyyuu goota kiyya kan jedhe dukaa dhabaata tureti galataa dhabee . Hundinuu haa hafu laammiin keenya hongeen dhuma jiru itti mul'achuu dide moo maal? diyaspoora malee kun sabaa miti,1,0,0,0,0,0
oro_train_track_a_00016,Wayyyooo hadhaaa gudddaaaAdddeZinashi Namaaa akkkamiii   jalaaanufi kabaaanyudha galatooomaaa nuuu fiduuu keeesaaanif,0,0,0,1,0,0
oro_train_track_a_00017,Dhugaa du'a injifate.Mucaan suurasaa argitan kun namoota 18ttan warra jaarsotti J/dhuman keessa ture . Yeroo namoota hiriira galchanii harka duubatti hidhanii rasaasan tumanii qilee keessa buusuu eegalan gangalatee hallayyaatti of gate . Kunoo har'a ragaaf ummatasaa bira gahee jira URL,0,0,0,0,1,0
oro_train_track_a_00018,Koroonaavaayiras: 'Nu Baraari' - sirna Waaqa araara kadhachuu Oromoo,0,0,0,0,0,0
oro_train_track_a_00019,Amajjii 1 1973 Guyyaa #Elemoo_Qilxuu rasaasa jalqabaa dhukaasee qabsoo Hidhannoo Oromoof xurree dhoose . Baga Guyyaa Waraana Bilisummaa Oromoo kabaja 49'ssoo Geessan . Barri bara milkii fi Injifannoo nuuf haa ta'u . AYYAANA GAARII URL,0,0,0,1,0,0
oro_train_track_a_00020,Gameda Hojjjiii gaaariii irrra jirta Jabbbaaadhuuu,0,0,0,1,0,0
oro_train_track_a_00021,.@<username> Haacaaluu Hundessaa kan ajjeesisteef qoofa Waaqayoo guyaakee sitti hadukaneessu akka saba gadisiteet attis gadda kessaa hin bahiin barii haaraan 2021 kuun sodaa kan sitti baay'isuu hata'u . Maqaa warra gadaniif cunqurfamtootaatin.Amen URL,1,0,0,0,1,0
oro_train_track_a_00022,Dhiyeenya kana ofii kiyyaafis maatii kiyyaafis sodaa kessaa jira kanafuu worri dhimmi ilaalu fala ittii haa kennu.,0,0,1,0,0,0
oro_train_track_a_00023,Warri godina Iluu Abbaa Boor Dorgomaa dhuunfaa kata'e Dr kaamil Shamsuu tiif sagalee keessaan hin qusatiinaa carraa filatamuu siif hawwa ustaaz keenya kabajamaa URL,0,0,0,1,0,0
oro_train_track_a_00024,Baga geessan! Akka Oromootti kabajachuuf haallisaa rakkisaa ta'ullee barri gaddaa fi gadadoo kun ni darba! Oromookoo haa jabaannu! URL,0,0,0,1,1,0
oro_train_track_a_00025,Farsooo mana Buzeee dhugdeeetttaaareee,0,0,0,0,0,0
oro_train_track_a_00026,Suutuma suuta adaduma adadaan bubbulleetuma waa argaa dhagayaas jirra . Ajaa'iba ijaaf gurraa!,0,0,0,0,0,1
oro_train_track_a_00027,Manni murtii namootni sadii haleellaa Gariisaa raawwachuu mirkaneesse,0,0,0,0,0,0
oro_train_track_a_00028,akkkuma gooftaan geenya yesus kiristoos cubbuu hin qabaatiin fannoorratti dhiigasaa lolaasuun jaalala dhala namaatiif qabu agarsiise itiyoophiyaanotnis wal jaalachuu waldanda uufi waliif abboomamuutiin misoomaafi guddinaatti tarkaanfachuu qabna dhaamaniiru,0,0,0,0,0,0
oro_train_track_a_00029,bagaaa rbni gudani dinaaa nafxanyaaa jalaaa si baseee bor abooo mameee,0,0,0,1,0,0
oro_train_track_a_00030,Waan jarri hojjetanii fi Shira Guyyaa Guyyaa Xaxaa oolan jala bu'anii Hordofuun gaarii ta'ee osoo jiruu Hojii isaanii tokko lamaan isaaniif beeksisuun garuu Caba Keenyadha!!,1,0,0,0,0,0
oro_train_track_a_00031,Suluultaatti amma Naannoo wajjiraa poolis duubatti tiknii Alaamuu jedhamuu xalafaamee jira! Humna risaa Gujeetti galgala kana Seefuu Hayaat kan jedhamu waxalamee jiraa risaan ni kuffisaa WBOn diina buqqisaa! waliin Oromiyaa Walabaa ijaarra! URL,0,0,0,1,0,0
oro_train_track_a_00032,Jabadhu gotaaa kenyaaa ija hamtuuu sira yaaa qabuuu sabona,0,0,0,1,0,0
oro_train_track_a_00033,Suurri godina wallagga lixaa Aanaa Hoomaattidha . Taateen kun ajaa'iba ture WBOn tasa qumsuma ergamtuutti marsuun walirra tulee yeroo naannicha to'ate uummanni gammachuun bahee nagaa gaafate! URL,0,0,0,1,0,1
oro_train_track_a_00034,@<username> Nafxanyichi ija ashaboon dhiqatee Irreechi Irree dha jedhe Ani Abbaa Irree dha osoo jedhe isaaf wayya.,0,1,0,0,0,0
oro_train_track_a_00035,Oromon kan nutttiii beeeknuuu sefuuu bekkka isiiin oromofa dubataniii ummmataaa kenyaaan daldaluuu barbadaaan yo illleee hatau biyyyeee jequuundhan kayyyooo sherorkeeesumaaa kesssan hin milkauuu juwwwaaar yo diqateee wagaaa gutuuu isaaa mana hidhaaa kesaaa dabarsaaa juntaaan immmooo kanaaan bodaaa suraaa qofa tae d,1,1,0,0,0,0
oro_train_track_a_00036,.harka irraa ofi buqisuu yoo jette arraba sii waraantti kunoo Nafixaanyaan qoree gamoojii nutti taatee ofi irraa buqisuun rakkoo dha . Oromon haa bilisommu Qabson itti fufa Nafixaanyaan hin kufa . miidhan keessa gayyoo namaa keessa Opdo haa badu,0,1,0,0,0,0
oro_train_track_a_00037,Masha alllha   Saba kooo ilmaaan oromiyaaa jiradha falmadha lmumaaa adaaan oromiyaaa adaaa kabajamadha Saba kooo bayeeee gamadeee,0,0,0,1,0,0
oro_train_track_a_00038,Ummani keenya rakkoo beelaa hamaa keessa jira jakka jirruu waan dandeene gochuudhaan uummata keenya cinaa haa dhabbannuu #galatoomaa URL,0,0,0,0,1,0
oro_train_track_a_00039,Oromoon qe'ee fi lafa isaa irratti OPDO fi finxaaleyyii Amaaraan (Faannoo shororkeessaan) ajjeefamaa jira.,1,0,0,0,1,0
oro_train_track_a_00040,Diinnii diina kiyyaa fira kiyya . Oromoo hin gowwoommannu bineensa hamaa amma ummata keenna nyaataa jiru . Kan worraa sabaa fi sabi-lammii itti haa kaafnuu . Miidiyaa Oromoo irrati affeeruun.,0,1,0,0,0,0
oro_train_track_a_00041,Mootummaan Itiyoophiyaa Torbaan Projektii itti eebbisu labsee jira . kun Bu'a jijjiirama kana keessatti dhufeedha kan jalqabamee xumuruun badhaadhina waloo biyyaatif deemsi eegalame itti fufa wanti nudhaabu hin jiru . kana immoo baandaan keessaa fi alaa beekuun abdii kutachu qabu,0,0,0,1,0,0
oro_train_track_a_00042,@<username> Tortoraa! Waggaa maalii kabajjaa? Arabsamaa utuma jala gugguuftuu tuffatamaa baate? Sabi kee ajjeefamaa dhiitamaa beekaan kee hidhamaa ba’e! Utuu beettee teessee boossa abbaa garaa taate malee! #OromoProtests #AbiyMustGo,0,1,0,0,0,0
oro_train_track_a_00043,Oromoonis waraana isaa WBO kanaaf kabaja fi kunuinsa malu gochuufi qabaata . Yoo xinnaate diinarraa Da'oo ta'uu gufuu itti ta'uu dhiisuu galaa fi rasaasa isaa itti guutuu fi kennuu bobbaa WBOf haala mijeessuu diinagdee fi humnaan WBO tinnisuudha.,1,0,0,0,0,0
