id,text,anger,disgust,fear,joy,sadness,surprise
vmw_train_track_a_00001,Exiitu : mameetiku aalatha eviitiyu ya blecaute naakuvelihiwaka hoxipitaali,0,0,0,0,1,0
vmw_train_track_a_00002,"Iresulitaato stheyiihz ni sihiniphaveleya sa mixukuryo othaleeleya sa muhooleli oTurukhiiya  Recep Erdogan, wraawe oSeeriviya",0,0,0,0,0,0
vmw_train_track_a_00003,Mosampiikhi: Otupweeoiha ni waakiherya okuumibwa mpahari,0,0,0,1,0,0
vmw_train_track_a_00004,"Nikhuru nalipo ottwawela a Wameerika Senteraaleonirowa Mpakha mikano wa Exitaato Uniitu ovekela mukhupaarelo, masi anamunceene nnakhala khonirowa wateeteriwa",0,0,0,0,1,0
vmw_train_track_a_00005,Maxikooti a ekoopa Okhalana nsina na Hilario nintaphulelo na Sutis,0,0,0,0,0,0
vmw_train_track_a_00006,Alipo ari mpantta a Repupilikaano alipo olattula amahooleli a Wisarayeeli wiira evahane miruku ohoolo wa muthukumano wa elapo ni aririhe miyataanelo hoothe ni Obama.,0,0,0,0,0,0
vmw_train_track_a_00007,Wuutuwanyeya wa opuro onithipiwa maluku onitanyerya  15 myaha sookwiwa Oteete.,0,0,0,0,1,0
vmw_train_track_a_00008,Mulattu Chang ookelatho mmatatani wa Ronald Lamola,0,0,0,0,0,0
vmw_train_track_a_00009,Xiina oowalela mphwanyaneyo wa Google mipantta sikinaku sa elapo,0,0,0,0,0,1
vmw_train_track_a_00010,Frelimo ootthapela evalore ya Dhlakama mukhwaha wa murettele.,0,0,0,0,0,0
vmw_train_track_a_00011,"Namathola a elapo ooruma opahiya irutthu soohawa sa mattekenya, teputatu akhalayi a Renamo",0,0,0,0,0,0
vmw_train_track_a_00012,PCC onnipuhuweliwa 511% wa miyaakha 2 ni eriyari,0,0,0,0,0,1
vmw_train_track_a_00013,"OMS, onikhanyaanya ni miriira sa axiitthu elaapo ya  an Tome   Piriinsipe.",0,0,0,0,0,0
vmw_train_track_a_00014,Mikhumelelo sa ephattu sinivira suulumiwaka Mmosampiikhi,0,0,0,0,0,0
vmw_train_track_a_00015,Palmas oomuthanla exitaranxeyiru oopacerya wiira weettiheryeke ekapitaali parasileyira,0,0,0,0,0,1
vmw_train_track_a_00016,Atthu oohisuweliwa aamaka oxikwaatara ya poliisiya oMusimpwa.,0,0,0,0,0,0
vmw_train_track_a_00017,EUA: Onikawa Lentaariyu Siyentiixita a ekomutasaawu Dennis Ritchie,0,0,0,0,1,0
vmw_train_track_a_00018,"Esinyalo “Abominável”, ya DreamWorks yokhottihiwa oViyetinaa, oMalaasiya ni oFilipiina mwaha sa mmphareya",0,0,0,0,0,0
vmw_train_track_a_00019,Wa itonelaata tthaaru da Menno a etthepo ya elapo ya Omosampiikhi sivariye okampooxa.,0,0,0,0,0,0
vmw_train_track_a_00020,Musukho wa mulaponi mwahu ti wootepa olimitareya: limitada.,0,0,0,0,1,0
vmw_train_track_a_00021,Joaquim Chissano onihimya wiira minyakulelo sa anakhotto a Renaamu sinniphaveleya othokoca vanceene saana.,0,0,0,0,0,0
vmw_train_track_a_00022,"Parasiili : Okwa wa Sócrates, Nthoonyeryo mmosa Parasileero",0,0,0,0,1,0
vmw_train_track_a_00023,"Kami Rita, oNepaale, onilutteleela mukhaleelo Musya mwaha woothanla ikwaha 22 o mwaako Everest",0,0,0,1,0,0
vmw_train_track_a_00024,Eeiyari ya atthu a olumwenku anrowa omwiiwelelaka imphira a muntiyaale.,0,0,0,1,0,0
vmw_train_track_a_00025,Trending: Mark Zuckrberg: PauloFlores; DonaldoTrump; Kardashians,0,0,0,0,0,0
vmw_train_track_a_00026,Amphiira Oliipiku: KOVIITI 19 onaalanya ohiloka variyari va Ameerika Latiina ni Ilaapo sikinaku sootepa othawali,0,0,0,0,1,0
vmw_train_track_a_00027,"Miyamaari,: Ehasara Yohiweha ottuli Etanyeriwe ni mwanankhaya",0,0,0,0,1,0
vmw_train_track_a_00028,"Mosampiikhi,: miinabya makhaala yottiyeoeliwa ni manyakunyaku",0,0,0,0,0,0
vmw_train_track_a_00029,Amahoolela a Weewuropa aniphavela eshawuri para muxankiho  wa muthamelo,0,0,0,0,0,0
vmw_train_track_a_00030,"Nyusi ohoova wii ""makamarata"" omukhoottihiwa okumana ni Dhlakama",0,0,0,0,0,0
vmw_train_track_a_00031,ASF: Mukhottoni mwa HIV-SIDA wiikasoopa nlelo tookhanle murette worera. Naatia Kamate,0,0,0,0,0,0
vmw_train_track_a_00032,Namalamula oMosampiiki ohaakhulela sooliviwa sooyevaxa alipa ovara muteko isyaa.,0,0,0,0,0,0
vmw_train_track_a_00033,#FreeAmade:otthukiwa wa nahapaari oniphattuwa onyonyiwa mMosampiikhi,1,0,0,0,0,0
vmw_train_track_a_00034,Mwaattelo wa anamatthapa imiya piili okaana anvekela ovahiwa opuro wowipitha oParasiili.,0,0,1,0,0,0
vmw_train_track_a_00035,Fereliimu onutthenka orantteliwa wa Gebuza,0,0,0,0,0,0
vmw_train_track_a_00036,Mukhaleelo ohukhumwa moolumwenkuni eyaakha ya 2013,0,0,0,0,0,0
vmw_train_track_a_00037,"Exitaato Uniimuthoonya  Ruusiya wiira ""nahasara""a muttetthe wa Siiriya.",0,1,0,0,0,0
vmw_train_track_a_00038,Erepuupilika Temokaraatika ya Okhooko: Ekhotto enikukhumula wiilipiheryiwa viireliwaka okhupaareliwa ittikwe sa akhole,0,0,0,0,0,0
vmw_train_track_a_00039,"Okumihiwa atoropa akhalayi a Renamu oniira wiiraneyaka okathi ola oMosampiikhi ookhala oopakeya eporosesu yohisuwanyeya saana ni ehinrowa okhaliherya wii okhale osamihana elapo yootheene, wakhala wii otthikiheriwa wa wataaneya wahikhale wa exariya ni wa okhalela wa atthu ale.",0,0,0,1,0,0
vmw_train_track_a_00040,Woopopiheya wa ithuutu siiri vowoopiha okweela oNepaale,0,0,1,0,0,0
vmw_train_track_a_00041,lipo owiiwa omosampiikhi anilavula variyari vaamixankiho sa maayi mmosa hothe ni mwaana mwamukhaani Omaputu.,0,0,0,0,0,0
vmw_train_track_a_00042,"Leonel Messi, mulipa a omusuwelaxa mphira wa ikwaha thanu.",0,0,0,1,0,0
vmw_train_track_a_00043,Muhooleli a poliisiya Omosampiikhi vathi va mooro,0,0,1,0,0,0
