id,text,anger,disgust,fear,joy,sadness,surprise
mar_train_track_a_00001,"घरातील झाडांनी माझ्या घराची शोभा वाढवली आहे, यामुळे मला खूप आनंद झाला आहे.",0,0,0,1,0,0
mar_train_track_a_00002,"झुंबराची रचना विचित्र होती आणि रंग खराब होता, तो अजिबात चांगला दिसत नव्हता.",0,0,0,0,0,0
mar_train_track_a_00003,"उत्सवाच्या ध्वनींचा प्रदूषण सहन करणे अत्यंत कठीण आहे, त्यामुळे खूप चिडचिड होते आहे.",1,0,0,0,0,0
mar_train_track_a_00004,पावसाचा आनंद घेणे चांगले आहे पण मला भीती वाटते की तुम्ही आजारी पडाल कि काय.,0,0,1,0,0,0
mar_train_track_a_00005,वर्गात सतत निरर्थक बोलणाऱ्या विद्यार्थ्यांची मला चीड येते.,1,0,0,0,0,0
mar_train_track_a_00006,नवीन पडदे आणि लाईट्स यांनी घराचे सौंदर्य वाढविले आहे.,0,0,0,1,0,0
mar_train_track_a_00007,या पार्टीच्या गोंगाटामुळे मला तिटकारा येत आहे.,0,1,0,0,0,0
mar_train_track_a_00008,"रोपणाच्या वेळी गडबड झाली आणि फुलांची अवस्था वाईट झाली, त्यामुळे मला खूपच राग आला.",1,0,0,0,0,0
mar_train_track_a_00009,खेळांवर जुगार लावणे ही एक अत्यंत निंदनीय आणि नैतिक दृष्ट्या किळसवाणी गोष्ट आहे.,0,1,0,0,0,0
mar_train_track_a_00010,भारतात दर पाच वर्षांनी निवडणुका होतात.,0,0,0,0,0,0
mar_train_track_a_00011,या सुप्रसिद्ध ठिकाणास जाणा-या बसची अस्वच्छता पाहून मला उभ्या उभ्या मळमळायला लागले आहे.,0,1,0,0,0,0
mar_train_track_a_00012,माझे आवडते पुस्तकांचे दुकान किती अव्यवस्थित आणि गचाळ झाले होते की ते पाहून मला उबग येत होती,0,1,0,0,0,0
mar_train_track_a_00013,अचानक छताचा काही भाग कोसळला आणि आम्ही सगळे घाबरलो आणि पटकन बाहेर पडू लागलो.,0,0,1,0,0,0
mar_train_track_a_00014,चुकीच्या निदानामुळे झालेला अनर्थ पाहून माझा राग अनावर झाला आहे.,1,0,1,0,0,0
mar_train_track_a_00015,"लग्नाची खरेदी, तेही मित्रमैत्रिणींसोबत, यापेक्षा चांगलं आणि मजेदार काही असू शकते का?",0,0,0,1,0,0
mar_train_track_a_00016,गुरांसाठी चारा-पाण्याची व्यवस्था नसल्यामुळे आणि प्राण्यांवर होणाऱ्या अत्याचाराच्या घटनांमध्ये योग्य ती कारवाई होत नसल्याने आम्हा सर्व शेतकऱ्यांमध्ये तीव्र नाराजी आणि निराशा आहे.,1,0,0,0,1,0
mar_train_track_a_00017,माझ्या आवडत्या क्रिकेट संघाने सामना हारल्यामुळे मला खूप निराशा झाली आहे.,0,0,0,0,1,0
mar_train_track_a_00018,स्टेशनवरील गाड्यांचे वेळापत्रक तपासले.,0,0,0,0,0,0
mar_train_track_a_00019,घरातील वीज बिल भरले गेले आहे.,0,0,0,0,0,0
mar_train_track_a_00020,निष्पाप लोकांचा विश्वासघात करून त्यांच्या घरातून वस्तू चोरून नेणे ही निंदनीय कृती आहे. अशा चोरांच्या कृत्यांमुळे माझ्यात घृणा निर्माण होते आहे.,1,1,0,0,0,0
mar_train_track_a_00021,फॅशनच्या बदलामुळे जुने कपडे फेकून देणे मला खूप दुःखद वाटते आहे.,0,0,0,0,1,0
mar_train_track_a_00022,युद्धे देशांमध्ये तणाव निर्माण करतात आणि शांती तसेच प्रगतीसाठी अडथळा बनतात.,1,0,0,0,1,0
mar_train_track_a_00023,प्रशासनाने सर्व विद्यार्थ्यांच्या विरोधानंतरही अतिरिक्त परीक्षा फी वाढीचा निर्णय कायम ठेवला हे अत्यंत तिरस्करणीय आहे.,0,1,0,0,0,0
mar_train_track_a_00024,"रीमिक्स केलेल्या गाण्यांमध्ये केवळ गाण्याची बासरीच बदलली आहे, यामुळे तीव्र तिरस्कार वाटतो.",0,1,0,0,0,0
mar_train_track_a_00025,"ती संगीत रिहर्सलसाठी आली नाही, यामुळे माझ्या मनात खूप राग निर्माण झाला आहे.",1,0,0,0,0,0
mar_train_track_a_00026,असामयिक पावसामुळे पिकांचा संपूर्ण नाश झाल्याने माझ्या मनात निसर्गाच्या या अन्यायकारक कृतीबद्दल खूप राग आहे.,1,0,0,0,0,0
mar_train_track_a_00027,"या बिअर कंपनीची आर्थिक स्थिती अतिशय चिंताजनक आहे, गुंतवणूकदारांना भीती वाटते की प्रतिस्पर्धी लवकरच तिला मागे टाकतील.",0,0,1,0,0,0
mar_train_track_a_00028,"नवीन तंत्रज्ञानामुळे दुधाचा दर्जा सुधारला, तरीही आमच्या प्रयत्नांना दाद मिळत नाही!",1,0,0,0,1,0
mar_train_track_a_00029,सणाच्या वेळेस होणारी जत्रेतील घाण आणि गर्दी पाहून मला खूप चिडचिड होऊ लागते.,1,0,0,0,0,0
mar_train_track_a_00030,पुस्तक प्रदर्शनात अनेक नवे लेखक सहभागी झाले आहेत.,0,0,0,0,0,0
mar_train_track_a_00031,पीक नष्ट झाल्याने आमच्यासाठी मोठी समस्या निर्माण झाली आहे. आपल्याला आर्थिक संकटाचा सामना करावा लागू शकतो.,1,0,1,0,1,0
mar_train_track_a_00032,आज ऑफिसमध्ये कामाचे वेळापत्रक नियोजन केले.,0,0,0,0,0,0
mar_train_track_a_00033,घरची कामे केल्यावर मला आत्मसमाधान न होता फक्त थकवा जाणवतो.,0,0,0,0,1,0
mar_train_track_a_00034,"सस्पेन्सने गुंफलेल्या या चित्रपटात, शेवटी एक असे आकस्मिक वळण आहे, ज्याने मला पूर्ण चकित करून टाकले आहे.",0,0,0,0,0,1
mar_train_track_a_00035,"स्वयंपाक करतानाचा आनंद हरवला आहे, याची जाणीव होऊन खूप दुःख होत आहे.",0,0,0,0,1,0
