id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
som_train_track_a_00001,USER Gedo ayaaa kaaaga dhow marka hore sanaaag marka xigana USER waxaaad ku eeedayn kaaartaaa meeel uuu maaamulo awooodddiiisuna gaaadhoGeda Gaaajooonaysa ooo Macuuululsan markaaasaaad sanaaag ku awr kacsanaysaaa  URL,1,0,0,0,0,0
som_train_track_a_00002,fadlan nooo sooo gudbi jabkooodi adigooo raaaliya,0,0,0,0,0,0
som_train_track_a_00003,Lama qaaawan isma qaaado ma maqashay wlll e canshuuurta yar shacabkan laga gurbiyo yay idinka dhamayn inta idin dhahaaan waxban idin dhisaynaaa ciiidan iyo wax la mid ah maxa yelay goja cade taw idinku dhigay baaa dan weligiiin kaso kabsaneyn dulmiga aaad la gasheeen ayana idinku,1,1,0,0,0,0
som_train_track_a_00004,asc Mohamed isa walal qisadan wan lasocday bilow ila dhamad   waxa igu naxdin badna sida gabar Muslim ah u aqbashay inay iskugu dhiiibto wiiil yahudi ah   waxa igu yaaab badneyd sida fudud eee u fasahaday gabadhi carbeeed eee tarbiyada islama ka kuso kortay ila ay gaaarto fasahaa,0,0,0,0,1,1
som_train_track_a_00005,Waaaw waaan la dhacay hori usocoda team waaayaaab guuul wacan,0,0,0,1,0,0
som_train_track_a_00006,Ax abayo.ifti runti.adban uganaxay.dhibkagugudhacay alllh qalllbigahakuuuqabojiyo,0,0,0,0,1,0
som_train_track_a_00007,"Alllah cafiyo waaa xalad murugo leh,",0,0,0,0,1,0
som_train_track_a_00008,BNSomalia Khamiiis July 28 20222Boooliiiska Somaliland ooo gacanta ku dhigay xayawaaan si sharci daro ah loooga ganacsanayay URL Somalia,0,0,0,0,0,0
som_train_track_a_00009,Aad baaan u xiiiseeeyaaa arimaha sirdònka dunida ooo si dhaba somaliya ooo burburtay hadana sidiii lola shaqayn laha danaha qaranimadeeenuna siday u noqon lahayd mid dhidibo adag isku taaagta   hadiii eeebe idmo dunidana ula jan qaaadi lagayn markale ... Balse .odayal 60 ilaaa 80,0,0,0,1,0,0
som_train_track_a_00010,USER Sola baaahane 2 miyaaa dhawaaan Marka Laga jooojiyo shilimaaada ayuuu mucaaarad dooonaaa Sooo fiiirsha,0,1,0,0,0,0
som_train_track_a_00011,Ciyaartoy geeriyooday kaddib markii uu istaagga ka dhacay isagoo garoonka ku jira,0,0,1,0,0,0
som_train_track_a_00012,Kan yare xaga danbe joga   wuuu dhawakhy walhi waaad igaaa   qoslisay 😁😁😁,0,0,0,1,0,0
som_train_track_a_00013,Beeen alllaaa caaayey eee madaxweyne USER waaa nabadooon waaana aqooonyahan aaad baaan ugu bogaaadinayaaa guuulaha waaaweyn eee uuu kasooo hoooyey cirib tirka argagixisada sidooo kale ku mahadsanid madaxweyne arintiii KGS inaaad nabad ku xalisay  Thank you madaxweyne URL,0,0,0,1,0,0
som_train_track_a_00014,Haweeney labo ilmo galeen leh oo laba maalmood labo ilmood  kala dhashay,0,0,0,0,0,1
som_train_track_a_00015,Waaa bil ramadan ilahay miyaaad ka baqdan mayirku ma isagaaa gadhiga waday ninka waday baaa looo haystaaa dilkas waxba yaaan la siyasadeeen ninkiii dilay uuun baaa danbiga leh lkn adigu ku shaqeeeya gormay xukun noqotay ama danbi war ilahay u nqoda reeernimo idin wadi mayse ordoo,1,0,0,0,0,0
som_train_track_a_00016,Baaadhis unbaaan la samayne magaaalada Dad badan Unbaaa inta waxaaas looo miiiso Deeeto intay dhintaaan subaxdiii laga sooo Qari Alllah how naxariiisto hebel Xalay isagooo cafimaaad Ah Ayuuu seeexdau Saaakana waaa mayd 🥲 Alllah Hayna dhawreee taxadar badan haaan samayno Aad bay,0,0,1,0,0,0
som_train_track_a_00017,"Waan kuu riyaaqay, Helen waa ay qurux badan tahay. Waana filimka ugu wanaagsan hadii aad sanad wax kabadan daawato.",0,0,0,1,0,0
som_train_track_a_00018,Nabadooon Cabdi Cabdullle Xaaashi ooo Gooordhawayd La Dilay iyo Faaahfaaahin kasooo Baxaysa Dilkiiisa URL,0,0,1,0,0,0
som_train_track_a_00019,USER Waaa ninki laha yar yarkiiiba so galay soool ooo waxay cawinayan somaliland malin dhawayd beeeni raaad ma leh wax kale ka kaaalay somaliland midh kaga qadi maysid afe,1,0,0,0,0,0
som_train_track_a_00020,USER Burco ayaaa aaan imika jooogaaa  Halka ugu dhaw eee aaan ka helaaayo ama ka iiibsan karo bal haddda iii sheeeg wlaaal,0,0,0,0,0,0
som_train_track_a_00021,Zxp video hore eee ninka walan iska dhigeysey iyo talefonka kajabineysa wanaaagsan INAGA DAAA KUWAN,0,0,0,0,0,0
som_train_track_a_00022,Mawduuucyadan sooo badi dhiiiri galin ayay no tahay mahadsanid👏👏👏,0,0,0,1,0,0
som_train_track_a_00023,Beeenta marka ay dhaqan kuuu noqoto ooo aaad ku dhalatay beeen laguuu sooo koriyey guri beeen dhibaaato ayey leeedahay  Wasiiir Cabdulllaaahi Ciiilmoooge ayaaa saxiiixay heshiiiska hawada loooga sooo celinaaayey USER 30 April 2013 Dowladddiii Madaxweyne Xasan Sheeekh  Qof xaqiran inaaad tahay muuuqataaa URL URL,1,1,0,0,0,0
som_train_track_a_00024,@<username>   Somalia waaa wadddan 30 sano burbursanaaa hasssan sheikh hadddiii uuu sirdooonka imaaaraaatka iyo jabuuuti aheeeyn muxuuu ukala diray ciiidamada qaranka eee iriteriya lagu sooo taba baray???,1,0,0,0,0,0
som_train_track_a_00025,USER dad shacab ah ooo ka xun guuusha waaa weyn ooo ka farxisay shacabka Somaliyeeed in ay ka naxaaan CBBB ooo habeeen iyo maaalin murugo iyo niyad jab lasooo taaagan yihiiin koley waxa kaliya lagu micneeen karo waaa in ay qaluuubta kala jiraaan AS aysan wax guuul la rabin USER,0,1,0,0,0,0
som_train_track_a_00026,"Isticmaalka Telefoonka: Maxaad u ""argagaxdaa"" marka mobile-ka lagaa qaado?",0,0,0,0,0,0
som_train_track_a_00027,Muwaaadin u dhashay dalka Chile ooo u shaqaynayey shirkad gaaar looo leeeyahay ayaaa si qaldan acccount kiiisa looogu shubay lacagtiii mushaharka shaqaaalaha shirkaddda ooo dhan taaas ooo tiradeeedu dhammmayd 180 kun ooo dolllar markiii la yiri lacagta sooo celi ninkiii shaqada waaa ka tagay URL,0,0,0,0,0,1
som_train_track_a_00028,Somalida kuwa maaanta islaynaya waaa kuwo shalay dulmi ku heshiiiyay  Kuwa maaanta dulmiga ku heshiiisana beri bay isku sooo jeeesanayaaan  God commmands justice 1690  URL,0,0,1,0,0,0
som_train_track_a_00029,Legend muuuqalka sheeekadaaan nooosooo booobsiii haday macquuul thy sidooo kale daqiiiqadaha sooo dheeereee mahadsanid kun jeeer,0,0,0,1,0,0
som_train_track_a_00030,Warar dheeeraaad ah ayaaa ka sooo baxaya khasaaaraha ka dhashay labo qarax ooo ismiiidaaamin ah ooo maaanta ka dhacay xerada Lama galaaay eee magaaalada Beledweyne eee GHiiiraaanInta la ogyahay ilaaa iyo haddda 5 qof ayaaa ku geeeriyoootay halka tiro intaaa ka badana ay ku dhaaawacmeeen  URL,0,0,1,0,0,0
som_train_track_a_00031,Dadkan sida muuuqata waxa lagu dhacay ooo ay aaamineeen muuuqaaalka qofka labiskiiisss iyo qaaabka uuu muuuqdo waaana qaladka ugu weyn ay galeeen. Waliga qofna adooon baran muuuqaaalkiiisa hakuso dhowayn hana ku fogayn.,0,0,0,0,0,0
som_train_track_a_00032,Maaanta waxaaa farxad iii ahaaan lahayd isaga ooo la iyidhaaahdo waaa dhintay,0,0,0,1,0,0
som_train_track_a_00033,Inuuu waxwalbo uuusan xelad ku sameyn ooo cabsi aaawged usameye,0,0,0,0,0,0
som_train_track_a_00034,"Waxan kamid aha dadka cadaystay cadadan xun cadab adunyo weye kalsoni daro ,cabsi,isla hadal,iyo dhibatoyin kale ooo badan waxan noqday qof cabsi la noool xita hadal an gartisa ku dhiban karin 23 feb 2024 ayan go an ka qatay ilahow ika dawe ooo imankayga quwe",0,0,0,0,1,0
som_train_track_a_00035,Waxaaan halkan hambalyo uga dirayaaa boqrka abdirahman ahmed mohamed iyo marwadiiisa USER ooo meherkooodu ka dhacayo 28080222 rays hotel borama waxaaan ugu ducaynayaaa ducadiii rasuuulka URL,0,0,0,1,0,0
