id,text,anger,disgust,fear,joy,sadness,surprise
ptmz_train_track_a_00001,Novas Frequências para escutar a emissão em Português da VOA,0,0,0,1,0,0
ptmz_train_track_a_00002,Hospital do Lubango adia cirurgias por falta de água,1,0,0,0,0,0
ptmz_train_track_a_00003,Departamento de Defesa dos EUA reitera apoio ao Governo de Moçambique em meio a combates em Palma,0,0,0,1,0,0
ptmz_train_track_a_00004,Filipe Nyusi exonera Chefe de Estado-Maior General e director do SISE,0,0,0,0,0,0
ptmz_train_track_a_00005,Lewis Hamilton e Toto Wolff não vão à gala de prémios da FIA,0,0,0,0,0,0
ptmz_train_track_a_00006,Rádios comunitárias moçambicanas combatem casamentos prematuros,0,0,0,1,0,0
ptmz_train_track_a_00007,Alemanha: Protestos #Blockupy Contra Austeridade Pan-Europeia,0,0,0,0,0,0
ptmz_train_track_a_00008,Dois novos casos de coronavírus iniciam “momento crucial” para os enfermeiros angolanos,0,0,0,0,1,0
ptmz_train_track_a_00009,Moçambique prepara festival “Hip Hop e Poesia da Governação”,0,0,0,0,0,0
ptmz_train_track_a_00010,"Itália: Já morreram mais padres do que médicos, vítimas do coronavírus",0,0,0,0,1,0
ptmz_train_track_a_00011,Espanhóis fazem referendo para escolher sistema universal de saúde,0,0,0,0,0,0
ptmz_train_track_a_00012,Alemanha: Campanha “Eu Quero a Europa” é Criticada nas Mídias Sociais,0,0,0,0,0,0
ptmz_train_track_a_00013,Documentário expõe a ameaça da vigilância por reconhecimento facial na Sérvia,0,0,0,0,0,0
ptmz_train_track_a_00014,Jogos Olímpicos de Inverno: Seis atletas africanos competem em Pequim,0,0,0,0,0,0
ptmz_train_track_a_00015,Covid19: Aumenta pressão para Presidente moçambicano decretar estado de emergência,0,0,0,0,0,0
ptmz_train_track_a_00016,Psiquiatras colombianos e chilenos pedem que as pessoas cuidem da saúde mental e evitem exposição excessiva às notícias falsas da COVID-19,0,0,0,0,0,0
ptmz_train_track_a_00017,Mudanças climáticas no Pacífico: “A hora é agora” para evitarmos uma catástrofe,0,0,0,0,0,0
ptmz_train_track_a_00018,"Trending: iPhone 12 é tudo e mais alguma coisa, segundo a Apple",0,0,0,0,0,0
ptmz_train_track_a_00019,Moçambique atenta a mudanças climáticas,0,0,0,1,0,0
ptmz_train_track_a_00020,Federação do Gana acusada de manipular resultados,0,0,0,0,0,0
ptmz_train_track_a_00021,Macedônia: Blogueiros Celebram a Vitória Sobre os Fascistas em 1945,0,0,0,1,0,0
ptmz_train_track_a_00022,Índia proíbe TikTok e outros 58 aplicativos em meio a crescente sentimento anti-China e conflitos na fronteira,0,0,1,0,0,0
ptmz_train_track_a_00023,São Tome & Principe: Meio Ambiente em Perigo pela Exploração Petrolífera,0,0,1,0,0,0
ptmz_train_track_a_00024,Festejos de empate no CAN fazem 3 mortos na Guiné-Bissau,0,0,0,0,1,0
ptmz_train_track_a_00025,Patrões e Governo procuram saídas à crise económica em Moçambique,0,0,0,0,0,0
ptmz_train_track_a_00026,Pedem medidas para combater violência no Brasil,0,1,0,0,0,0
ptmz_train_track_a_00027,Um terço das mulheres têm acesso à internet em Moçambique,0,0,0,1,0,0
ptmz_train_track_a_00028,"CAN 2021: Guiné-Bissau ""apura"" Cabo Verde para a fase seguinte",0,0,0,0,0,0
ptmz_train_track_a_00029,Exportadores americanos exploram mercado africano,0,0,0,0,0,0
ptmz_train_track_a_00030,Moçambique perdeu 200 milhões de Meticais em corrupção,1,0,0,0,0,0
ptmz_train_track_a_00031,"Na boa governação, analistas falam em muito discurso e pouca prática em Moçambique",1,0,0,0,0,0
ptmz_train_track_a_00032,"Universidade brasileira não quer matricular estudante de Guiné-Bissau, mesmo ela tendo cumprido todos os requerimentos",0,0,0,0,1,0
ptmz_train_track_a_00033,BM investe no combate à pobreza e preservacao dos recursos naturais em Mocambique,0,0,0,0,0,0
ptmz_train_track_a_00034,"Jovens deverão assumir a liderança em África, diz o músico zimbabweano Thomas Mapfumo",0,0,0,1,0,0
ptmz_train_track_a_00035,"Tribunal britânico retoma caso ""dívidas ocultas""",0,0,0,1,0,0
ptmz_train_track_a_00036,Os melhores anúncios do Mundial,0,0,0,0,0,0
ptmz_train_track_a_00037,Angola: Manifestantes e jornalistas presos em Luanda,0,0,0,0,1,0
ptmz_train_track_a_00038,Pessoas brancas deixam de dublar personagens negros de Os Simpsons,0,0,0,0,0,1
ptmz_train_track_a_00039,"Com apoio de fãs, Azagaia consegue fundos para operar tumor na Índia",0,0,0,1,0,0
ptmz_train_track_a_00040,Eliminação do Brasil do Mundial termina em tumultos,0,0,0,0,1,0
ptmz_train_track_a_00041,Nini Satar chega a Moçambique esta semana,0,0,0,0,0,0
ptmz_train_track_a_00042,Director de jornal turco que revelou envio de armamentos para islamitas é preso,0,0,0,1,0,0
ptmz_train_track_a_00043,Moçambique: Fotos de Bicicletas Táxi em Quelimane,0,0,0,0,0,0
ptmz_train_track_a_00044,A minha verdade: a dor de ser silenciado em Cuba,0,0,0,0,0,0
ptmz_train_track_a_00045,"""Não somos uma família racista"", Príncipe William",0,0,0,0,0,1
ptmz_train_track_a_00046,Gana desbanca República Tcheca e embola Grupo E,0,0,0,0,0,1
ptmz_train_track_a_00047,Medo e controle em Angola: A Central 7311,0,0,1,0,0,0
ptmz_train_track_a_00048,"Fifa investiga drone ""espião"" no treino da França",0,0,0,0,0,0
ptmz_train_track_a_00049,Butão: “Khuru” e o surgimento de movimentos feministas,0,0,0,0,0,0
ptmz_train_track_a_00050,Forças segurança nigerianas resgatam mais de 300 estudantes raptados,0,0,0,1,0,0
ptmz_train_track_a_00051,Vahanle enfrenta críticas na gestão de Nampula,0,0,0,0,0,0
ptmz_train_track_a_00052,Cientistas descobrem segredo de 'primo' alemão de Stonehenge,0,0,0,0,0,1
ptmz_train_track_a_00053,"Em iniciativa inédita, polícia vai à Maré dar explicações sobre a chacina de junho de 2013",0,0,0,0,0,1
ptmz_train_track_a_00054,Brasil/Palestina: Jogador de futebol removido do Facebook e cortado da seleção por apoiar Palestina,0,1,0,0,0,0
ptmz_train_track_a_00055,OMS tenta desvendar mistério de bactéria em São Tomé e Príncipe,0,0,0,0,0,0
ptmz_train_track_a_00056,Américas: A saída de bola das eliminatórias da copa,0,0,0,0,1,0
ptmz_train_track_a_00057,Mugabe reitera parceira com a África do Sul,0,0,0,0,0,0
ptmz_train_track_a_00058,Corrida para o negócio afecta o rigor jornalístico em Moçambique,0,0,0,0,1,0
ptmz_train_track_a_00059,Representante da ONU em São Tomé para medir tensão política,0,0,0,0,0,0
ptmz_train_track_a_00060,"Trending: Lakers de LeBron perdem primeiro jogo; PSG de Neymar na final da ""Champions""",0,0,0,0,0,0
ptmz_train_track_a_00061,"Três ativistas anti-Copa acusam o Brasil de perseguição política e, em vão, procuraram asilo no Consulado do Uruguai",0,0,1,0,0,0
ptmz_train_track_a_00062,"Angola Fala Só – “A polícia não cumpre a lei, cumpre ordens” – Osvaldo Caholo",1,0,0,0,0,0
ptmz_train_track_a_00063,"CAN 2021: Infectado com a covid-19, técnico guineense espera ter ""sorte"" contra o Egipto",0,0,0,0,0,0
ptmz_train_track_a_00064,Promotor do trágico festival de música volta aos palcos em Benguela,0,0,0,0,0,0
ptmz_train_track_a_00065,"Autoridades moçambicanas detêm suspeito envenenador de Phombe, em Chitima",0,0,0,1,0,0
ptmz_train_track_a_00066,Ocupação de venezuelanos sofre com ameaça de despejo no Brasil,0,0,1,0,0,0
ptmz_train_track_a_00067,Moçambicanos necessitam de passaporte biométrico para entrar na África do Sul,0,0,0,0,0,0
ptmz_train_track_a_00068,Alemanha ameaça sanções à Rússia por envenenamento de Navalny,0,0,1,0,0,0
ptmz_train_track_a_00069,Destinos de praia na Albânia enfrentam temporada turística de verão atípica,0,0,0,0,1,0
ptmz_train_track_a_00070,Indignação no México por cruel assassinato de três estudantes de Cinema,1,0,0,0,0,0
ptmz_train_track_a_00071,Médica que admitiu caso positivo do novo coronavírus detida em Benguela,0,0,0,0,0,0
ptmz_train_track_a_00072,"No Rio de Janeiro, favela ao lado do estádio do Maracanã sofre com remoções para as Olimpíadas de 2016",0,0,0,0,0,0
ptmz_train_track_a_00073,Guiné - Bissau: Manifestantes exigem controlo dos preços,0,0,0,0,0,0
ptmz_train_track_a_00074,FOTOS: Showmício do principal partido opositor é atacado por polícia em Moçambique,0,0,0,0,0,0
ptmz_train_track_a_00075,Moçambique: Mina de carvão bloqueada em protesto,0,0,0,0,0,0
ptmz_train_track_a_00076,Moçambique: Seis mil somalis e etíopes abandonam campo de refugiados,0,0,0,0,0,0
ptmz_train_track_a_00077,Ciclone Idai e fome afastam mais de 250 crianças da escola em Manica,0,0,0,0,1,0
ptmz_train_track_a_00078,Já só restam 20 rinocerontes em Moçambique,0,0,0,0,1,0
ptmz_train_track_a_00079,Japão: Oito línguas ameaçadas no arquipélago japonês,0,0,1,0,0,0
ptmz_train_track_a_00080,Paraquedistas morrem quando tentavam fazer o anel olímpico,0,0,0,0,1,0
ptmz_train_track_a_00081,Kenneth deixa um morto centenas de casas destruídas e pelo pelo menos 15 sem tecto em Moçambique,0,0,0,0,1,0
ptmz_train_track_a_00082,"Com falta de recursos, Moçambicanos improvisam no combate à COVID-19",0,0,0,0,0,0
ptmz_train_track_a_00083,"Avião da Vueling aterra de emergência em Barcelona devido a ""cheiro a queimado""",0,0,1,0,0,0
ptmz_train_track_a_00084,Moçambique regista ligeira queda no Índice Ibrahim,0,0,0,0,0,0
ptmz_train_track_a_00085,Vicente Ramaya morto dentro da sua viatura hoje em Maputo,0,0,0,0,1,0
ptmz_train_track_a_00086,"Exército de Moçambique afirma número ""significativo"" de militantes mortos na batalha de Palma",0,0,0,0,1,0
ptmz_train_track_a_00087,Angola: Celebrando o mês da mulher angolana com poesia,0,0,0,1,0,0
ptmz_train_track_a_00088,Cheias em Nampula afectam milhares de pessoas,0,0,0,0,1,0
ptmz_train_track_a_00089,BAL: Quem é o AS Police do Mali,0,0,0,0,0,0
ptmz_train_track_a_00090,Governo de Jair Bolsonaro chama indicada ao Oscar de militante anti-Brasil,0,0,0,0,0,1
ptmz_train_track_a_00091,"Angola: Músicos a favor dos ""golpistas""",0,0,0,0,0,0
ptmz_train_track_a_00092,Polícia moçambicana pede ajuda para neutralizar sequestradores,0,0,0,0,0,0
ptmz_train_track_a_00093,Estados Unidos abandonam Pacto Mundial para Refugiados e Migração,0,0,0,0,0,0
ptmz_train_track_a_00094,Despachos ucranianos 1: Fugindo de Kiev com familiares e animais de estimação,0,0,0,0,0,0
ptmz_train_track_a_00095,Egito: médicos gravam vídeo de blecaute em emergência de hospital,0,0,0,0,1,0
ptmz_train_track_a_00096,"Moçambique: ""Inclusão"" foi tema comum na recta final da campanha",0,0,0,0,0,0
ptmz_train_track_a_00097,Como uma disputa sobre pagamento da premiação quase impediu Camarões de jogar na Copa,0,0,0,0,1,0
ptmz_train_track_a_00098,"Trending: Jeff Bezos, o mais rico do mundo, fez 13 biliões de dólares em um dia!",0,0,0,0,0,0
ptmz_train_track_a_00099,"“Status Quo”, a crise moçambicana nas telas de Nelsa Guambe",0,0,0,0,0,0
ptmz_train_track_a_00100,Mesmo com novas leis o Brasil tem dificuldade em proteger mulheres e feminicídio aumenta,0,0,0,0,1,0
ptmz_train_track_a_00101,Pica-pau raro descoberto nos EUA,0,0,0,0,0,1
ptmz_train_track_a_00102,Inflação e juros disparam em Moçambique,0,0,0,0,1,0
ptmz_train_track_a_00103,"Angola aguarda oficialização de ""medidas"" de Israel",0,0,0,0,0,0
ptmz_train_track_a_00104,"""Niveis de corrupção em Moçambique ainda são elevados"", diz Centro de Integridade Pública",0,1,0,0,0,0
ptmz_train_track_a_00105,Espanha: Alarme falso em Barcelona,0,0,0,0,0,0
ptmz_train_track_a_00106,Sons do Atlântico: Show na Baía de Luanda juntou energia angolana à moçambicana e à brasileira,0,0,0,0,0,0
ptmz_train_track_a_00107,Amnistia Internacional: ‘Espiral de violência é uma ameaça ao Estado de Direito na Venezuela’,0,0,1,0,0,0
ptmz_train_track_a_00108,Moçambicanos preparam passagem de ano modesta devido à crise,0,0,0,0,0,0
ptmz_train_track_a_00109,"Ana Azevedo, uma cantora romântica na era da modernidade da morna",0,0,0,0,0,0
ptmz_train_track_a_00110,Governo moçambicano aumenta preço do pão só em 2017,0,0,0,0,0,0
ptmz_train_track_a_00111,Morreu Bra Hugh Masekela,0,0,0,0,1,0
ptmz_train_track_a_00112,Floresta maia no México é referência em gerenciamento de recursos naturais graças à aliança florestal,0,0,0,1,0,0
ptmz_train_track_a_00113,"Forças armadas devem aprimorar a prontidão combativa em Cabo Delgado, diz ministro da Defesa",0,0,0,0,0,0
ptmz_train_track_a_00114,Guterres pede combate urgente às mudanças climáticas,0,0,0,0,0,0
ptmz_train_track_a_00115,Cabo Verde: Contar Histórias e Fomentar a Escrita Criativa,0,0,0,0,0,0
ptmz_train_track_a_00116,50 anos da ditadura no Brasil: Um torturador francês na América do Sul,0,0,0,0,0,0
ptmz_train_track_a_00117,Paradas de ônibus sem teto e manutenção revelam as desigualdades entre bairros de São Paulo,0,0,0,0,1,0
ptmz_train_track_a_00118,Especialistas da OMS analisam combate ao ébola na Guiné-Bissau,0,0,0,0,0,0
ptmz_train_track_a_00119,Nito Alves e Arante Kivuvu dizem ter recusado asilo na Noruega,0,0,0,0,0,0
ptmz_train_track_a_00120,Joseph Blatter e Michel Platini suspensos por oito anos pela Fifa,0,0,0,0,1,0
ptmz_train_track_a_00121,Filho de Pelé condenado a 33 anos de prisão,0,0,0,0,0,0
ptmz_train_track_a_00122,Esquerda vence eleição presidencial em El Salvador,0,0,0,0,0,1
ptmz_train_track_a_00123,Caso Chang de novo nas mãos de Ronald Lamola,0,0,0,0,0,0
ptmz_train_track_a_00124,África do Sul realiza campanha contra malária para mineiros e turistas que viajam a Moçambique,0,0,0,1,0,0
ptmz_train_track_a_00125,Guatemala: ex-Presidente Portillo condenado a cinco anos de prisão,0,0,0,0,0,0
ptmz_train_track_a_00126,Diego Armando Maradona: das reacções à morte ao enterro de Estado na Casa Rosada,0,0,0,0,0,0
ptmz_train_track_a_00127,Tecnologia Celular para o Ativismo Ambiental,0,0,0,0,0,0
ptmz_train_track_a_00128,Jornalista publica livro sobre a história da rádio internacional,0,0,0,0,0,0
ptmz_train_track_a_00129,Espanha desarticula rede que recrutava mulheres para o Estado Islâmico,0,0,0,1,0,0
ptmz_train_track_a_00130,Google demite engenheiro que diz que Inteligência Artificial tem consciência,0,0,0,0,0,1
ptmz_train_track_a_00131,OMS refuta acusações do Presidente americano sobre financiamento da agência,0,0,0,0,0,0
ptmz_train_track_a_00132,"Lil Nas X lança ""ténis do satanás"" - Nike responde com processo legal",0,0,0,0,0,0
ptmz_train_track_a_00133,Inglaterra: Helicóptero onde seguia dono do Leicester explodiu,0,0,0,0,1,0
ptmz_train_track_a_00134,Direitos humanos em Moçambique com leituras diferentes,0,0,0,0,0,0
ptmz_train_track_a_00135,Netizen Report: Investigadores revelam spyware em telefones de 60 países,0,0,0,0,0,0
ptmz_train_track_a_00136,Estados Unidos e Cuba aproximam-se,0,0,0,1,0,0
ptmz_train_track_a_00137,Medicina tradicional moçambicana quer regulamentação,0,0,0,0,0,0
ptmz_train_track_a_00138,"""Quando, em nome de Deus, vamos enfrentar o lobby das armas?"", perguntou Biden depois de mais um massacre",0,0,0,0,0,0
ptmz_train_track_a_00139,"Brasil: Terceiro protesto contra o preço da passagem foi pacífico, mas terminou com bombas no metrô",1,0,0,0,0,0
ptmz_train_track_a_00140,Hospital em Pemba proíbe entrada de pessoas com burka,0,0,0,0,0,0
ptmz_train_track_a_00141,República Democrática do Congo: Guerra prejudica esforços para proteger gorilas,0,0,0,0,0,0
ptmz_train_track_a_00142,Jogadores de futebol protestam contra decisão do campeonato europeu sub-21 ser jogado em Israel,0,0,0,0,0,0
ptmz_train_track_a_00143,Ministro considera crime se se confirmar que FMF não justificou verbas da Fifa,0,0,0,0,0,0
ptmz_train_track_a_00144,Metade de todas as mortes de crianças está ligada à desnutrição,0,0,0,0,0,1
ptmz_train_track_a_00145,"Em ano de eleições no Brasil, mulheres na política denunciam ameaças recorrentes",0,0,0,0,0,0
ptmz_train_track_a_00146,EUA cancelam viagem de Blinken à China após misterioso balão sobre Montana,0,0,0,0,0,1
ptmz_train_track_a_00147,Estará a LAM em condições de voltar ao espaço aéreo europeu?,0,0,0,0,0,0
ptmz_train_track_a_00148,ONU quer ajudar Maputo a ser uma cidade segura para as mulheres,0,0,0,1,0,0
ptmz_train_track_a_00149,Músicos etíopes acusados de terrorismo por suas letras ‘incitadoras’,0,1,0,0,0,0
ptmz_train_track_a_00150,Sociedade civil debate partilha de benefícios dos recursos naturais em Nampula,0,0,0,0,0,0
ptmz_train_track_a_00151,Moradores do Rio de Janeiro se mobilizam contra alto custo de vida na cidade,1,0,0,0,0,0
ptmz_train_track_a_00152,"No Brasil, 30 milhões de pessoas vivem em ‘quase desertos’ de notícias",0,0,0,0,0,0
ptmz_train_track_a_00153,Uma garota gritou “macaco” durante uma partida de futebol. E o Brasil foi lançado outra vez ao debate online do racismo.,0,1,0,0,0,0
ptmz_train_track_a_00154,Moçambique: Rebeldes cortam estradas para Palma. Estância turística de Vamisse destruída,0,0,1,0,0,0
ptmz_train_track_a_00155,"""Ar Condicionado"", de Aline Frazão, ""passeia"" por festivais internacionais",0,0,0,0,0,0
ptmz_train_track_a_00156,Encontradas chupa-cabras nos Estados Unidos,0,0,0,0,0,1
ptmz_train_track_a_00157,Blogueiros árabes lutam contra a “judaização” de Jerusalém,0,0,0,0,0,0
ptmz_train_track_a_00158,Etíope Almaz Ayana é ouro nos 10 mil metros e Angola perde mas passa à fase seguinte em andebol,0,0,0,1,0,0
ptmz_train_track_a_00159,"Assim como os EUA, Trinidad e Tobago não irá à Copa do Mundo de 2018, mas um deles tem algo para comemorar",0,0,0,0,0,0
ptmz_train_track_a_00160,Neymar ansioso por ver um atleta no Rio,0,0,0,0,0,0
ptmz_train_track_a_00161,Lima vai sediar Jogos Pan-americanos de 2019,0,0,0,1,0,0
ptmz_train_track_a_00162,"Trending: ""Nigéria"" entre as palavras mais pesquisadas no Google",0,0,0,0,0,0
ptmz_train_track_a_00163,"Na Copa do Mundo do Brasil, brutalidade policial atinge manifestantes e jornalistas",1,0,0,0,0,0
ptmz_train_track_a_00164,Vaga de deslocados chega a Mocímboa da Praia,0,0,0,0,1,0
ptmz_train_track_a_00165,Angola: Calando a boca da Mídia – de novo?,0,0,0,0,0,0
ptmz_train_track_a_00166,Efeito dominó Meghan Markle - Piers Morgan abandona Good Morning Britain,0,0,0,0,0,0
ptmz_train_track_a_00167,Polícia desaconselha espectáculo na ponta da Restinga,0,0,1,0,0,0
ptmz_train_track_a_00168,Analistas dizem que Governo de Moçambique tem de esclarecer as dívidas ocultas,0,0,0,0,0,0
ptmz_train_track_a_00169,"Ossufo Momade, presidente da Renamo",0,0,0,0,0,0
ptmz_train_track_a_00170,"COVID-19: Anthony Faucy diz que número de mortes é superior ao anunciado e ""o pior ainda não passou""",0,0,1,0,0,0
ptmz_train_track_a_00171,"Bonga é mais que um cantor, é um combatente da liberdade - autor guineense",0,0,0,1,0,0
ptmz_train_track_a_00172,Funcionários da educação em Nampula acusados de desvio de fundos,1,0,0,0,0,0
ptmz_train_track_a_00173,32% das moçambicanas foram alvo de violência doméstica,0,0,0,0,1,0
ptmz_train_track_a_00174,"""Pobreza vai aumentar ainda mais em Moçambique"", adverte Observatório do Meio Rural",0,0,0,0,1,0
ptmz_train_track_a_00175,Esposa de sul-africano acusado de terrorismo em Moçambique diz que o marido é inocente,0,0,0,0,0,0
ptmz_train_track_a_00176,Pai rapta e tenta vender filho albino em Moçambique,0,1,0,0,0,0
ptmz_train_track_a_00177,Butão: A caminho de se tornar 100% orgânico,0,0,0,0,0,0
ptmz_train_track_a_00178,Mortalidade infantil cai na África Subsaariana,0,0,0,0,1,0
ptmz_train_track_a_00179,Covid19: Nyusi declara de estado de emergência em Moçambique,0,0,0,0,1,0
ptmz_train_track_a_00180,Angola esgotou reservas da vacina da febre amarela,0,0,1,0,0,0
ptmz_train_track_a_00181,COVID-19: Donald Trump apresenta plano para retoma da economia dos estados,0,0,0,0,0,0
ptmz_train_track_a_00182,2011: Sonhos e Desafios,0,0,0,0,0,0
ptmz_train_track_a_00183,Conheça o padre brasileiro que ajuda quem vive nas ruas – e sofre ataques e ameaças por isso,0,0,0,0,0,1
ptmz_train_track_a_00184,Geórgia: Guerra na Ossétia do Sul,0,0,0,0,0,0
ptmz_train_track_a_00185,"Declaração de amor à língua portuguesa, na sua multiplicidade de falares",0,0,0,0,0,0
ptmz_train_track_a_00186,Cabora Bassa sem medo da concorrência,0,0,0,0,0,0
ptmz_train_track_a_00187,África procura atrair investimento dos EUA,0,0,0,0,0,0
ptmz_train_track_a_00188,Escândalo do “Cimentaço” deixa rastros de corrupção na campanha presidencial da Costa Rica,1,0,0,0,0,0
ptmz_train_track_a_00189,Comércio entre França e Moçambique pode atingir 600 milhões de euros,0,0,0,1,0,0
ptmz_train_track_a_00190,Instituto África-América distingue Nyusi e moçambicanos pela edificação da paz,0,0,0,0,0,0
ptmz_train_track_a_00191,"Moçambicanos lamentam a morte de um grande futebolista, Mário Coluna",0,0,0,0,1,0
ptmz_train_track_a_00192,"Jack Nkanga: artista em constante mutação, sonhador perseverante",0,0,0,0,0,0
ptmz_train_track_a_00193,Ministério Público descarta ligação de ataques em Cabo Delgado ao grupo Al-Shabab,0,0,0,0,0,0
ptmz_train_track_a_00194,"Pesquisadores de ciências humanas se tornaram ‘inimigos da nação’ no Brasil, diz antropóloga",0,0,0,0,0,0
ptmz_train_track_a_00195,Croácia: A “Feral Tribune” fecha as portas,0,0,0,0,0,0
ptmz_train_track_a_00196,Famílias das vítimas da tragédia do Uíge clamam por justiça,0,0,0,0,1,0
ptmz_train_track_a_00197,"Indígenas estão ameaçados de despejo em Dourados, no Mato Grosso do Sul",1,0,0,0,0,0
ptmz_train_track_a_00198,Lokua Kanza: “O mundo precisa de amor”,0,0,0,0,0,0
ptmz_train_track_a_00199,Marrocos: Região de Tânger enfrenta graves enchentes,0,0,0,0,1,0
ptmz_train_track_a_00200,Alice Mabota é candidata presidencial em Moçambique,0,0,0,0,0,0
ptmz_train_track_a_00201,"Após envio de top model para o hospício, são-vicentinos temem que política e patriarcado estejam em jogo",0,0,1,0,0,0
ptmz_train_track_a_00202,"Audição parlamentar do antigo ministro das Finanças de Moçambique pode esclarecer ""dívidas ocultas""",0,0,0,0,0,0
ptmz_train_track_a_00203,"No Paraguai, pobreza cria um ciclo de mulheres que cuidam dos filhos de outras mulheres",0,0,0,0,1,0
ptmz_train_track_a_00204,Ilhas de Goa e Sena encerradas ao turismo depois de naufrágio,0,0,0,0,1,0
ptmz_train_track_a_00205,"Trending: Jefferson Davis, Nascar, Isabel dos Santos",0,0,0,0,0,0
ptmz_train_track_a_00206,Proposta de senador ressuscita ideias restritivas à lei do aborto,0,0,0,0,0,0
ptmz_train_track_a_00207,"Para afro-colombianos, racismo institucional é uma realidade do dia a dia",0,1,0,0,0,0
ptmz_train_track_a_00208,Corrupção incentiva a caça furtiva em Moçambique,0,0,0,0,0,0
ptmz_train_track_a_00209,Pouca possibilidade de justiça para jornalistas assassinados na Colômbia,1,0,0,0,0,0
ptmz_train_track_a_00210,Uganda: O Projeto de Lei Anti-Gay Está de Volta,0,1,0,0,0,0
ptmz_train_track_a_00211,Quelimane: MDM em processo de consolidação,0,0,0,0,0,0
