id,text,Joy,Fear,Anger,Sadness,Disgust,Neutral,Surprise
tat_sample_track1_1,Бу кызны алып атыгыз әле ә...,0,0,1,0,0,0,0
tat_sample_track1_2,"Яшьләр! Нишлисез сез? Кайберләрегез ""Мин урын өчен түләдем бит"" - дип үзегезгә аклау тапмакчы, ләкин... сез чынлыкта исә урын өчен түгел, бару өчен түләдегез. Һәрхәлдә, акча өчен вөҗдан сату дөресме?!.",0,0,1,0,0,0,0
tat_sample_track1_3,"Әгәр син татар кызы икән, син татарга кияүгә чыгарга тиеш!!!",0,0,1,0,0,0,0
tat_sample_track1_4,татарча язарга кайчан өйрәнәсез соң ә!(,0,0,1,0,0,0,0
tat_sample_track1_5,русча сүзләр кыстырмасагыз тагын да шәбрәк булачак!!!!,0,0,1,0,0,0,0
tat_sample_track1_6,"Син марҗа. Татар тел сиңа кирәкми, үз халкың да кирәкми. Син урыс булдың. Нәрсә эшлисен син бу төркемдә? Бар урысларга, нәрся монда оныттың?",0,0,1,0,0,0,0
tat_sample_track1_7,"юк инде, без биредә татарча аралашабыз ә ул күкәй русча, бу ни? татар булу исемнән тормый. Әгәрдә татар буласын татарча аралаш, юкса кит..",0,0,1,0,0,0,0
tat_sample_track1_8,Заебаллар кылды ул в натуре 😠,0,0,1,0,0,0,0
tat_sample_track1_9,"Мин ""не анонимно"" дигэн идем! 😡  😠",0,0,1,0,0,0,0
tat_sample_track1_10,Син куп белэсен инде😠,0,0,1,0,0,0,0
tat_sample_track1_11,купмегэ икэнен каян белим.мин сине тозэттем,0,0,1,0,0,0,0
tat_sample_track1_12,"Шиш! Без пенсия яшенэ житкендэ лаеклы ялны 130 яштэн сон ясап куйсалар, тот капчыгынны!",0,0,1,0,0,0,0
tat_sample_track1_13,"Шунын хэтле сарык булгач, вк га вообще ригестрация бирмэскэ иде 😱 😖 😖",0,0,1,0,0,0,0
tat_sample_track1_14,"Салям, дуслар! Мәскәүдә безнең кызларны кавказ малайлары алып бетерә бит. Бу нәрсә була соң? Милләтебез бетә шулай. Башында акылы булган кызлар шулай эшләми инде! 😠",0,0,1,0,0,0,0
tat_sample_track1_15,"Кызлар,сезгэ ОЯТ тугелме?😠",0,0,1,0,0,0,0
tat_sample_track1_16,әдәпсез карчык..,0,0,0,0,1,0,0
tat_sample_track1_17,"Суйгач, аның түшкәсе мәченекенә охшаган. Не то что ашарга, карарга җирәнгеч(",0,0,0,0,1,0,0
tat_sample_track1_18,Татарча сөйләшкән урыс егетенә бәйләнделәр инде 😂  ичмасам бу пост астында да үз телегездә язсагыз иде мескеннәр. Күкрәк кагып мин татар дип акырасыз бит шул Иваннар телендә тьфу...,0,0,0,0,1,0,0
tat_sample_track1_19,"Беренче ""Дом-2"", Алла сакласын тагын боларны курергэ.",0,0,0,0,1,0,0
tat_sample_track1_20,"Фуу вообще яратмыйм суган,ашамлыкларданда чуплэп ташлыйм суганны..",0,0,0,0,1,0,0
tat_sample_track1_21,"фуу.Сүгенүчеләрне яратмыйм.",0,0,0,0,1,0,0
