text_id,text,emotion,Annotator-1,Annotator-2,Annotator-3
1,Var köpare i en lägenhetsaffär med tillträde kl 17. Kl 16:40 kom två städare och skulle sätta igång med flyttstädning. Har sett säljarens beställning som tydligast möjligt specade att flyttstädningen skulle vara klar absolut senast kl 17 den aktuella dagen. Städarna som kom var inte alls tillmötesgående.,Joy,0,0,0
1,Var köpare i en lägenhetsaffär med tillträde kl 17. Kl 16:40 kom två städare och skulle sätta igång med flyttstädning. Har sett säljarens beställning som tydligast möjligt specade att flyttstädningen skulle vara klar absolut senast kl 17 den aktuella dagen. Städarna som kom var inte alls tillmötesgående.,Fear,0,0,0
1,Var köpare i en lägenhetsaffär med tillträde kl 17. Kl 16:40 kom två städare och skulle sätta igång med flyttstädning. Har sett säljarens beställning som tydligast möjligt specade att flyttstädningen skulle vara klar absolut senast kl 17 den aktuella dagen. Städarna som kom var inte alls tillmötesgående.,Anger,1,0,1
1,Var köpare i en lägenhetsaffär med tillträde kl 17. Kl 16:40 kom två städare och skulle sätta igång med flyttstädning. Har sett säljarens beställning som tydligast möjligt specade att flyttstädningen skulle vara klar absolut senast kl 17 den aktuella dagen. Städarna som kom var inte alls tillmötesgående.,Sadness,1,1,0
1,Var köpare i en lägenhetsaffär med tillträde kl 17. Kl 16:40 kom två städare och skulle sätta igång med flyttstädning. Har sett säljarens beställning som tydligast möjligt specade att flyttstädningen skulle vara klar absolut senast kl 17 den aktuella dagen. Städarna som kom var inte alls tillmötesgående.,Disgust,1,1,0
1,Var köpare i en lägenhetsaffär med tillträde kl 17. Kl 16:40 kom två städare och skulle sätta igång med flyttstädning. Har sett säljarens beställning som tydligast möjligt specade att flyttstädningen skulle vara klar absolut senast kl 17 den aktuella dagen. Städarna som kom var inte alls tillmötesgående.,Surprise,1,0,0
2,Bra kvalitetsintryck på material. Snabbt montage av kunnig och hängiven montör. Ej främmande för att rekommendera företaget till vänner och bekanta.,Joy,1,1,1
2,Bra kvalitetsintryck på material. Snabbt montage av kunnig och hängiven montör. Ej främmande för att rekommendera företaget till vänner och bekanta.,Fear,0,0,0
2,Bra kvalitetsintryck på material. Snabbt montage av kunnig och hängiven montör. Ej främmande för att rekommendera företaget till vänner och bekanta.,Anger,0,0,0
2,Bra kvalitetsintryck på material. Snabbt montage av kunnig och hängiven montör. Ej främmande för att rekommendera företaget till vänner och bekanta.,Sadness,0,0,0
2,Bra kvalitetsintryck på material. Snabbt montage av kunnig och hängiven montör. Ej främmande för att rekommendera företaget till vänner och bekanta.,Disgust,0,0,0
2,Bra kvalitetsintryck på material. Snabbt montage av kunnig och hängiven montör. Ej främmande för att rekommendera företaget till vänner och bekanta.,Surprise,0,0,0
3,"Varning för att lämna in gamla bilder för kopiering, de är inte ett dugg rädda om dem. Mina blev förstörda och personalen ryckte på axlarna. Det som jag hade beställt blev dåligt utfört, de ""klippte av"" huvudet på personen på fotot och påstod att det inte kunde göras annorlunda.",Joy,0,0,0
3,"Varning för att lämna in gamla bilder för kopiering, de är inte ett dugg rädda om dem. Mina blev förstörda och personalen ryckte på axlarna. Det som jag hade beställt blev dåligt utfört, de ""klippte av"" huvudet på personen på fotot och påstod att det inte kunde göras annorlunda.",Fear,0,0,0
3,"Varning för att lämna in gamla bilder för kopiering, de är inte ett dugg rädda om dem. Mina blev förstörda och personalen ryckte på axlarna. Det som jag hade beställt blev dåligt utfört, de ""klippte av"" huvudet på personen på fotot och påstod att det inte kunde göras annorlunda.",Anger,0,0,1
3,"Varning för att lämna in gamla bilder för kopiering, de är inte ett dugg rädda om dem. Mina blev förstörda och personalen ryckte på axlarna. Det som jag hade beställt blev dåligt utfört, de ""klippte av"" huvudet på personen på fotot och påstod att det inte kunde göras annorlunda.",Sadness,3,0,1
3,"Varning för att lämna in gamla bilder för kopiering, de är inte ett dugg rädda om dem. Mina blev förstörda och personalen ryckte på axlarna. Det som jag hade beställt blev dåligt utfört, de ""klippte av"" huvudet på personen på fotot och påstod att det inte kunde göras annorlunda.",Disgust,2,2,0
3,"Varning för att lämna in gamla bilder för kopiering, de är inte ett dugg rädda om dem. Mina blev förstörda och personalen ryckte på axlarna. Det som jag hade beställt blev dåligt utfört, de ""klippte av"" huvudet på personen på fotot och påstod att det inte kunde göras annorlunda.",Surprise,0,0,0
